Dec 19 11:45:08 test kernel: [76043.717984] [TRACE_KVM] Buffer & to_replay created
Dec 19 11:45:08 test kernel: [76043.718021] [HAVFUZZ] Opened
Dec 19 11:46:06 test kernel: [76101.870179] [TRACE_KVM] The trarget vcpu is 3
Dec 19 11:46:06 test kernel: [76101.940075] [Trace KVM] Buffer reset
Dec 19 11:46:06 test kernel: [76101.940082] [TRACE_KVM] Buffer size changed
Dec 19 11:46:06 test kernel: [76101.940088] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 19 11:46:06 test kernel: [76101.940091] [TRACE_KVM] gran exit set to 0.
Dec 19 11:46:06 test kernel: [76101.940092] [TRACE_KVM] Control_execution set to 1.
Dec 19 11:46:06 test kernel: [76101.940094] [TRACE_KVM] tracing enabled
Dec 19 11:46:06 test kernel: [76101.942331] 0, L1: 1.
Dec 19 11:46:06 test kernel: [76101.945650] 1, L1: 1.
Dec 19 11:46:06 test kernel: [76101.968925] 2, L1: 1.
Dec 19 11:46:06 test kernel: [76101.969505] 3, L1: 1.
Dec 19 11:46:06 test kernel: [76102.006273] 4, L1: 1.
Dec 19 11:46:06 test kernel: [76102.043430] 5, L1: 1.
Dec 19 11:46:06 test kernel: [76102.043468] 6, L1: 1.
Dec 19 11:46:06 test kernel: [76102.044739] 7, L1: 1.
Dec 19 11:46:06 test kernel: [76102.051133] 8, L1: 1.
Dec 19 11:46:06 test kernel: [76102.051334] 9, L1: 1.
Dec 19 11:46:06 test kernel: [76102.053603] 10, L1: 1.
Dec 19 11:46:06 test kernel: [76102.053745] 11, L1: 1.
Dec 19 11:46:06 test kernel: [76102.053778] 12, L1: 1.
Dec 19 11:46:06 test kernel: [76102.053809] 13, L1: 1.
Dec 19 11:46:06 test kernel: [76102.053839] 14, L1: 1.
Dec 19 11:46:06 test kernel: [76102.053870] 15, L1: 1.
Dec 19 11:46:06 test kernel: [76102.053901] 16, L1: 1.
Dec 19 11:46:06 test kernel: [76102.053932] 17, L1: 1.
Dec 19 11:46:06 test kernel: [76102.053960] 18, L1: 1.
Dec 19 11:46:06 test kernel: [76102.054657] 19, L1: 1.
Dec 19 11:46:06 test kernel: [76102.054688] 20, L1: 1.
Dec 19 11:46:06 test kernel: [76102.055415] 21, L1: 1.
Dec 19 11:46:06 test kernel: [76102.055496] 22, L1: 1.
Dec 19 11:46:06 test kernel: [76102.055863] 23, L1: 1.
Dec 19 11:46:06 test kernel: [76102.056515] 24, L1: 1.
Dec 19 11:46:06 test kernel: [76102.057783] 25, L1: 1.
Dec 19 11:46:06 test kernel: [76102.057850] 26, L1: 1.
Dec 19 11:46:06 test kernel: [76102.057880] 27, L1: 1.
Dec 19 11:46:06 test kernel: [76102.057949] 28, L1: 1.
Dec 19 11:46:06 test kernel: [76102.064706] 29, L1: 1.
Dec 19 11:46:06 test kernel: [76102.064738] 30, L1: 1.
Dec 19 11:46:06 test kernel: [76102.065032] 31, L1: 1.
Dec 19 11:46:06 test kernel: [76102.065063] 32, L1: 1.
Dec 19 11:46:06 test kernel: [76102.065093] 33, L1: 1.
Dec 19 11:46:06 test kernel: [76102.065122] 34, L1: 1.
Dec 19 11:46:06 test kernel: [76102.065152] 35, L1: 1.
Dec 19 11:46:06 test kernel: [76102.065181] 36, L1: 1.
Dec 19 11:46:06 test kernel: [76102.065211] 37, L1: 1.
Dec 19 11:46:06 test kernel: [76102.065240] 38, L1: 1.
Dec 19 11:46:06 test kernel: [76102.065270] 39, L1: 1.
Dec 19 11:46:06 test kernel: [76102.065299] 40, L1: 1.
Dec 19 11:46:06 test kernel: [76102.065329] 41, L1: 1.
Dec 19 11:46:06 test kernel: [76102.065358] 42, L1: 1.
Dec 19 11:46:06 test kernel: [76102.066152] 43, L1: 1.
Dec 19 11:46:06 test kernel: [76102.092408] 44, L1: 1.
Dec 19 11:46:06 test kernel: [76102.122145] 45, L1: 1.
Dec 19 11:46:06 test kernel: [76102.177181] 46, L1: 1.
Dec 19 11:46:06 test kernel: [76102.197517] 47, L1: 1.
Dec 19 11:46:06 test kernel: [76102.198702] 48, L1: 1.
Dec 19 11:46:06 test kernel: [76102.198788] 49, L1: 1.
Dec 19 11:46:07 test kernel: [76102.228822] 50, L1: 1.
Dec 19 11:46:07 test kernel: [76102.236996] 51, L1: 1.
Dec 19 11:46:07 test kernel: [76102.239157] 52, L1: 1.
Dec 19 11:46:07 test kernel: [76102.239916] 53, L1: 1.
Dec 19 11:46:07 test kernel: [76102.241240] 54, L1: 1.
Dec 19 11:46:07 test kernel: [76102.241855] 55, L1: 1.
Dec 19 11:46:07 test kernel: [76102.244607] 56, L1: 1.
Dec 19 11:46:07 test kernel: [76102.245171] 57, L1: 1.
Dec 19 11:46:07 test kernel: [76102.245341] 58, L1: 1.
Dec 19 11:46:07 test kernel: [76102.247124] 59, L1: 1.
Dec 19 11:46:07 test kernel: [76102.247569] 60, L1: 1.
Dec 19 11:46:07 test kernel: [76102.251404] 61, L1: 1.
Dec 19 11:46:07 test kernel: [76102.251601] 62, L1: 1.
Dec 19 11:46:07 test kernel: [76102.253491] 63, L1: 1.
Dec 19 11:46:07 test kernel: [76102.254129] 64, L1: 1.
Dec 19 11:46:07 test kernel: [76102.273286] 65, L1: 1.
Dec 19 11:46:07 test kernel: [76102.273826] 66, L1: 1.
Dec 19 11:46:07 test kernel: [76102.273868] 67, L1: 1.
Dec 19 11:46:07 test kernel: [76102.275514] 68, L1: 1.
Dec 19 11:46:07 test kernel: [76102.275591] 69, L1: 1.
Dec 19 11:46:07 test kernel: [76102.288991] 70, L1: 1.
Dec 19 11:46:07 test kernel: [76102.289026] 71, L1: 1.
Dec 19 11:46:07 test kernel: [76102.289051] 72, L1: 1.
Dec 19 11:46:07 test kernel: [76102.289075] 73, L1: 1.
Dec 19 11:46:07 test kernel: [76102.289101] 74, L1: 1.
Dec 19 11:46:07 test kernel: [76102.289125] 75, L1: 1.
Dec 19 11:46:07 test kernel: [76102.289150] 76, L1: 1.
Dec 19 11:46:07 test kernel: [76102.290766] 77, L1: 1.
Dec 19 11:46:07 test kernel: [76102.290794] 78, L1: 1.
Dec 19 11:46:07 test kernel: [76102.290821] 79, L1: 1.
Dec 19 11:46:07 test kernel: [76102.291533] 80, L1: 1.
Dec 19 11:46:07 test kernel: [76102.292300] 81, L1: 1.
Dec 19 11:46:07 test kernel: [76102.292329] 82, L1: 1.
Dec 19 11:46:07 test kernel: [76102.292354] 83, L1: 1.
Dec 19 11:46:07 test kernel: [76102.292530] 84, L1: 1.
Dec 19 11:46:07 test kernel: [76102.292713] 85, L1: 1.
Dec 19 11:46:07 test kernel: [76102.292740] 86, L1: 1.
Dec 19 11:46:07 test kernel: [76102.292764] 87, L1: 1.
Dec 19 11:46:07 test kernel: [76102.293329] 88, L1: 1.
Dec 19 11:46:07 test kernel: [76102.293357] 89, L1: 1.
Dec 19 11:46:07 test kernel: [76102.293381] 90, L1: 1.
Dec 19 11:46:07 test kernel: [76102.294082] 91, L1: 1.
Dec 19 11:46:07 test kernel: [76102.295945] 92, L1: 1.
Dec 19 11:46:07 test kernel: [76102.299220] 93, L1: 1.
Dec 19 11:46:07 test kernel: [76102.299249] 94, L1: 1.
Dec 19 11:46:07 test kernel: [76102.299276] 95, L1: 1.
Dec 19 11:46:07 test kernel: [76102.299300] 96, L1: 1.
Dec 19 11:46:07 test kernel: [76102.299326] 97, L1: 1.
Dec 19 11:46:07 test kernel: [76102.299352] 98, L1: 1.
Dec 19 11:46:07 test kernel: [76102.299377] 99, L1: 1.
Dec 19 11:46:07 test kernel: [76102.299709] 100, L1: 1.
Dec 19 11:46:07 test kernel: [76102.299742] 101, L1: 1.
Dec 19 11:46:07 test kernel: [76102.299768] 102, L1: 1.
Dec 19 11:46:07 test kernel: [76102.299904] 103, L1: 1.
Dec 19 11:46:07 test kernel: [76102.299932] 104, L1: 1.
Dec 19 11:46:07 test kernel: [76102.299957] 105, L1: 1.
Dec 19 11:46:07 test kernel: [76102.300116] 106, L1: 1.
Dec 19 11:46:07 test kernel: [76102.302538] 107, L1: 1.
Dec 19 11:46:07 test kernel: [76102.303447] 108, L1: 1.
Dec 19 11:46:07 test kernel: [76102.320439] 109, L1: 1.
Dec 19 11:46:07 test kernel: [76102.452603] 110, L1: 1.
Dec 19 11:46:07 test kernel: [76102.464799] 111, L1: 1.
Dec 19 11:46:07 test kernel: [76102.481597] 112, L1: 1.
Dec 19 11:46:07 test kernel: [76102.492443] 113, L1: 1.
Dec 19 11:46:07 test kernel: [76102.528457] 114, L1: 1.
Dec 19 11:46:07 test kernel: [76102.543404] 115, L1: 1.
Dec 19 11:46:07 test kernel: [76102.545548] 116, L1: 1.
Dec 19 11:46:07 test kernel: [76102.552711] 117, L1: 1.
Dec 19 11:46:07 test kernel: [76102.553104] 118, L1: 1.
Dec 19 11:46:07 test kernel: [76102.569144] 119, L1: 1.
Dec 19 11:46:07 test kernel: [76102.569630] 120, L1: 1.
Dec 19 11:46:07 test kernel: [76102.569819] 121, L1: 1.
Dec 19 11:46:07 test kernel: [76102.604990] 122, L1: 1.
Dec 19 11:46:07 test kernel: [76102.668777] 123, L1: 1.
Dec 19 11:46:07 test kernel: [76102.687388] 124, L1: 1.
Dec 19 11:46:07 test kernel: [76102.687428] 125, L1: 1.
Dec 19 11:46:07 test kernel: [76102.687456] 126, L1: 1.
Dec 19 11:46:07 test kernel: [76102.687482] 127, L1: 1.
Dec 19 11:46:07 test kernel: [76102.687506] 128, L1: 1.
Dec 19 11:46:07 test kernel: [76102.687532] 129, L1: 1.
Dec 19 11:46:07 test kernel: [76102.687556] 130, L1: 1.
Dec 19 11:46:07 test kernel: [76102.688320] 131, L1: 1.
Dec 19 11:46:07 test kernel: [76102.688348] 132, L1: 1.
Dec 19 11:46:07 test kernel: [76102.688381] 133, L1: 1.
Dec 19 11:46:07 test kernel: [76102.692162] 134, L1: 1.
Dec 19 11:46:07 test kernel: [76102.748619] 135, L1: 1.
Dec 19 11:46:07 test kernel: [76102.749677] 136, L1: 1.
Dec 19 11:46:07 test kernel: [76102.749975] 137, L1: 1.
Dec 19 11:46:07 test kernel: [76102.800521] 138, L1: 1.
Dec 19 11:46:07 test kernel: [76102.800667] 139, L1: 1.
Dec 19 11:46:07 test kernel: [76102.845277] 140, L1: 1.
Dec 19 11:46:07 test kernel: [76102.845370] 141, L1: 1.
Dec 19 11:46:07 test kernel: [76102.845487] 142, L1: 1.
Dec 19 11:46:07 test kernel: [76102.845528] 143, L1: 1.
Dec 19 11:46:07 test kernel: [76102.876881] 144, L1: 1.
Dec 19 11:46:07 test kernel: [76102.877061] 145, L1: 1.
Dec 19 11:46:07 test kernel: [76102.877449] 146, L1: 1.
Dec 19 11:46:07 test kernel: [76102.877486] 147, L1: 1.
Dec 19 11:46:07 test kernel: [76102.877629] 148, L1: 1.
