Dec 15 12:18:55 test kernel: [58372.591592] [TRACE_KVM] Buffer & to_replay created
Dec 15 12:18:55 test kernel: [58372.591628] [HAVFUZZ] Opened
Dec 15 12:19:40 test kernel: [58417.049681] [TRACE_KVM] The trarget vcpu is 3
Dec 15 12:19:40 test kernel: [58417.118261] [Trace KVM] Buffer reset
Dec 15 12:19:40 test kernel: [58417.118267] [TRACE_KVM] Buffer size changed
Dec 15 12:19:40 test kernel: [58417.118276] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 12:19:40 test kernel: [58417.118278] [TRACE_KVM] gran exit set to 0.
Dec 15 12:19:40 test kernel: [58417.118280] [TRACE_KVM] Control_execution set to 1.
Dec 15 12:19:40 test kernel: [58417.118281] [TRACE_KVM] tracing enabled
Dec 15 12:19:40 test kernel: [58417.169016] 0, L1: 1.
Dec 15 12:19:40 test kernel: [58417.183106] 1, L1: 1.
Dec 15 12:19:40 test kernel: [58417.240855] 2, L1: 1.
Dec 15 12:19:40 test kernel: [58417.265298] 3, L1: 1.
Dec 15 12:19:40 test kernel: [58417.265334] 4, L1: 1.
Dec 15 12:19:40 test kernel: [58417.265364] 5, L1: 1.
Dec 15 12:19:40 test kernel: [58417.265391] 6, L1: 1.
Dec 15 12:19:40 test kernel: [58417.265418] 7, L1: 1.
Dec 15 12:19:40 test kernel: [58417.265446] 8, L1: 1.
Dec 15 12:19:40 test kernel: [58417.265473] 9, L1: 1.
Dec 15 12:19:40 test kernel: [58417.268570] 10, L1: 1.
Dec 15 12:19:40 test kernel: [58417.268601] 11, L1: 1.
Dec 15 12:19:40 test kernel: [58417.268629] 12, L1: 1.
Dec 15 12:19:40 test kernel: [58417.268736] 13, L1: 1.
Dec 15 12:19:40 test kernel: [58417.268764] 14, L1: 1.
Dec 15 12:19:40 test kernel: [58417.268792] 15, L1: 1.
Dec 15 12:19:40 test kernel: [58417.268820] 16, L1: 1.
Dec 15 12:19:40 test kernel: [58417.317676] 17, L1: 1.
Dec 15 12:19:40 test kernel: [58417.328848] 18, L1: 1.
Dec 15 12:19:40 test kernel: [58417.329098] 19, L1: 1.
Dec 15 12:19:40 test kernel: [58417.330518] 20, L1: 1.
Dec 15 12:19:40 test kernel: [58417.344847] 21, L1: 1.
Dec 15 12:19:40 test kernel: [58417.372859] 22, L1: 1.
Dec 15 12:19:40 test kernel: [58417.373305] 23, L1: 1.
Dec 15 12:19:40 test kernel: [58417.384124] 24, L1: 1.
Dec 15 12:19:40 test kernel: [58417.405259] 25, L1: 1.
Dec 15 12:19:40 test kernel: [58417.416988] 26, L1: 1.
Dec 15 12:19:40 test kernel: [58417.426793] 27, L1: 1.
Dec 15 12:19:40 test kernel: [58417.435853] 28, L1: 1.
Dec 15 12:19:41 test kernel: [58418.268521] 29, L1: 1.
Dec 15 12:19:41 test kernel: [58418.308975] 30, L1: 1.
Dec 15 12:19:41 test kernel: [58418.382485] 31, L1: 1.
Dec 15 12:19:42 test kernel: [58419.292516] 32, L1: 1.
Dec 15 12:19:42 test kernel: [58419.313102] 33, L1: 1.
Dec 15 12:19:42 test kernel: [58419.344841] 34, L1: 1.
Dec 15 12:19:42 test kernel: [58419.352272] 35, L1: 1.
Dec 15 12:19:42 test kernel: [58419.368853] 36, L1: 1.
Dec 15 12:19:42 test kernel: [58419.370656] 37, L1: 1.
Dec 15 12:19:42 test kernel: [58419.371329] 38, L1: 1.
Dec 15 12:19:42 test kernel: [58419.426473] 39, L1: 1.
Dec 15 12:19:42 test kernel: [58419.426941] 40, L1: 1.
Dec 15 12:19:42 test kernel: [58419.426972] 41, L1: 1.
Dec 15 12:19:42 test kernel: [58419.427000] 42, L1: 1.
Dec 15 12:19:42 test kernel: [58419.427027] 43, L1: 1.
Dec 15 12:19:42 test kernel: [58419.427054] 44, L1: 1.
Dec 15 12:19:42 test kernel: [58419.427082] 45, L1: 1.
Dec 15 12:19:42 test kernel: [58419.427108] 46, L1: 1.
Dec 15 12:19:42 test kernel: [58419.428394] 47, L1: 1.
Dec 15 12:19:42 test kernel: [58419.428435] 48, L1: 1.
Dec 15 12:19:42 test kernel: [58419.428464] 49, L1: 1.
Dec 15 12:19:42 test kernel: [58419.428687] 50, L1: 1.
Dec 15 12:19:42 test kernel: [58419.428717] 51, L1: 1.
Dec 15 12:19:42 test kernel: [58419.428745] 52, L1: 1.
Dec 15 12:19:42 test kernel: [58419.429513] 53, L1: 1.
Dec 15 12:19:42 test kernel: [58419.430232] 54, L1: 1.
Dec 15 12:19:42 test kernel: [58419.430809] 55, L1: 1.
Dec 15 12:19:42 test kernel: [58419.467502] 56, L1: 1.
Dec 15 12:19:42 test kernel: [58419.488974] 57, L1: 1.
Dec 15 12:19:42 test kernel: [58419.495725] 58, L1: 1.
Dec 15 12:19:42 test kernel: [58419.503958] 59, L1: 1.
Dec 15 12:19:42 test kernel: [58419.513593] 60, L1: 1.
Dec 15 12:19:42 test kernel: [58419.516057] 61, L1: 1.
Dec 15 12:19:42 test kernel: [58419.536849] 62, L1: 1.
Dec 15 12:19:42 test kernel: [58419.610108] 63, L1: 1.
Dec 15 12:19:42 test kernel: [58419.627727] 64, L1: 1.
Dec 15 12:19:42 test kernel: [58419.646149] 65, L1: 1.
Dec 15 12:19:42 test kernel: [58419.656119] 66, L1: 1.
Dec 15 12:19:42 test kernel: [58419.672841] 67, L1: 1.
Dec 15 12:19:42 test kernel: [58419.731944] 68, L1: 1.
Dec 15 12:19:42 test kernel: [58419.731977] 69, L1: 1.
Dec 15 12:19:42 test kernel: [58419.732008] 70, L1: 1.
Dec 15 12:19:42 test kernel: [58419.732037] 71, L1: 1.
Dec 15 12:19:42 test kernel: [58419.732072] 72, L1: 1.
Dec 15 12:19:42 test kernel: [58419.732106] 73, L1: 1.
Dec 15 12:19:42 test kernel: [58419.732132] 74, L1: 1.
Dec 15 12:19:42 test kernel: [58419.732561] 75, L1: 1.
Dec 15 12:19:42 test kernel: [58419.732589] 76, L1: 1.
Dec 15 12:19:42 test kernel: [58419.732615] 77, L1: 1.
Dec 15 12:19:42 test kernel: [58419.733303] 78, L1: 1.
Dec 15 12:19:42 test kernel: [58419.735899] 79, L1: 1.
Dec 15 12:19:42 test kernel: [58419.757367] 80, L1: 1.
Dec 15 12:19:42 test kernel: [58419.757421] 81, L1: 1.
Dec 15 12:19:42 test kernel: [58419.757449] 82, L1: 1.
Dec 15 12:19:42 test kernel: [58419.757476] 83, L1: 1.
Dec 15 12:19:42 test kernel: [58419.757502] 84, L1: 1.
Dec 15 12:19:42 test kernel: [58419.757526] 85, L1: 1.
Dec 15 12:19:42 test kernel: [58419.757551] 86, L1: 1.
Dec 15 12:19:42 test kernel: [58419.757576] 87, L1: 1.
Dec 15 12:19:42 test kernel: [58419.757786] 88, L1: 1.
Dec 15 12:19:42 test kernel: [58419.757814] 89, L1: 1.
Dec 15 12:19:42 test kernel: [58419.757839] 90, L1: 1.
Dec 15 12:19:42 test kernel: [58419.758901] 91, L1: 1.
Dec 15 12:19:42 test kernel: [58419.764028] 92, L1: 1.
Dec 15 12:19:42 test kernel: [58419.764603] 93, L1: 1.
Dec 15 12:19:42 test kernel: [58419.764893] 94, L1: 1.
Dec 15 12:19:42 test kernel: [58419.781345] 95, L1: 1.
Dec 15 12:19:42 test kernel: [58419.956290] 96, L1: 1.
Dec 15 12:19:43 test kernel: [58420.068938] 97, L1: 1.
Dec 15 12:19:43 test kernel: [58420.068999] 98, L1: 1.
Dec 15 12:19:43 test kernel: [58420.069034] 99, L1: 1.
Dec 15 12:19:43 test kernel: [58420.083873] 100, L1: 1.
Dec 15 12:19:43 test kernel: [58420.107799] 101, L1: 1.
Dec 15 12:19:43 test kernel: [58420.107907] 102, L1: 1.
Dec 15 12:19:43 test kernel: [58420.108094] 103, L1: 1.
Dec 15 12:19:43 test kernel: [58420.156981] 104, L1: 1.
Dec 15 12:19:43 test kernel: [58420.157097] 105, L1: 1.
Dec 15 12:19:43 test kernel: [58420.157145] 106, L1: 1.
Dec 15 12:19:43 test kernel: [58420.157189] 107, L1: 1.
Dec 15 12:19:43 test kernel: [58420.157233] 108, L1: 1.
Dec 15 12:19:43 test kernel: [58420.157277] 109, L1: 1.
Dec 15 12:19:43 test kernel: [58420.157322] 110, L1: 1.
Dec 15 12:19:43 test kernel: [58420.158597] 111, L1: 1.
Dec 15 12:19:43 test kernel: [58420.198203] 112, L1: 1.
Dec 15 12:19:43 test kernel: [58420.214089] 113, L1: 1.
Dec 15 12:19:43 test kernel: [58420.278261] 114, L1: 1.
Dec 15 12:19:43 test kernel: [58420.299496] 115, L1: 1.
Dec 15 12:19:43 test kernel: [58420.388892] 116, L1: 1.
Dec 15 12:19:43 test kernel: [58420.405026] 117, L1: 1.
Dec 15 12:19:43 test kernel: [58420.419546] 118, L1: 1.
Dec 15 12:19:43 test kernel: [58420.419629] 119, L1: 1.
Dec 15 12:19:43 test kernel: [58420.419658] 120, L1: 1.
Dec 15 12:19:43 test kernel: [58420.419689] [Hermes] Exit Field [6400] -> Value [4000]. Reason: [1c].
Dec 15 12:19:43 test kernel: [58420.419708] 121, L1: 1.
Dec 15 12:19:43 test kernel: [58420.419710] [Hermes] Entry Field [6400] -> Value [4000].
Dec 15 12:19:43 test kernel: [58420.419750] 122, L1: 1.
Dec 15 12:19:43 test kernel: [58420.419781] 123, L1: 1.
Dec 15 12:19:43 test kernel: [58420.419809] 124, L1: 1.
Dec 15 12:19:43 test kernel: [58420.419835] 125, L1: 1.
Dec 15 12:19:43 test kernel: [58420.419863] 126, L1: 1.
Dec 15 12:19:43 test kernel: [58420.419891] 127, L1: 1.
Dec 15 12:19:43 test kernel: [58420.420186] 128, L1: 1.
Dec 15 12:19:43 test kernel: [58420.420213] 129, L1: 1.
Dec 15 12:19:43 test kernel: [58420.420265] 130, L1: 1.
Dec 15 12:19:43 test kernel: [58420.544609] 131, L1: 1.
Dec 15 12:19:43 test kernel: [58420.544655] 132, L1: 1.
Dec 15 12:19:43 test kernel: [58420.544686] 133, L1: 1.
Dec 15 12:19:43 test kernel: [58420.544896] 134, L1: 1.
Dec 15 12:19:43 test kernel: [58420.544929] 135, L1: 1.
Dec 15 12:19:43 test kernel: [58420.544967] 136, L1: 1.
Dec 15 12:19:43 test kernel: [58420.545287] 137, L1: 1.
Dec 15 12:19:43 test kernel: [58420.545320] 138, L1: 1.
Dec 15 12:19:43 test kernel: [58420.545535] 139, L1: 1.
Dec 15 12:19:43 test kernel: [58420.545627] 140, L1: 1.
Dec 15 12:19:43 test kernel: [58420.545652] 141, L1: 1.
Dec 15 12:19:43 test kernel: [58420.545678] 142, L1: 1.
Dec 15 12:19:43 test kernel: [58420.545722] 143, L1: 1.
Dec 15 12:19:43 test kernel: [58420.545993] 144, L1: 1.
Dec 15 12:19:43 test kernel: [58420.546270] 145, L1: 1.
Dec 15 12:19:43 test kernel: [58420.546300] 146, L1: 1.
Dec 15 12:19:43 test kernel: [58420.546328] 147, L1: 1.
Dec 15 12:19:43 test kernel: [58420.546354] 148, L1: 1.
Dec 15 12:19:43 test kernel: [58420.546379] 149, L1: 1.
Dec 15 12:19:43 test kernel: [58420.546405] 150, L1: 1.
Dec 15 12:19:43 test kernel: [58420.546431] 151, L1: 1.
Dec 15 12:19:43 test kernel: [58420.546457] 152, L1: 1.
Dec 15 12:19:43 test kernel: [58420.546483] 153, L1: 1.
