Dec 18 17:57:38 test kernel: [11993.787286] [TRACE_KVM] Buffer & to_replay created
Dec 18 17:57:38 test kernel: [11993.787319] [HAVFUZZ] Opened
Dec 18 17:58:09 test kernel: [12024.696223] [TRACE_KVM] The trarget vcpu is 3
Dec 18 17:58:09 test kernel: [12024.765865] [Trace KVM] Buffer reset
Dec 18 17:58:09 test kernel: [12024.765871] [TRACE_KVM] Buffer size changed
Dec 18 17:58:09 test kernel: [12024.765879] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 18 17:58:09 test kernel: [12024.765882] [TRACE_KVM] gran exit set to 0.
Dec 18 17:58:09 test kernel: [12024.765884] [TRACE_KVM] Control_execution set to 1.
Dec 18 17:58:09 test kernel: [12024.765886] [TRACE_KVM] tracing enabled
Dec 18 17:58:09 test kernel: [12024.871625] 0, L1: 1.
Dec 18 17:58:09 test kernel: [12024.872211] 1, L1: 1.
Dec 18 17:58:09 test kernel: [12024.892813] 2, L1: 1.
Dec 18 17:58:09 test kernel: [12024.893473] 3, L1: 1.
Dec 18 17:58:09 test kernel: [12024.893514] 4, L1: 1.
Dec 18 17:58:09 test kernel: [12024.893547] 5, L1: 1.
Dec 18 17:58:09 test kernel: [12024.893573] 6, L1: 1.
Dec 18 17:58:09 test kernel: [12024.893598] 7, L1: 1.
Dec 18 17:58:09 test kernel: [12024.893623] 8, L1: 1.
Dec 18 17:58:09 test kernel: [12024.893650] 9, L1: 1.
Dec 18 17:58:09 test kernel: [12024.897054] 10, L1: 1.
Dec 18 17:58:09 test kernel: [12024.897101] 11, L1: 1.
Dec 18 17:58:09 test kernel: [12024.897130] 12, L1: 1.
Dec 18 17:58:09 test kernel: [12024.897256] 13, L1: 1.
Dec 18 17:58:09 test kernel: [12024.897284] 14, L1: 1.
Dec 18 17:58:09 test kernel: [12024.897312] 15, L1: 1.
Dec 18 17:58:09 test kernel: [12024.897340] 16, L1: 1.
Dec 18 17:58:09 test kernel: [12024.898000] 17, L1: 1.
Dec 18 17:58:09 test kernel: [12024.941621] 18, L1: 1.
Dec 18 17:58:09 test kernel: [12024.941710] 19, L1: 1.
Dec 18 17:58:09 test kernel: [12024.994975] 20, L1: 1.
Dec 18 17:58:09 test kernel: [12024.995009] 21, L1: 1.
Dec 18 17:58:09 test kernel: [12024.995040] 22, L1: 1.
Dec 18 17:58:09 test kernel: [12024.995065] 23, L1: 1.
Dec 18 17:58:09 test kernel: [12024.995093] 24, L1: 1.
Dec 18 17:58:09 test kernel: [12024.995121] 25, L1: 1.
Dec 18 17:58:09 test kernel: [12024.995148] 26, L1: 1.
Dec 18 17:58:09 test kernel: [12025.004987] 27, L1: 1.
Dec 18 17:58:09 test kernel: [12025.005795] 28, L1: 1.
Dec 18 17:58:09 test kernel: [12025.005830] 29, L1: 1.
Dec 18 17:58:09 test kernel: [12025.005856] 30, L1: 1.
Dec 18 17:58:09 test kernel: [12025.006240] 31, L1: 1.
Dec 18 17:58:09 test kernel: [12025.007198] 32, L1: 1.
Dec 18 17:58:09 test kernel: [12025.024140] 33, L1: 1.
Dec 18 17:58:09 test kernel: [12025.025230] 34, L1: 1.
Dec 18 17:58:09 test kernel: [12025.026789] 35, L1: 1.
Dec 18 17:58:09 test kernel: [12025.030353] 36, L1: 1.
Dec 18 17:58:09 test kernel: [12025.033971] 37, L1: 1.
Dec 18 17:58:09 test kernel: [12025.036806] 38, L1: 1.
Dec 18 17:58:09 test kernel: [12025.040670] 39, L1: 1.
Dec 18 17:58:09 test kernel: [12025.040982] 40, L1: 1.
Dec 18 17:58:09 test kernel: [12025.041281] 41, L1: 1.
Dec 18 17:58:09 test kernel: [12025.041516] 42, L1: 1.
Dec 18 17:58:09 test kernel: [12025.041745] 43, L1: 1.
Dec 18 17:58:09 test kernel: [12025.042278] 44, L1: 1.
Dec 18 17:58:09 test kernel: [12025.042347] 45, L1: 1.
Dec 18 17:58:09 test kernel: [12025.042759] 46, L1: 1.
Dec 18 17:58:09 test kernel: [12025.043049] 47, L1: 1.
Dec 18 17:58:09 test kernel: [12025.043288] 48, L1: 1.
Dec 18 17:58:09 test kernel: [12025.045547] 49, L1: 1.
Dec 18 17:58:09 test kernel: [12025.076902] 50, L1: 1.
Dec 18 17:58:09 test kernel: [12025.109266] 51, L1: 1.
Dec 18 17:58:09 test kernel: [12025.109563] 52, L1: 1.
Dec 18 17:58:09 test kernel: [12025.109830] 53, L1: 1.
Dec 18 17:58:09 test kernel: [12025.110445] 54, L1: 1.
Dec 18 17:58:09 test kernel: [12025.132637] 55, L1: 1.
Dec 18 17:58:09 test kernel: [12025.132693] 56, L1: 1.
Dec 18 17:58:09 test kernel: [12025.133843] 57, L1: 1.
Dec 18 17:58:09 test kernel: [12025.139280] 58, L1: 1.
Dec 18 17:58:09 test kernel: [12025.139675] 59, L1: 1.
Dec 18 17:58:09 test kernel: [12025.139799] 60, L1: 1.
Dec 18 17:58:09 test kernel: [12025.152809] 61, L1: 1.
Dec 18 17:58:09 test kernel: [12025.166255] 62, L1: 1.
Dec 18 17:58:09 test kernel: [12025.166463] 63, L1: 1.
Dec 18 17:58:09 test kernel: [12025.167000] 64, L1: 1.
Dec 18 17:58:09 test kernel: [12025.167671] 65, L1: 1.
Dec 18 17:58:09 test kernel: [12025.168120] 66, L1: 1.
Dec 18 17:58:09 test kernel: [12025.172582] 67, L1: 1.
Dec 18 17:58:09 test kernel: [12025.172882] 68, L1: 1.
Dec 18 17:58:09 test kernel: [12025.174183] 69, L1: 1.
Dec 18 17:58:09 test kernel: [12025.174367] 70, L1: 1.
Dec 18 17:58:09 test kernel: [12025.190097] 71, L1: 1.
Dec 18 17:58:09 test kernel: [12025.197177] 72, L1: 1.
Dec 18 17:58:09 test kernel: [12025.198255] 73, L1: 1.
Dec 18 17:58:09 test kernel: [12025.199617] 74, L1: 1.
Dec 18 17:58:09 test kernel: [12025.203340] 75, L1: 1.
Dec 18 17:58:09 test kernel: [12025.203681] 76, L1: 1.
Dec 18 17:58:09 test kernel: [12025.203806] 77, L1: 1.
Dec 18 17:58:09 test kernel: [12025.205081] 78, L1: 1.
Dec 18 17:58:09 test kernel: [12025.206951] 79, L1: 1.
Dec 18 17:58:10 test kernel: [12025.217725] 80, L1: 1.
Dec 18 17:58:10 test kernel: [12025.234716] 81, L1: 1.
Dec 18 17:58:10 test kernel: [12025.234749] 82, L1: 1.
Dec 18 17:58:10 test kernel: [12025.234776] 83, L1: 1.
Dec 18 17:58:10 test kernel: [12025.234800] 84, L1: 1.
Dec 18 17:58:10 test kernel: [12025.234823] 85, L1: 1.
Dec 18 17:58:10 test kernel: [12025.234847] 86, L1: 1.
Dec 18 17:58:10 test kernel: [12025.234873] 87, L1: 1.
Dec 18 17:58:10 test kernel: [12025.236713] 88, L1: 1.
Dec 18 17:58:10 test kernel: [12025.236753] 89, L1: 1.
Dec 18 17:58:10 test kernel: [12025.236792] 90, L1: 1.
Dec 18 17:58:10 test kernel: [12025.237683] 91, L1: 1.
Dec 18 17:58:10 test kernel: [12025.250888] 92, L1: 1.
Dec 18 17:58:10 test kernel: [12025.250922] 93, L1: 1.
Dec 18 17:58:10 test kernel: [12025.250949] 94, L1: 1.
Dec 18 17:58:10 test kernel: [12025.250976] 95, L1: 1.
Dec 18 17:58:10 test kernel: [12025.251001] 96, L1: 1.
Dec 18 17:58:10 test kernel: [12025.251026] 97, L1: 1.
Dec 18 17:58:10 test kernel: [12025.251051] 98, L1: 1.
Dec 18 17:58:10 test kernel: [12025.251416] 99, L1: 1.
Dec 18 17:58:10 test kernel: [12025.251442] 100, L1: 1.
Dec 18 17:58:10 test kernel: [12025.251468] 101, L1: 1.
Dec 18 17:58:10 test kernel: [12025.251682] 102, L1: 1.
Dec 18 17:58:10 test kernel: [12025.251709] 103, L1: 1.
Dec 18 17:58:10 test kernel: [12025.251733] 104, L1: 1.
Dec 18 17:58:10 test kernel: [12025.251880] 105, L1: 1.
Dec 18 17:58:10 test kernel: [12025.252003] 106, L1: 1.
Dec 18 17:58:10 test kernel: [12025.252694] 107, L1: 1.
Dec 18 17:58:10 test kernel: [12025.252954] 108, L1: 1.
Dec 18 17:58:10 test kernel: [12025.254181] 109, L1: 1.
Dec 18 17:58:10 test kernel: [12025.254213] 110, L1: 1.
Dec 18 17:58:10 test kernel: [12025.254238] 111, L1: 1.
Dec 18 17:58:10 test kernel: [12025.254262] 112, L1: 1.
Dec 18 17:58:10 test kernel: [12025.254286] 113, L1: 1.
Dec 18 17:58:10 test kernel: [12025.254310] 114, L1: 1.
Dec 18 17:58:10 test kernel: [12025.254333] 115, L1: 1.
Dec 18 17:58:10 test kernel: [12025.254910] 116, L1: 1.
Dec 18 17:58:10 test kernel: [12025.254937] 117, L1: 1.
Dec 18 17:58:10 test kernel: [12025.254962] 118, L1: 1.
Dec 18 17:58:10 test kernel: [12025.255197] 119, L1: 1.
Dec 18 17:58:10 test kernel: [12025.255226] 120, L1: 1.
Dec 18 17:58:10 test kernel: [12025.255250] 121, L1: 1.
Dec 18 17:58:10 test kernel: [12025.255633] 122, L1: 1.
Dec 18 17:58:10 test kernel: [12025.255776] 123, L1: 1.
Dec 18 17:58:10 test kernel: [12025.256921] 124, L1: 1.
Dec 18 17:58:10 test kernel: [12025.258612] 125, L1: 1.
Dec 18 17:58:10 test kernel: [12025.325354] 126, L1: 1.
Dec 18 17:58:10 test kernel: [12025.325393] 127, L1: 1.
Dec 18 17:58:10 test kernel: [12025.325421] 128, L1: 1.
Dec 18 17:58:10 test kernel: [12025.325445] 129, L1: 1.
Dec 18 17:58:10 test kernel: [12025.325470] 130, L1: 1.
Dec 18 17:58:10 test kernel: [12025.325496] 131, L1: 1.
Dec 18 17:58:10 test kernel: [12025.325520] 132, L1: 1.
Dec 18 17:58:10 test kernel: [12025.327205] 133, L1: 1.
Dec 18 17:58:10 test kernel: [12025.327235] 134, L1: 1.
Dec 18 17:58:10 test kernel: [12025.327261] 135, L1: 1.
Dec 18 17:58:10 test kernel: [12025.327622] 136, L1: 1.
Dec 18 17:58:10 test kernel: [12025.329113] 137, L1: 1.
Dec 18 17:58:10 test kernel: [12025.329546] 138, L1: 1.
Dec 18 17:58:10 test kernel: [12025.329831] 139, L1: 1.
Dec 18 17:58:10 test kernel: [12025.337507] 140, L1: 1.
Dec 18 17:58:10 test kernel: [12025.338124] 141, L1: 1.
Dec 18 17:58:10 test kernel: [12025.339183] 142, L1: 1.
Dec 18 17:58:10 test kernel: [12025.339216] 143, L1: 1.
Dec 18 17:58:10 test kernel: [12025.339244] 144, L1: 1.
Dec 18 17:58:10 test kernel: [12025.339269] 145, L1: 1.
Dec 18 17:58:10 test kernel: [12025.339293] 146, L1: 1.
