SEED #1
RD: 	 FIELD(4402), 	 VALUE(20)
WR: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d9)
REG: 	 FIELD(RAX), 	 I_VALUE(8fb), O_VALUE(8fb)
REG: 	 FIELD(RBX), 	 I_VALUE(0), O_VALUE(1)
REG: 	 FIELD(RCX), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDX), 	 I_VALUE(1), O_VALUE(2)
REG: 	 FIELD(R8), 	 I_VALUE(ffff88803fc29a90), O_VALUE(ffff88803fca9a90)
REG: 	 FIELD(R9), 	 I_VALUE(28700), O_VALUE(28700)
REG: 	 FIELD(R10), 	 I_VALUE(ffffc90000433b98), O_VALUE(ffffc9000027b9b0)
REG: 	 FIELD(R11), 	 I_VALUE(26d890cc9e), O_VALUE(26d848ea16)
REG: 	 FIELD(R12), 	 I_VALUE(ffff88800593f0c0), O_VALUE(ffff888036bc91c0)
REG: 	 FIELD(R13), 	 I_VALUE(ffff88800593f7ac), O_VALUE(ffff888036bc98ac)
REG: 	 FIELD(R14), 	 I_VALUE(0), O_VALUE(1)
REG: 	 FIELD(R15), 	 I_VALUE(ffff88803fc00000), O_VALUE(ffff88803fc80000)
REG: 	 FIELD(RBP), 	 I_VALUE(0), O_VALUE(0)
REG: 	 FIELD(RSI), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDI), 	 I_VALUE(1000008fb), O_VALUE(2000008fb)
EXIT REASON: MSR_WRITE

SEED #6
RD: 	 FIELD(4402), 	 VALUE(20)
RD: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d7)
WR: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d9)
REG: 	 FIELD(RAX), 	 I_VALUE(8fb), O_VALUE(8fb)
REG: 	 FIELD(RBX), 	 I_VALUE(2), O_VALUE(0)
REG: 	 FIELD(RCX), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDX), 	 I_VALUE(4), O_VALUE(1)
REG: 	 FIELD(R8), 	 I_VALUE(ffff88803fd29a90), O_VALUE(ffff88803fc29a90)
REG: 	 FIELD(R9), 	 I_VALUE(28700), O_VALUE(28700)
REG: 	 FIELD(R10), 	 I_VALUE(ffffc90000433b98), O_VALUE(ffffc90000433b98)
REG: 	 FIELD(R11), 	 I_VALUE(26d97dc48d), O_VALUE(26d890cc9e)
REG: 	 FIELD(R12), 	 I_VALUE(ffff88800647d000), O_VALUE(ffff88800593f0c0)
REG: 	 FIELD(R13), 	 I_VALUE(ffff88800647d6ec), O_VALUE(ffff88800593f7ac)
REG: 	 FIELD(R14), 	 I_VALUE(2), O_VALUE(0)
REG: 	 FIELD(R15), 	 I_VALUE(ffff88803fd00000), O_VALUE(ffff88803fc00000)
REG: 	 FIELD(RBP), 	 I_VALUE(0), O_VALUE(0)
REG: 	 FIELD(RSI), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDI), 	 I_VALUE(4000008fb), O_VALUE(1000008fb)
EXIT REASON: MSR_WRITE

SEED #7
RD: 	 FIELD(4402), 	 VALUE(20)
RD: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d7)
WR: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d9)
REG: 	 FIELD(RAX), 	 I_VALUE(8fb), O_VALUE(8fb)
REG: 	 FIELD(RBX), 	 I_VALUE(1), O_VALUE(2)
REG: 	 FIELD(RCX), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDX), 	 I_VALUE(2), O_VALUE(4)
REG: 	 FIELD(R8), 	 I_VALUE(ffff88803fca9a90), O_VALUE(ffff88803fd29a90)
REG: 	 FIELD(R9), 	 I_VALUE(28700), O_VALUE(28700)
REG: 	 FIELD(R10), 	 I_VALUE(ffffc900001249b0), O_VALUE(ffffc90000433b98)
REG: 	 FIELD(R11), 	 I_VALUE(26db391550), O_VALUE(26d97dc48d)
REG: 	 FIELD(R12), 	 I_VALUE(ffff888036bc91c0), O_VALUE(ffff88800647d000)
REG: 	 FIELD(R13), 	 I_VALUE(ffff888036bc98ac), O_VALUE(ffff88800647d6ec)
REG: 	 FIELD(R14), 	 I_VALUE(1), O_VALUE(2)
REG: 	 FIELD(R15), 	 I_VALUE(ffff88803fc80000), O_VALUE(ffff88803fd00000)
REG: 	 FIELD(RBP), 	 I_VALUE(0), O_VALUE(0)
REG: 	 FIELD(RSI), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDI), 	 I_VALUE(2000008fb), O_VALUE(4000008fb)
EXIT REASON: MSR_WRITE

SEED #8
RD: 	 FIELD(4402), 	 VALUE(20)
RD: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d7)
WR: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d9)
REG: 	 FIELD(RAX), 	 I_VALUE(8fb), O_VALUE(8fb)
REG: 	 FIELD(RBX), 	 I_VALUE(0), O_VALUE(1)
REG: 	 FIELD(RCX), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDX), 	 I_VALUE(1), O_VALUE(2)
REG: 	 FIELD(R8), 	 I_VALUE(ffff88803fc29a90), O_VALUE(ffff88803fca9a90)
REG: 	 FIELD(R9), 	 I_VALUE(28700), O_VALUE(28700)
REG: 	 FIELD(R10), 	 I_VALUE(ffffc900001c3cd8), O_VALUE(ffffc900001249b0)
REG: 	 FIELD(R11), 	 I_VALUE(26db4159f5), O_VALUE(26db391550)
REG: 	 FIELD(R12), 	 I_VALUE(ffff888004c9b1c0), O_VALUE(ffff888036bc91c0)
REG: 	 FIELD(R13), 	 I_VALUE(ffff888004c9b8ac), O_VALUE(ffff888036bc98ac)
REG: 	 FIELD(R14), 	 I_VALUE(0), O_VALUE(1)
REG: 	 FIELD(R15), 	 I_VALUE(ffff88803fc00000), O_VALUE(ffff88803fc80000)
REG: 	 FIELD(RBP), 	 I_VALUE(0), O_VALUE(0)
REG: 	 FIELD(RSI), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDI), 	 I_VALUE(1000008fb), O_VALUE(2000008fb)
EXIT REASON: MSR_WRITE

SEED #9
RD: 	 FIELD(4402), 	 VALUE(20)
RD: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d7)
WR: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d9)
REG: 	 FIELD(RAX), 	 I_VALUE(8fb), O_VALUE(8fb)
REG: 	 FIELD(RBX), 	 I_VALUE(0), O_VALUE(0)
REG: 	 FIELD(RCX), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDX), 	 I_VALUE(1), O_VALUE(1)
REG: 	 FIELD(R8), 	 I_VALUE(ffff88803fc29a90), O_VALUE(ffff88803fc29a90)
REG: 	 FIELD(R9), 	 I_VALUE(28700), O_VALUE(28700)
REG: 	 FIELD(R10), 	 I_VALUE(ffffc900001c3cd8), O_VALUE(ffffc900001c3cd8)
REG: 	 FIELD(R11), 	 I_VALUE(26dc7f59bb), O_VALUE(26db4159f5)
REG: 	 FIELD(R12), 	 I_VALUE(ffff888004c9b1c0), O_VALUE(ffff888004c9b1c0)
REG: 	 FIELD(R13), 	 I_VALUE(ffff888004c9b8ac), O_VALUE(ffff888004c9b8ac)
REG: 	 FIELD(R14), 	 I_VALUE(0), O_VALUE(0)
REG: 	 FIELD(R15), 	 I_VALUE(ffff88803fc00000), O_VALUE(ffff88803fc00000)
REG: 	 FIELD(RBP), 	 I_VALUE(0), O_VALUE(0)
REG: 	 FIELD(RSI), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDI), 	 I_VALUE(1000008fb), O_VALUE(1000008fb)
EXIT REASON: MSR_WRITE

SEED #10
RD: 	 FIELD(4402), 	 VALUE(20)
RD: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d7)
WR: 	 FIELD(681e), 	 VALUE(ffffffff8103a7d9)
REG: 	 FIELD(RAX), 	 I_VALUE(8fb), O_VALUE(8fb)
REG: 	 FIELD(RBX), 	 I_VALUE(1), O_VALUE(0)
REG: 	 FIELD(RCX), 	 I_VALUE(830), O_VALUE(830)
REG: 	 FIELD(RDX), 	 I_VALUE(2), O_VALUE(1)
REG: 	 FIELD(R8), 	 I_VALUE(ffff88803fca9a90), O_VALUE(ffff88803fc29a90)
REG: 	 FIELD(R9), 	 I_VALUE(28700), O_VALUE(28700)
REG: 	 FIELD(R10), 	 I_VALUE(ffffc90000433b98), O_VALUE(ffffc900001c3cd8)
REG: 	 FIELD(R11), 	 I_VALUE(26de442f4f), O_VALUE(26dc7f59bb)
REG: 	 FIELD(R12), 	 I_VALUE(ffff8880359d1080), O_VALUE(ffff888004c9b1c0)
REG: 	 FIELD(R13), 	 I_VALUE(ffff8880359d176c), O_VALUE(ffff888004c9b8ac)
REG: 	 FIELD(R14), 	 I_VALUE(1), O_VALUE(0)
