Dec 18 17:17:40 test kernel: [ 9595.331162] [TRACE_KVM] Buffer & to_replay created
Dec 18 17:17:40 test kernel: [ 9595.331196] [HAVFUZZ] Opened
Dec 18 17:18:12 test kernel: [ 9628.181790] [TRACE_KVM] The trarget vcpu is 3
Dec 18 17:18:13 test kernel: [ 9628.251832] [Trace KVM] Buffer reset
Dec 18 17:18:13 test kernel: [ 9628.251838] [TRACE_KVM] Buffer size changed
Dec 18 17:18:13 test kernel: [ 9628.251845] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 18 17:18:13 test kernel: [ 9628.251847] [TRACE_KVM] gran exit set to 0.
Dec 18 17:18:13 test kernel: [ 9628.251849] [TRACE_KVM] Control_execution set to 1.
Dec 18 17:18:13 test kernel: [ 9628.251850] [TRACE_KVM] tracing enabled
Dec 18 17:18:13 test kernel: [ 9628.257291] 0, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.309334] 1, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.320612] 2, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.324792] 3, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.403189] 4, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.464605] 5, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.569135] 6, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.569696] 7, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.600604] 8, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.617329] 9, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.649471] 10, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.672902] 11, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.674950] 12, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.675524] 13, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.695005] 14, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.708605] 15, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.709055] 16, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.747619] 17, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.748890] 18, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.748923] 19, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.748949] 20, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.748973] 21, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.748999] 22, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.749025] 23, L1: 1.
Dec 18 17:18:13 test kernel: [ 9628.749051] 24, L1: 1.
