Dec 15 08:40:53 test kernel: [45290.332139] [TRACE_KVM] Buffer & to_replay created
Dec 15 08:40:53 test kernel: [45290.332176] [HAVFUZZ] Opened
Dec 15 08:41:27 test kernel: [45324.088416] [TRACE_KVM] The trarget vcpu is 3
Dec 15 08:41:27 test kernel: [45324.184731] [Trace KVM] Buffer reset
Dec 15 08:41:27 test kernel: [45324.184737] [TRACE_KVM] Buffer size changed
Dec 15 08:41:27 test kernel: [45324.184746] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 08:41:27 test kernel: [45324.184749] [TRACE_KVM] gran exit set to 0.
Dec 15 08:41:27 test kernel: [45324.184750] [TRACE_KVM] Control_execution set to 1.
Dec 15 08:41:27 test kernel: [45324.184752] [TRACE_KVM] tracing enabled
Dec 15 08:41:27 test kernel: [45324.227002] 0, L1: 1.
Dec 15 08:41:27 test kernel: [45324.235254] 1, L1: 1.
Dec 15 08:41:27 test kernel: [45324.235293] 2, L1: 1.
Dec 15 08:41:27 test kernel: [45324.235544] 3, L1: 1.
Dec 15 08:41:27 test kernel: [45324.235631] 4, L1: 1.
Dec 15 08:41:27 test kernel: [45324.235658] 5, L1: 1.
Dec 15 08:41:27 test kernel: [45324.235683] 6, L1: 1.
Dec 15 08:41:27 test kernel: [45324.235708] 7, L1: 1.
Dec 15 08:41:27 test kernel: [45324.235733] 8, L1: 1.
Dec 15 08:41:27 test kernel: [45324.239534] 9, L1: 1.
Dec 15 08:41:27 test kernel: [45324.239561] 10, L1: 1.
Dec 15 08:41:27 test kernel: [45324.239626] 11, L1: 1.
Dec 15 08:41:27 test kernel: [45324.242425] 12, L1: 1.
Dec 15 08:41:27 test kernel: [45324.314064] 13, L1: 1.
Dec 15 08:41:27 test kernel: [45324.317056] 14, L1: 1.
Dec 15 08:41:27 test kernel: [45324.317088] 15, L1: 1.
Dec 15 08:41:27 test kernel: [45324.317116] 16, L1: 1.
Dec 15 08:41:27 test kernel: [45324.317143] 17, L1: 1.
Dec 15 08:41:27 test kernel: [45324.317170] 18, L1: 1.
Dec 15 08:41:27 test kernel: [45324.317197] 19, L1: 1.
Dec 15 08:41:27 test kernel: [45324.317224] 20, L1: 1.
Dec 15 08:41:27 test kernel: [45324.339269] 21, L1: 1.
Dec 15 08:41:27 test kernel: [45324.339307] 22, L1: 1.
Dec 15 08:41:27 test kernel: [45324.339335] 23, L1: 1.
Dec 15 08:41:27 test kernel: [45324.340436] 24, L1: 1.
Dec 15 08:41:27 test kernel: [45324.341857] 25, L1: 1.
Dec 15 08:41:27 test kernel: [45324.341891] 26, L1: 1.
Dec 15 08:41:27 test kernel: [45324.341922] 27, L1: 1.
Dec 15 08:41:27 test kernel: [45324.341951] 28, L1: 1.
Dec 15 08:41:27 test kernel: [45324.341981] 29, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342011] 30, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342041] 31, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342070] 32, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342100] 33, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342130] 34, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342160] 35, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342190] 36, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342220] 37, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342249] 38, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342279] 39, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342308] 40, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342339] 41, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342368] 42, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342398] 43, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342427] 44, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342457] 45, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342486] 46, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342516] 47, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342546] 48, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342576] 49, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342605] 50, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342635] 51, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342664] 52, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342694] 53, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342724] 54, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342754] 55, L1: 1.
Dec 15 08:41:27 test kernel: [45324.342783] 56, L1: 1.
Dec 15 08:41:27 test kernel: [45324.343466] 57, L1: 1.
Dec 15 08:41:27 test kernel: [45324.369649] 58, L1: 1.
Dec 15 08:41:27 test kernel: [45324.526185] 59, L1: 1.
Dec 15 08:41:27 test kernel: [45324.526227] 60, L1: 1.
Dec 15 08:41:27 test kernel: [45324.526256] 61, L1: 1.
Dec 15 08:41:27 test kernel: [45324.526281] 62, L1: 1.
Dec 15 08:41:27 test kernel: [45324.526305] 63, L1: 1.
Dec 15 08:41:27 test kernel: [45324.526331] 64, L1: 1.
Dec 15 08:41:27 test kernel: [45324.526357] 65, L1: 1.
Dec 15 08:41:27 test kernel: [45324.526574] 66, L1: 1.
Dec 15 08:41:27 test kernel: [45324.526601] 67, L1: 1.
Dec 15 08:41:27 test kernel: [45324.526627] 68, L1: 1.
Dec 15 08:41:27 test kernel: [45324.527023] 69, L1: 1.
Dec 15 08:41:27 test kernel: [45324.527053] 70, L1: 1.
Dec 15 08:41:27 test kernel: [45324.527078] 71, L1: 1.
Dec 15 08:41:27 test kernel: [45324.527102] 72, L1: 1.
Dec 15 08:41:27 test kernel: [45324.527126] 73, L1: 1.
Dec 15 08:41:27 test kernel: [45324.527151] 74, L1: 1.
Dec 15 08:41:27 test kernel: [45324.527175] 75, L1: 1.
Dec 15 08:41:27 test kernel: [45324.527326] 76, L1: 1.
Dec 15 08:41:27 test kernel: [45324.527356] 77, L1: 1.
Dec 15 08:41:27 test kernel: [45324.527381] 78, L1: 1.
Dec 15 08:41:28 test kernel: [45324.997894] 79, L1: 1.
Dec 15 08:41:29 test kernel: [45326.129879] 80, L1: 1.
Dec 15 08:41:29 test kernel: [45326.131591] 81, L1: 1.
Dec 15 08:41:29 test kernel: [45326.148852] 82, L1: 1.
Dec 15 08:41:29 test kernel: [45326.186198] 83, L1: 1.
Dec 15 08:41:29 test kernel: [45326.209341] 84, L1: 1.
Dec 15 08:41:29 test kernel: [45326.225435] 85, L1: 1.
Dec 15 08:41:29 test kernel: [45326.253750] 86, L1: 1.
Dec 15 08:41:29 test kernel: [45326.253813] 87, L1: 1.
Dec 15 08:41:29 test kernel: [45326.254387] 88, L1: 1.
Dec 15 08:41:29 test kernel: [45326.280859] 89, L1: 1.
Dec 15 08:41:29 test kernel: [45326.401309] 90, L1: 1.
Dec 15 08:41:29 test kernel: [45326.429198] 91, L1: 1.
Dec 15 08:41:29 test kernel: [45326.431382] 92, L1: 1.
Dec 15 08:41:29 test kernel: [45326.440990] 93, L1: 1.
Dec 15 08:41:29 test kernel: [45326.477587] 94, L1: 1.
Dec 15 08:41:29 test kernel: [45326.478313] 95, L1: 1.
Dec 15 08:41:29 test kernel: [45326.480554] 96, L1: 1.
Dec 15 08:41:29 test kernel: [45326.481005] 97, L1: 1.
Dec 15 08:41:29 test kernel: [45326.482590] 98, L1: 1.
Dec 15 08:41:29 test kernel: [45326.482623] 99, L1: 1.
Dec 15 08:41:29 test kernel: [45326.482652] 100, L1: 1.
Dec 15 08:41:29 test kernel: [45326.482679] 101, L1: 1.
Dec 15 08:41:29 test kernel: [45326.482706] 102, L1: 1.
Dec 15 08:41:29 test kernel: [45326.482733] 103, L1: 1.
Dec 15 08:41:29 test kernel: [45326.482760] 104, L1: 1.
Dec 15 08:41:29 test kernel: [45326.485397] 105, L1: 1.
Dec 15 08:41:29 test kernel: [45326.485433] 106, L1: 1.
Dec 15 08:41:29 test kernel: [45326.485459] 107, L1: 1.
Dec 15 08:41:29 test kernel: [45326.485725] 108, L1: 1.
Dec 15 08:41:29 test kernel: [45326.487439] 109, L1: 1.
Dec 15 08:41:29 test kernel: [45326.488429] 110, L1: 1.
Dec 15 08:41:29 test kernel: [45326.488461] 111, L1: 1.
Dec 15 08:41:29 test kernel: [45326.488487] 112, L1: 1.
Dec 15 08:41:29 test kernel: [45326.488511] 113, L1: 1.
Dec 15 08:41:29 test kernel: [45326.488537] 114, L1: 1.
Dec 15 08:41:29 test kernel: [45326.488563] 115, L1: 1.
Dec 15 08:41:29 test kernel: [45326.488589] 116, L1: 1.
Dec 15 08:41:29 test kernel: [45326.490709] 117, L1: 1.
Dec 15 08:41:29 test kernel: [45326.490741] 118, L1: 1.
Dec 15 08:41:29 test kernel: [45326.490768] 119, L1: 1.
Dec 15 08:41:29 test kernel: [45326.491417] 120, L1: 1.
Dec 15 08:41:29 test kernel: [45326.493878] 121, L1: 1.
Dec 15 08:41:29 test kernel: [45326.494325] 122, L1: 1.
Dec 15 08:41:29 test kernel: [45326.494356] 123, L1: 1.
Dec 15 08:41:29 test kernel: [45326.494382] 124, L1: 1.
Dec 15 08:41:29 test kernel: [45326.494410] 125, L1: 1.
Dec 15 08:41:29 test kernel: [45326.494436] 126, L1: 1.
Dec 15 08:41:29 test kernel: [45326.494460] 127, L1: 1.
Dec 15 08:41:29 test kernel: [45326.494485] 128, L1: 1.
Dec 15 08:41:29 test kernel: [45326.494873] 129, L1: 1.
Dec 15 08:41:29 test kernel: [45326.494899] 130, L1: 1.
Dec 15 08:41:29 test kernel: [45326.494923] 131, L1: 1.
Dec 15 08:41:29 test kernel: [45326.495123] 132, L1: 1.
Dec 15 08:41:29 test kernel: [45326.495150] 133, L1: 1.
Dec 15 08:41:29 test kernel: [45326.495176] 134, L1: 1.
Dec 15 08:41:29 test kernel: [45326.495327] 135, L1: 1.
Dec 15 08:41:29 test kernel: [45326.496129] 136, L1: 1.
Dec 15 08:41:29 test kernel: [45326.497388] 137, L1: 1.
Dec 15 08:41:29 test kernel: [45326.500152] 138, L1: 1.
