Dec 18 20:23:26 test kernel: [20741.722991] [TRACE_KVM] Buffer & to_replay created
Dec 18 20:23:26 test kernel: [20741.723025] [HAVFUZZ] Opened
Dec 18 20:23:57 test kernel: [20773.085329] [TRACE_KVM] The trarget vcpu is 3
Dec 18 20:23:57 test kernel: [20773.155560] [Trace KVM] Buffer reset
Dec 18 20:23:57 test kernel: [20773.155568] [TRACE_KVM] Buffer size changed
Dec 18 20:23:57 test kernel: [20773.155579] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 18 20:23:57 test kernel: [20773.155581] [TRACE_KVM] gran exit set to 0.
Dec 18 20:23:57 test kernel: [20773.155583] [TRACE_KVM] Control_execution set to 1.
Dec 18 20:23:57 test kernel: [20773.155584] [TRACE_KVM] tracing enabled
Dec 18 20:23:57 test kernel: [20773.157996] 0, L1: 1.
Dec 18 20:23:57 test kernel: [20773.162717] 1, L1: 1.
Dec 18 20:23:57 test kernel: [20773.163283] 2, L1: 1.
Dec 18 20:23:57 test kernel: [20773.169288] 3, L1: 1.
Dec 18 20:23:57 test kernel: [20773.201830] 4, L1: 1.
Dec 18 20:23:57 test kernel: [20773.203050] 5, L1: 1.
Dec 18 20:23:57 test kernel: [20773.203081] 6, L1: 1.
Dec 18 20:23:57 test kernel: [20773.203110] 7, L1: 1.
Dec 18 20:23:57 test kernel: [20773.203137] 8, L1: 1.
Dec 18 20:23:57 test kernel: [20773.203164] 9, L1: 1.
Dec 18 20:23:57 test kernel: [20773.203190] 10, L1: 1.
Dec 18 20:23:57 test kernel: [20773.203217] 11, L1: 1.
Dec 18 20:23:57 test kernel: [20773.206476] 12, L1: 1.
Dec 18 20:23:57 test kernel: [20773.206506] 13, L1: 1.
Dec 18 20:23:57 test kernel: [20773.206531] 14, L1: 1.
Dec 18 20:23:58 test kernel: [20773.304984] 15, L1: 1.
Dec 18 20:23:58 test kernel: [20773.305115] 16, L1: 1.
Dec 18 20:23:58 test kernel: [20773.305525] 17, L1: 1.
Dec 18 20:23:58 test kernel: [20773.312658] 18, L1: 1.
Dec 18 20:23:58 test kernel: [20773.312691] 19, L1: 1.
Dec 18 20:23:58 test kernel: [20773.312791] 20, L1: 1.
Dec 18 20:23:58 test kernel: [20773.312819] 21, L1: 1.
Dec 18 20:23:58 test kernel: [20773.312846] 22, L1: 1.
Dec 18 20:23:58 test kernel: [20773.312873] 23, L1: 1.
Dec 18 20:23:58 test kernel: [20773.312900] 24, L1: 1.
Dec 18 20:23:58 test kernel: [20773.313564] 25, L1: 1.
Dec 18 20:23:58 test kernel: [20773.316169] 26, L1: 1.
Dec 18 20:23:58 test kernel: [20773.316201] 27, L1: 1.
Dec 18 20:23:58 test kernel: [20773.316227] 28, L1: 1.
Dec 18 20:23:58 test kernel: [20773.316915] 29, L1: 1.
Dec 18 20:23:58 test kernel: [20773.316969] 30, L1: 1.
Dec 18 20:23:58 test kernel: [20773.321589] 31, L1: 1.
Dec 18 20:23:58 test kernel: [20773.351971] 32, L1: 1.
Dec 18 20:23:58 test kernel: [20773.368759] 33, L1: 1.
Dec 18 20:23:58 test kernel: [20773.457067] 34, L1: 1.
Dec 18 20:23:58 test kernel: [20773.458774] 35, L1: 1.
Dec 18 20:23:58 test kernel: [20773.459209] 36, L1: 1.
Dec 18 20:23:58 test kernel: [20773.459640] 37, L1: 1.
Dec 18 20:23:58 test kernel: [20773.460054] 38, L1: 1.
Dec 18 20:23:58 test kernel: [20773.460848] 39, L1: 1.
Dec 18 20:23:58 test kernel: [20773.461887] 40, L1: 1.
Dec 18 20:23:58 test kernel: [20773.481081] 41, L1: 1.
Dec 18 20:23:58 test kernel: [20773.533169] 42, L1: 1.
Dec 18 20:23:58 test kernel: [20773.544693] 43, L1: 1.
Dec 18 20:23:58 test kernel: [20773.544918] 44, L1: 1.
Dec 18 20:23:58 test kernel: [20773.566351] 45, L1: 1.
Dec 18 20:23:58 test kernel: [20773.570635] 46, L1: 1.
Dec 18 20:23:58 test kernel: [20773.598727] 47, L1: 1.
Dec 18 20:23:58 test kernel: [20773.598797] 48, L1: 1.
Dec 18 20:23:58 test kernel: [20773.632604] 49, L1: 1.
Dec 18 20:23:58 test kernel: [20773.632725] 50, L1: 1.
Dec 18 20:23:58 test kernel: [20773.664605] 51, L1: 1.
Dec 18 20:23:58 test kernel: [20773.664841] 52, L1: 1.
Dec 18 20:23:58 test kernel: [20773.683785] 53, L1: 1.
Dec 18 20:23:58 test kernel: [20773.684036] 54, L1: 1.
Dec 18 20:23:58 test kernel: [20773.684912] 55, L1: 1.
Dec 18 20:23:58 test kernel: [20773.685072] 56, L1: 1.
Dec 18 20:23:58 test kernel: [20773.686351] 57, L1: 1.
Dec 18 20:23:58 test kernel: [20773.696794] 58, L1: 1.
Dec 18 20:23:58 test kernel: [20773.698987] 59, L1: 1.
Dec 18 20:23:58 test kernel: [20773.699178] 60, L1: 1.
Dec 18 20:23:58 test kernel: [20773.702281] 61, L1: 1.
Dec 18 20:23:58 test kernel: [20773.703416] 62, L1: 1.
Dec 18 20:23:58 test kernel: [20773.704231] 63, L1: 1.
Dec 18 20:23:58 test kernel: [20773.705190] 64, L1: 1.
Dec 18 20:23:58 test kernel: [20773.705452] 65, L1: 1.
Dec 18 20:23:58 test kernel: [20773.706072] 66, L1: 1.
Dec 18 20:23:58 test kernel: [20773.774907] 67, L1: 1.
Dec 18 20:23:58 test kernel: [20773.774947] 68, L1: 1.
Dec 18 20:23:58 test kernel: [20773.774975] 69, L1: 1.
Dec 18 20:23:58 test kernel: [20773.775000] 70, L1: 1.
Dec 18 20:23:58 test kernel: [20773.775025] 71, L1: 1.
Dec 18 20:23:58 test kernel: [20773.775052] 72, L1: 1.
Dec 18 20:23:58 test kernel: [20773.775077] 73, L1: 1.
Dec 18 20:23:58 test kernel: [20773.776917] 74, L1: 1.
Dec 18 20:23:58 test kernel: [20773.776945] 75, L1: 1.
Dec 18 20:23:58 test kernel: [20773.776970] 76, L1: 1.
Dec 18 20:23:58 test kernel: [20773.777343] 77, L1: 1.
Dec 18 20:23:58 test kernel: [20773.778548] 78, L1: 1.
Dec 18 20:23:58 test kernel: [20773.778886] 79, L1: 1.
Dec 18 20:23:58 test kernel: [20773.779197] 80, L1: 1.
Dec 18 20:23:58 test kernel: [20773.784650] 81, L1: 1.
Dec 18 20:23:58 test kernel: [20773.786921] 82, L1: 1.
Dec 18 20:23:58 test kernel: [20773.787926] 83, L1: 1.
Dec 18 20:23:58 test kernel: [20773.787957] 84, L1: 1.
Dec 18 20:23:58 test kernel: [20773.787983] 85, L1: 1.
Dec 18 20:23:58 test kernel: [20773.788010] 86, L1: 1.
Dec 18 20:23:58 test kernel: [20773.788035] 87, L1: 1.
Dec 18 20:23:58 test kernel: [20773.788061] 88, L1: 1.
Dec 18 20:23:58 test kernel: [20773.788085] 89, L1: 1.
Dec 18 20:23:58 test kernel: [20773.789053] 90, L1: 1.
Dec 18 20:23:58 test kernel: [20773.789087] 91, L1: 1.
Dec 18 20:23:58 test kernel: [20773.789113] 92, L1: 1.
Dec 18 20:23:58 test kernel: [20773.791249] 93, L1: 1.
Dec 18 20:23:58 test kernel: [20773.798948] 94, L1: 1.
Dec 18 20:23:58 test kernel: [20773.844928] 95, L1: 1.
Dec 18 20:23:58 test kernel: [20773.845222] 96, L1: 1.
Dec 18 20:23:58 test kernel: [20773.845370] 97, L1: 1.
Dec 18 20:23:58 test kernel: [20773.846810] 98, L1: 1.
Dec 18 20:23:58 test kernel: [20773.847118] 99, L1: 1.
Dec 18 20:23:58 test kernel: [20773.880459] 100, L1: 1.
Dec 18 20:23:58 test kernel: [20773.880516] 101, L1: 1.
Dec 18 20:23:58 test kernel: [20773.880547] 102, L1: 1.
Dec 18 20:23:58 test kernel: [20773.880574] 103, L1: 1.
Dec 18 20:23:58 test kernel: [20773.880618] 104, L1: 1.
Dec 18 20:23:58 test kernel: [20773.880650] 105, L1: 1.
Dec 18 20:23:58 test kernel: [20773.880692] 106, L1: 1.
Dec 18 20:23:58 test kernel: [20773.880736] 107, L1: 1.
Dec 18 20:23:58 test kernel: [20773.881054] 108, L1: 1.
Dec 18 20:23:58 test kernel: [20773.881093] 109, L1: 1.
Dec 18 20:23:58 test kernel: [20773.881119] 110, L1: 1.
Dec 18 20:23:58 test kernel: [20773.882105] 111, L1: 1.
Dec 18 20:23:58 test kernel: [20774.093100] 112, L1: 1.
Dec 18 20:23:58 test kernel: [20774.104718] 113, L1: 1.
Dec 18 20:23:58 test kernel: [20774.104858] 114, L1: 1.
Dec 18 20:23:58 test kernel: [20774.116739] 115, L1: 1.
Dec 18 20:23:58 test kernel: [20774.168726] 116, L1: 1.
Dec 18 20:23:58 test kernel: [20774.168842] 117, L1: 1.
Dec 18 20:23:58 test kernel: [20774.168890] 118, L1: 1.
Dec 18 20:23:58 test kernel: [20774.168934] 119, L1: 1.
Dec 18 20:23:58 test kernel: [20774.168978] 120, L1: 1.
Dec 18 20:23:58 test kernel: [20774.169022] 121, L1: 1.
Dec 18 20:23:58 test kernel: [20774.169066] 122, L1: 1.
Dec 18 20:23:58 test kernel: [20774.170335] 123, L1: 1.
Dec 18 20:23:58 test kernel: [20774.187314] 124, L1: 1.
Dec 18 20:23:58 test kernel: [20774.195378] 125, L1: 1.
Dec 18 20:23:59 test kernel: [20774.226395] 126, L1: 1.
Dec 18 20:23:59 test kernel: [20774.240572] 127, L1: 1.
Dec 18 20:23:59 test kernel: [20774.289345] 128, L1: 1.
Dec 18 20:23:59 test kernel: [20774.298533] 129, L1: 1.
Dec 18 20:23:59 test kernel: [20774.298624] 130, L1: 1.
Dec 18 20:23:59 test kernel: [20774.298662] 131, L1: 1.
Dec 18 20:23:59 test kernel: [20774.298698] [Hermes] Exit Field [681e] -> Value [40000052]. Reason: [1c].
Dec 18 20:23:59 test kernel: [20774.298722] 132, L1: 1.
Dec 18 20:23:59 test kernel: [20774.298724] [Hermes] Entry Field [681e] -> Value [40000055].
Dec 18 20:23:59 test kernel: [20774.307722] 133, L1: 1.
Dec 18 20:24:02 test kernel: [20777.298865] [TRACE_KVM] tracing disabled
Dec 18 20:24:02 test kernel: [20777.298870] [TRACE_KVM] Control_execution set to 0.
Dec 18 20:24:02 test kernel: [20777.299204] [TRACE_KVM] Buffer copied 
Dec 18 20:24:02 test kernel: [20777.302204] [HAVFUZZ] Released
Dec 18 20:24:02 test kernel: [20777.303888] [Trace KVM] Buffer released
