Dec 18 18:38:12 test kernel: [14427.649853] [TRACE_KVM] Buffer & to_replay created
Dec 18 18:38:12 test kernel: [14427.649887] [HAVFUZZ] Opened
Dec 18 18:38:44 test kernel: [14459.356752] [TRACE_KVM] The trarget vcpu is 3
Dec 18 18:38:44 test kernel: [14459.426698] [Trace KVM] Buffer reset
Dec 18 18:38:44 test kernel: [14459.426705] [TRACE_KVM] Buffer size changed
Dec 18 18:38:44 test kernel: [14459.426712] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 18 18:38:44 test kernel: [14459.426714] [TRACE_KVM] gran exit set to 0.
Dec 18 18:38:44 test kernel: [14459.426716] [TRACE_KVM] Control_execution set to 1.
Dec 18 18:38:44 test kernel: [14459.426717] [TRACE_KVM] tracing enabled
Dec 18 18:38:44 test kernel: [14459.427201] 0, L1: 1.
Dec 18 18:38:44 test kernel: [14459.427313] 1, L1: 1.
Dec 18 18:38:44 test kernel: [14459.427378] 2, L1: 1.
Dec 18 18:38:44 test kernel: [14459.427561] 3, L1: 1.
Dec 18 18:38:44 test kernel: [14459.429229] 4, L1: 1.
Dec 18 18:38:44 test kernel: [14459.431521] 5, L1: 1.
Dec 18 18:38:44 test kernel: [14459.433960] 6, L1: 1.
Dec 18 18:38:44 test kernel: [14459.434799] 7, L1: 1.
Dec 18 18:38:44 test kernel: [14459.436054] 8, L1: 1.
Dec 18 18:38:44 test kernel: [14459.468613] 9, L1: 1.
Dec 18 18:38:44 test kernel: [14459.473225] 10, L1: 1.
Dec 18 18:38:44 test kernel: [14459.534162] 11, L1: 1.
Dec 18 18:38:44 test kernel: [14459.569478] 12, L1: 1.
Dec 18 18:38:44 test kernel: [14459.570567] 13, L1: 1.
Dec 18 18:38:44 test kernel: [14459.584358] 14, L1: 1.
Dec 18 18:38:44 test kernel: [14459.605846] 15, L1: 1.
Dec 18 18:38:44 test kernel: [14459.616769] 16, L1: 1.
Dec 18 18:38:44 test kernel: [14459.672839] 17, L1: 1.
Dec 18 18:38:44 test kernel: [14459.672871] 18, L1: 1.
Dec 18 18:38:44 test kernel: [14459.672900] 19, L1: 1.
Dec 18 18:38:44 test kernel: [14459.672926] 20, L1: 1.
Dec 18 18:38:44 test kernel: [14459.672953] 21, L1: 1.
Dec 18 18:38:44 test kernel: [14459.672980] 22, L1: 1.
Dec 18 18:38:44 test kernel: [14459.673006] 23, L1: 1.
Dec 18 18:38:44 test kernel: [14459.673695] 24, L1: 1.
Dec 18 18:38:44 test kernel: [14459.693576] 25, L1: 1.
Dec 18 18:38:44 test kernel: [14459.693672] 26, L1: 1.
Dec 18 18:38:44 test kernel: [14459.693701] 27, L1: 1.
Dec 18 18:38:44 test kernel: [14459.694631] 28, L1: 1.
Dec 18 18:38:44 test kernel: [14459.695893] 29, L1: 1.
Dec 18 18:38:44 test kernel: [14459.708740] 30, L1: 1.
Dec 18 18:38:44 test kernel: [14459.712336] 31, L1: 1.
