Dec 18 20:24:41 test kernel: [20817.154836] [TRACE_KVM] Buffer & to_replay created
Dec 18 20:24:41 test kernel: [20817.154875] [HAVFUZZ] Opened
Dec 18 20:25:12 test kernel: [20848.055450] [TRACE_KVM] The trarget vcpu is 3
Dec 18 20:25:12 test kernel: [20848.125114] [Trace KVM] Buffer reset
Dec 18 20:25:12 test kernel: [20848.125120] [TRACE_KVM] Buffer size changed
Dec 18 20:25:12 test kernel: [20848.125127] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 18 20:25:12 test kernel: [20848.125129] [TRACE_KVM] gran exit set to 0.
Dec 18 20:25:12 test kernel: [20848.125131] [TRACE_KVM] Control_execution set to 1.
Dec 18 20:25:12 test kernel: [20848.125133] [TRACE_KVM] tracing enabled
Dec 18 20:25:12 test kernel: [20848.132496] 0, L1: 1.
Dec 18 20:25:12 test kernel: [20848.132542] 1, L1: 1.
Dec 18 20:25:12 test kernel: [20848.134450] 2, L1: 1.
Dec 18 20:25:12 test kernel: [20848.143259] 3, L1: 1.
Dec 18 20:25:12 test kernel: [20848.144331] 4, L1: 1.
Dec 18 20:25:12 test kernel: [20848.145567] 5, L1: 1.
Dec 18 20:25:12 test kernel: [20848.145620] 6, L1: 1.
Dec 18 20:25:12 test kernel: [20848.152764] 7, L1: 1.
Dec 18 20:25:12 test kernel: [20848.177348] 8, L1: 1.
Dec 18 20:25:12 test kernel: [20848.200768] 9, L1: 1.
Dec 18 20:25:13 test kernel: [20848.220611] 10, L1: 1.
Dec 18 20:25:13 test kernel: [20848.288021] 11, L1: 1.
Dec 18 20:25:13 test kernel: [20848.314698] 12, L1: 1.
Dec 18 20:25:13 test kernel: [20848.314731] 13, L1: 1.
Dec 18 20:25:13 test kernel: [20848.314760] 14, L1: 1.
Dec 18 20:25:13 test kernel: [20848.314787] 15, L1: 1.
Dec 18 20:25:13 test kernel: [20848.314814] 16, L1: 1.
Dec 18 20:25:13 test kernel: [20848.314841] 17, L1: 1.
Dec 18 20:25:13 test kernel: [20848.314867] 18, L1: 1.
Dec 18 20:25:13 test kernel: [20848.315271] 19, L1: 1.
Dec 18 20:25:13 test kernel: [20848.315381] 20, L1: 1.
Dec 18 20:25:13 test kernel: [20848.340612] 21, L1: 1.
Dec 18 20:25:13 test kernel: [20848.341455] 22, L1: 1.
Dec 18 20:25:13 test kernel: [20848.341486] 23, L1: 1.
Dec 18 20:25:13 test kernel: [20848.341514] 24, L1: 1.
Dec 18 20:25:13 test kernel: [20848.341934] 25, L1: 1.
Dec 18 20:25:13 test kernel: [20848.353062] 26, L1: 1.
Dec 18 20:25:13 test kernel: [20848.368869] 27, L1: 1.
Dec 18 20:25:13 test kernel: [20848.387235] 28, L1: 1.
Dec 18 20:25:13 test kernel: [20848.404962] 29, L1: 1.
Dec 18 20:25:13 test kernel: [20848.420848] 30, L1: 1.
Dec 18 20:25:13 test kernel: [20848.421432] 31, L1: 1.
Dec 18 20:25:13 test kernel: [20848.421505] 32, L1: 1.
Dec 18 20:25:13 test kernel: [20848.433813] 33, L1: 1.
Dec 18 20:25:13 test kernel: [20848.439510] 34, L1: 1.
Dec 18 20:25:13 test kernel: [20848.442743] 35, L1: 1.
Dec 18 20:25:13 test kernel: [20848.447589] 36, L1: 1.
Dec 18 20:25:13 test kernel: [20848.448716] 37, L1: 1.
Dec 18 20:25:13 test kernel: [20848.449109] 38, L1: 1.
Dec 18 20:25:13 test kernel: [20848.449156] 39, L1: 1.
Dec 18 20:25:13 test kernel: [20848.449623] 40, L1: 1.
Dec 18 20:25:13 test kernel: [20848.449892] 41, L1: 1.
Dec 18 20:25:13 test kernel: [20848.452023] 42, L1: 1.
Dec 18 20:25:13 test kernel: [20848.452200] 43, L1: 1.
Dec 18 20:25:13 test kernel: [20848.453526] 44, L1: 1.
Dec 18 20:25:13 test kernel: [20848.453716] 45, L1: 1.
Dec 18 20:25:13 test kernel: [20848.464939] 46, L1: 1.
Dec 18 20:25:13 test kernel: [20848.490858] 47, L1: 1.
Dec 18 20:25:13 test kernel: [20848.491245] 48, L1: 1.
Dec 18 20:25:13 test kernel: [20848.491460] 49, L1: 1.
Dec 18 20:25:13 test kernel: [20848.493450] 50, L1: 1.
Dec 18 20:25:13 test kernel: [20848.497729] 51, L1: 1.
Dec 18 20:25:13 test kernel: [20848.498181] 52, L1: 1.
Dec 18 20:25:13 test kernel: [20848.498803] 53, L1: 1.
Dec 18 20:25:13 test kernel: [20848.498967] 54, L1: 1.
Dec 18 20:25:13 test kernel: [20848.499043] 55, L1: 1.
Dec 18 20:25:13 test kernel: [20848.499187] 56, L1: 1.
Dec 18 20:25:13 test kernel: [20848.500246] 57, L1: 1.
Dec 18 20:25:13 test kernel: [20848.501629] 58, L1: 1.
Dec 18 20:25:13 test kernel: [20848.504975] 59, L1: 1.
Dec 18 20:25:13 test kernel: [20848.505600] 60, L1: 1.
Dec 18 20:25:13 test kernel: [20848.506006] 61, L1: 1.
Dec 18 20:25:13 test kernel: [20848.506785] 62, L1: 1.
Dec 18 20:25:13 test kernel: [20848.509827] 63, L1: 1.
Dec 18 20:25:13 test kernel: [20848.511049] 64, L1: 1.
Dec 18 20:25:13 test kernel: [20848.511688] 65, L1: 1.
Dec 18 20:25:13 test kernel: [20848.513876] 66, L1: 1.
Dec 18 20:25:13 test kernel: [20848.514062] 67, L1: 1.
Dec 18 20:25:13 test kernel: [20848.517970] 68, L1: 1.
Dec 18 20:25:13 test kernel: [20848.596193] 69, L1: 1.
Dec 18 20:25:13 test kernel: [20848.597062] 70, L1: 1.
Dec 18 20:25:13 test kernel: [20848.597158] 71, L1: 1.
Dec 18 20:25:13 test kernel: [20848.597580] 72, L1: 1.
Dec 18 20:25:13 test kernel: [20848.637525] 73, L1: 1.
Dec 18 20:25:13 test kernel: [20848.670888] 74, L1: 1.
Dec 18 20:25:13 test kernel: [20848.670944] 75, L1: 1.
Dec 18 20:25:13 test kernel: [20848.670974] 76, L1: 1.
Dec 18 20:25:13 test kernel: [20848.671000] 77, L1: 1.
Dec 18 20:25:13 test kernel: [20848.671025] 78, L1: 1.
Dec 18 20:25:13 test kernel: [20848.671049] 79, L1: 1.
Dec 18 20:25:13 test kernel: [20848.671075] 80, L1: 1.
Dec 18 20:25:13 test kernel: [20848.671099] 81, L1: 1.
Dec 18 20:25:13 test kernel: [20848.671658] 82, L1: 1.
Dec 18 20:25:13 test kernel: [20848.671691] 83, L1: 1.
Dec 18 20:25:13 test kernel: [20848.671716] 84, L1: 1.
Dec 18 20:25:13 test kernel: [20848.804693] 85, L1: 1.
Dec 18 20:25:13 test kernel: [20848.826325] 86, L1: 1.
Dec 18 20:25:13 test kernel: [20848.838342] 87, L1: 1.
Dec 18 20:25:13 test kernel: [20848.838465] 88, L1: 1.
Dec 18 20:25:13 test kernel: [20848.852715] 89, L1: 1.
Dec 18 20:25:13 test kernel: [20848.880763] 90, L1: 1.
Dec 18 20:25:13 test kernel: [20848.880879] 91, L1: 1.
Dec 18 20:25:13 test kernel: [20848.880928] 92, L1: 1.
Dec 18 20:25:13 test kernel: [20848.880973] 93, L1: 1.
Dec 18 20:25:13 test kernel: [20848.881017] 94, L1: 1.
Dec 18 20:25:13 test kernel: [20848.881061] 95, L1: 1.
Dec 18 20:25:13 test kernel: [20848.881104] 96, L1: 1.
Dec 18 20:25:13 test kernel: [20848.896978] 97, L1: 1.
Dec 18 20:25:13 test kernel: [20848.918716] 98, L1: 1.
Dec 18 20:25:13 test kernel: [20848.923951] 99, L1: 1.
Dec 18 20:25:13 test kernel: [20848.946805] 100, L1: 1.
Dec 18 20:25:13 test kernel: [20848.961089] 101, L1: 1.
Dec 18 20:25:13 test kernel: [20849.068214] 102, L1: 1.
Dec 18 20:25:13 test kernel: [20849.074851] 103, L1: 1.
Dec 18 20:25:13 test kernel: [20849.085575] 104, L1: 1.
Dec 18 20:25:13 test kernel: [20849.085662] 105, L1: 1.
Dec 18 20:25:13 test kernel: [20849.085692] 106, L1: 1.
Dec 18 20:25:13 test kernel: [20849.085724] [Hermes] Exit Field [681e] -> Value [252]. Reason: [1c].
Dec 18 20:25:13 test kernel: [20849.085744] 107, L1: 1.
Dec 18 20:25:13 test kernel: [20849.085746] [Hermes] Entry Field [681e] -> Value [255].
Dec 18 20:25:13 test kernel: [20849.096015] 108, L1: 1.
Dec 18 20:25:16 test kernel: [20852.085895] [TRACE_KVM] tracing disabled
Dec 18 20:25:16 test kernel: [20852.085900] [TRACE_KVM] Control_execution set to 0.
Dec 18 20:25:16 test kernel: [20852.086183] [TRACE_KVM] Buffer copied 
Dec 18 20:25:16 test kernel: [20852.088259] [HAVFUZZ] Released
Dec 18 20:25:16 test kernel: [20852.089977] [Trace KVM] Buffer released
