Dec 18 18:29:34 test kernel: [13910.137657] [TRACE_KVM] Buffer & to_replay created
Dec 18 18:29:34 test kernel: [13910.137695] [HAVFUZZ] Opened
Dec 18 18:30:06 test kernel: [13941.592295] [TRACE_KVM] The trarget vcpu is 3
Dec 18 18:30:06 test kernel: [13941.661498] [Trace KVM] Buffer reset
Dec 18 18:30:06 test kernel: [13941.661505] [TRACE_KVM] Buffer size changed
Dec 18 18:30:06 test kernel: [13941.661512] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 18 18:30:06 test kernel: [13941.661514] [TRACE_KVM] gran exit set to 0.
Dec 18 18:30:06 test kernel: [13941.661516] [TRACE_KVM] Control_execution set to 1.
Dec 18 18:30:06 test kernel: [13941.661518] [TRACE_KVM] tracing enabled
Dec 18 18:30:06 test kernel: [13941.680699] 0, L1: 1.
Dec 18 18:30:06 test kernel: [13941.681317] 1, L1: 1.
Dec 18 18:30:06 test kernel: [13941.681675] 2, L1: 1.
Dec 18 18:30:06 test kernel: [13941.683190] 3, L1: 1.
Dec 18 18:30:06 test kernel: [13941.683226] 4, L1: 1.
Dec 18 18:30:06 test kernel: [13941.684941] 5, L1: 1.
Dec 18 18:30:06 test kernel: [13941.685917] 6, L1: 1.
Dec 18 18:30:06 test kernel: [13941.686456] 7, L1: 1.
Dec 18 18:30:06 test kernel: [13941.687183] 8, L1: 1.
Dec 18 18:30:06 test kernel: [13941.712649] 9, L1: 1.
Dec 18 18:30:06 test kernel: [13941.817187] 10, L1: 1.
Dec 18 18:30:06 test kernel: [13941.873061] 11, L1: 1.
Dec 18 18:30:06 test kernel: [13941.873350] 12, L1: 1.
Dec 18 18:30:06 test kernel: [13941.928788] 13, L1: 1.
Dec 18 18:30:06 test kernel: [13941.940609] 14, L1: 1.
Dec 18 18:30:06 test kernel: [13941.988605] 15, L1: 1.
Dec 18 18:30:06 test kernel: [13942.040858] 16, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042230] 17, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042263] 18, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042294] 19, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042323] 20, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042353] 21, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042382] 22, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042412] 23, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042441] 24, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042470] 25, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042499] 26, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042529] 27, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042558] 28, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042588] 29, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042617] 30, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042647] 31, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042675] 32, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042705] 33, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042733] 34, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042763] 35, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042791] 36, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042821] 37, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042850] 38, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042879] 39, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042908] 40, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042938] 41, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042967] 42, L1: 1.
Dec 18 18:30:06 test kernel: [13942.042996] 43, L1: 1.
Dec 18 18:30:06 test kernel: [13942.043025] 44, L1: 1.
Dec 18 18:30:06 test kernel: [13942.043054] 45, L1: 1.
Dec 18 18:30:06 test kernel: [13942.043083] 46, L1: 1.
Dec 18 18:30:06 test kernel: [13942.043113] 47, L1: 1.
Dec 18 18:30:06 test kernel: [13942.043142] 48, L1: 1.
Dec 18 18:30:06 test kernel: [13942.043801] 49, L1: 1.
Dec 18 18:30:06 test kernel: [13942.065764] 50, L1: 1.
Dec 18 18:30:06 test kernel: [13942.065904] 51, L1: 1.
Dec 18 18:30:06 test kernel: [13942.079886] 52, L1: 1.
Dec 18 18:30:06 test kernel: [13942.197509] 53, L1: 1.
Dec 18 18:30:06 test kernel: [13942.204747] 54, L1: 1.
Dec 18 18:30:07 test kernel: [13942.236639] 55, L1: 1.
Dec 18 18:30:07 test kernel: [13942.250267] 56, L1: 1.
Dec 18 18:30:07 test kernel: [13942.320313] 57, L1: 1.
Dec 18 18:30:07 test kernel: [13942.320352] 58, L1: 1.
Dec 18 18:30:07 test kernel: [13942.320379] 59, L1: 1.
Dec 18 18:30:07 test kernel: [13942.320404] 60, L1: 1.
Dec 18 18:30:07 test kernel: [13942.320428] 61, L1: 1.
Dec 18 18:30:07 test kernel: [13942.320455] 62, L1: 1.
Dec 18 18:30:07 test kernel: [13942.320480] 63, L1: 1.
Dec 18 18:30:07 test kernel: [13942.322302] 64, L1: 1.
Dec 18 18:30:07 test kernel: [13942.322475] 65, L1: 1.
Dec 18 18:30:07 test kernel: [13942.322508] 66, L1: 1.
Dec 18 18:30:07 test kernel: [13942.323167] 67, L1: 1.
Dec 18 18:30:07 test kernel: [13942.327898] 68, L1: 1.
