Dec 15 11:56:20 test kernel: [57017.280331] [TRACE_KVM] Buffer & to_replay created
Dec 15 11:56:20 test kernel: [57017.280368] [HAVFUZZ] Opened
Dec 15 11:56:51 test kernel: [57048.608798] [TRACE_KVM] The trarget vcpu is 3
Dec 15 11:56:51 test kernel: [57048.678165] [Trace KVM] Buffer reset
Dec 15 11:56:51 test kernel: [57048.678171] [TRACE_KVM] Buffer size changed
Dec 15 11:56:51 test kernel: [57048.678178] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 11:56:51 test kernel: [57048.678180] [TRACE_KVM] gran exit set to 0.
Dec 15 11:56:51 test kernel: [57048.678182] [TRACE_KVM] Control_execution set to 1.
Dec 15 11:56:51 test kernel: [57048.678183] [TRACE_KVM] tracing enabled
Dec 15 11:56:51 test kernel: [57048.685656] 0, L1: 1.
Dec 15 11:56:51 test kernel: [57048.696421] 1, L1: 1.
Dec 15 11:56:51 test kernel: [57048.696741] 2, L1: 1.
Dec 15 11:56:51 test kernel: [57048.751784] 3, L1: 1.
Dec 15 11:56:51 test kernel: [57048.753549] 4, L1: 1.
Dec 15 11:56:51 test kernel: [57048.755794] 5, L1: 1.
Dec 15 11:56:51 test kernel: [57048.798477] 6, L1: 1.
Dec 15 11:56:51 test kernel: [57048.888847] 7, L1: 1.
Dec 15 11:56:51 test kernel: [57048.888920] 8, L1: 1.
Dec 15 11:56:51 test kernel: [57048.889037] 9, L1: 1.
Dec 15 11:56:51 test kernel: [57048.889066] 10, L1: 1.
Dec 15 11:56:51 test kernel: [57048.889093] 11, L1: 1.
Dec 15 11:56:51 test kernel: [57048.889120] 12, L1: 1.
Dec 15 11:56:51 test kernel: [57048.889147] 13, L1: 1.
Dec 15 11:56:51 test kernel: [57048.892261] 14, L1: 1.
Dec 15 11:56:51 test kernel: [57048.892293] 15, L1: 1.
Dec 15 11:56:51 test kernel: [57048.892399] 16, L1: 1.
Dec 15 11:56:51 test kernel: [57048.941425] 17, L1: 1.
Dec 15 11:56:51 test kernel: [57048.941651] 18, L1: 1.
Dec 15 11:56:52 test kernel: [57048.962192] 19, L1: 1.
Dec 15 11:56:52 test kernel: [57049.004846] 20, L1: 1.
Dec 15 11:56:52 test kernel: [57049.004884] 21, L1: 1.
Dec 15 11:56:52 test kernel: [57049.009189] 22, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015222] 23, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015255] 24, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015284] 25, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015312] 26, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015340] 27, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015367] 28, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015395] 29, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015422] 30, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015449] 31, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015476] 32, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015504] 33, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015531] 34, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015558] 35, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015585] 36, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015613] 37, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015640] 38, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015667] 39, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015694] 40, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015722] 41, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015748] 42, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015776] 43, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015803] 44, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015831] 45, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015857] 46, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015885] 47, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015912] 48, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015940] 49, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015968] 50, L1: 1.
Dec 15 11:56:52 test kernel: [57049.015995] 51, L1: 1.
Dec 15 11:56:52 test kernel: [57049.016022] 52, L1: 1.
Dec 15 11:56:52 test kernel: [57049.016049] 53, L1: 1.
Dec 15 11:56:52 test kernel: [57049.016076] 54, L1: 1.
Dec 15 11:56:52 test kernel: [57049.016665] 55, L1: 1.
Dec 15 11:56:52 test kernel: [57049.016908] 56, L1: 1.
Dec 15 11:56:52 test kernel: [57049.017212] 57, L1: 1.
Dec 15 11:56:52 test kernel: [57049.017256] 58, L1: 1.
Dec 15 11:56:52 test kernel: [57049.096872] 59, L1: 1.
Dec 15 11:56:52 test kernel: [57049.097503] 60, L1: 1.
Dec 15 11:56:52 test kernel: [57049.100083] 61, L1: 1.
Dec 15 11:56:52 test kernel: [57049.101353] 62, L1: 1.
Dec 15 11:56:52 test kernel: [57049.226925] 63, L1: 1.
Dec 15 11:56:52 test kernel: [57049.228556] 64, L1: 1.
Dec 15 11:56:52 test kernel: [57049.228589] 65, L1: 1.
Dec 15 11:56:52 test kernel: [57049.228618] 66, L1: 1.
Dec 15 11:56:52 test kernel: [57049.228646] 67, L1: 1.
Dec 15 11:56:52 test kernel: [57049.228673] 68, L1: 1.
Dec 15 11:56:52 test kernel: [57049.228701] 69, L1: 1.
