Dec 15 09:25:17 test kernel: [47954.118277] [TRACE_KVM] Buffer & to_replay created
Dec 15 09:25:17 test kernel: [47954.118312] [HAVFUZZ] Opened
Dec 15 09:25:47 test kernel: [47984.408453] [TRACE_KVM] The trarget vcpu is 3
Dec 15 09:25:47 test kernel: [47984.477142] [Trace KVM] Buffer reset
Dec 15 09:25:47 test kernel: [47984.477147] [TRACE_KVM] Buffer size changed
Dec 15 09:25:47 test kernel: [47984.477153] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 09:25:47 test kernel: [47984.477155] [TRACE_KVM] gran exit set to 0.
Dec 15 09:25:47 test kernel: [47984.477158] [TRACE_KVM] Control_execution set to 1.
Dec 15 09:25:47 test kernel: [47984.477159] [TRACE_KVM] tracing enabled
Dec 15 09:25:47 test kernel: [47984.504850] 0, L1: 1.
Dec 15 09:25:47 test kernel: [47984.557623] 1, L1: 1.
Dec 15 09:25:47 test kernel: [47984.585473] 2, L1: 1.
Dec 15 09:25:47 test kernel: [47984.585555] 3, L1: 1.
Dec 15 09:25:47 test kernel: [47984.585830] 4, L1: 1.
Dec 15 09:25:47 test kernel: [47984.597050] 5, L1: 1.
Dec 15 09:25:47 test kernel: [47984.611484] 6, L1: 1.
Dec 15 09:25:47 test kernel: [47984.736993] 7, L1: 1.
Dec 15 09:25:47 test kernel: [47984.752913] 8, L1: 1.
Dec 15 09:25:47 test kernel: [47984.765371] 9, L1: 1.
Dec 15 09:25:47 test kernel: [47984.769936] 10, L1: 1.
Dec 15 09:25:47 test kernel: [47984.770027] 11, L1: 1.
Dec 15 09:25:47 test kernel: [47984.800006] 12, L1: 1.
Dec 15 09:25:47 test kernel: [47984.826313] 13, L1: 1.
Dec 15 09:25:47 test kernel: [47984.826811] 14, L1: 1.
Dec 15 09:25:47 test kernel: [47984.879579] 15, L1: 1.
Dec 15 09:25:47 test kernel: [47984.880747] 16, L1: 1.
Dec 15 09:25:47 test kernel: [47984.881229] 17, L1: 1.
Dec 15 09:25:47 test kernel: [47984.881763] 18, L1: 1.
Dec 15 09:25:47 test kernel: [47984.886180] 19, L1: 1.
Dec 15 09:25:47 test kernel: [47984.889085] 20, L1: 1.
Dec 15 09:25:47 test kernel: [47984.894306] 21, L1: 1.
Dec 15 09:25:47 test kernel: [47984.898693] 22, L1: 1.
Dec 15 09:25:47 test kernel: [47984.900696] 23, L1: 1.
Dec 15 09:25:47 test kernel: [47984.900849] 24, L1: 1.
Dec 15 09:25:47 test kernel: [47984.914833] 25, L1: 1.
Dec 15 09:25:47 test kernel: [47984.945657] 26, L1: 1.
Dec 15 09:25:47 test kernel: [47984.945780] 27, L1: 1.
Dec 15 09:25:47 test kernel: [47984.945875] 28, L1: 1.
Dec 15 09:25:47 test kernel: [47984.945904] 29, L1: 1.
Dec 15 09:25:47 test kernel: [47984.945932] 30, L1: 1.
Dec 15 09:25:47 test kernel: [47984.945959] 31, L1: 1.
Dec 15 09:25:47 test kernel: [47984.945986] 32, L1: 1.
Dec 15 09:25:47 test kernel: [47984.946214] 33, L1: 1.
Dec 15 09:25:47 test kernel: [47984.946243] 34, L1: 1.
Dec 15 09:25:47 test kernel: [47984.946270] 35, L1: 1.
Dec 15 09:25:47 test kernel: [47984.946493] 36, L1: 1.
Dec 15 09:25:47 test kernel: [47984.950672] 37, L1: 1.
Dec 15 09:25:47 test kernel: [47984.950812] 38, L1: 1.
Dec 15 09:25:47 test kernel: [47984.952388] 39, L1: 1.
Dec 15 09:25:47 test kernel: [47984.952938] 40, L1: 1.
Dec 15 09:25:47 test kernel: [47984.953183] 41, L1: 1.
Dec 15 09:25:47 test kernel: [47984.953608] 42, L1: 1.
Dec 15 09:25:47 test kernel: [47984.954079] 43, L1: 1.
Dec 15 09:25:47 test kernel: [47984.954422] 44, L1: 1.
Dec 15 09:25:48 test kernel: [47985.004856] 45, L1: 1.
Dec 15 09:25:48 test kernel: [47985.012874] 46, L1: 1.
Dec 15 09:25:48 test kernel: [47985.041314] 47, L1: 1.
Dec 15 09:25:48 test kernel: [47985.042943] 48, L1: 1.
Dec 15 09:25:48 test kernel: [47985.081937] 49, L1: 1.
Dec 15 09:25:48 test kernel: [47985.081976] 50, L1: 1.
Dec 15 09:25:48 test kernel: [47985.082006] 51, L1: 1.
Dec 15 09:25:48 test kernel: [47985.082034] 52, L1: 1.
Dec 15 09:25:48 test kernel: [47985.082060] 53, L1: 1.
Dec 15 09:25:48 test kernel: [47985.082088] 54, L1: 1.
Dec 15 09:25:48 test kernel: [47985.082115] 55, L1: 1.
Dec 15 09:25:48 test kernel: [47985.083774] 56, L1: 1.
Dec 15 09:25:48 test kernel: [47985.083806] 57, L1: 1.
Dec 15 09:25:48 test kernel: [47985.083835] 58, L1: 1.
Dec 15 09:25:48 test kernel: [47985.116863] 59, L1: 1.
Dec 15 09:25:48 test kernel: [47985.117083] 60, L1: 1.
Dec 15 09:25:48 test kernel: [47985.117858] 61, L1: 1.
Dec 15 09:25:48 test kernel: [47985.118153] 62, L1: 1.
Dec 15 09:25:48 test kernel: [47985.118901] 63, L1: 1.
Dec 15 09:25:48 test kernel: [47985.119119] 64, L1: 1.
Dec 15 09:25:48 test kernel: [47985.119595] 65, L1: 1.
Dec 15 09:25:48 test kernel: [47985.120475] 66, L1: 1.
Dec 15 09:25:48 test kernel: [47985.121126] 67, L1: 1.
Dec 15 09:25:48 test kernel: [47985.121347] 68, L1: 1.
Dec 15 09:25:48 test kernel: [47985.132848] 69, L1: 1.
Dec 15 09:25:48 test kernel: [47985.155213] 70, L1: 1.
Dec 15 09:25:48 test kernel: [47985.158644] 71, L1: 1.
Dec 15 09:25:48 test kernel: [47985.158676] 72, L1: 1.
Dec 15 09:25:48 test kernel: [47985.158703] 73, L1: 1.
Dec 15 09:25:48 test kernel: [47985.158730] 74, L1: 1.
Dec 15 09:25:48 test kernel: [47985.158755] 75, L1: 1.
Dec 15 09:25:48 test kernel: [47985.158781] 76, L1: 1.
Dec 15 09:25:48 test kernel: [47985.158806] 77, L1: 1.
Dec 15 09:25:48 test kernel: [47985.159164] 78, L1: 1.
Dec 15 09:25:48 test kernel: [47985.159192] 79, L1: 1.
Dec 15 09:25:48 test kernel: [47985.159217] 80, L1: 1.
Dec 15 09:25:48 test kernel: [47985.159352] 81, L1: 1.
Dec 15 09:25:48 test kernel: [47985.159379] 82, L1: 1.
Dec 15 09:25:48 test kernel: [47985.159403] 83, L1: 1.
Dec 15 09:25:48 test kernel: [47985.159571] 84, L1: 1.
Dec 15 09:25:48 test kernel: [47985.162061] 85, L1: 1.
Dec 15 09:25:48 test kernel: [47985.172852] 86, L1: 1.
Dec 15 09:25:48 test kernel: [47985.217630] 87, L1: 1.
Dec 15 09:25:48 test kernel: [47985.218553] 88, L1: 1.
Dec 15 09:25:48 test kernel: [47985.283382] 89, L1: 1.
Dec 15 09:25:48 test kernel: [47985.285900] 90, L1: 1.
Dec 15 09:25:48 test kernel: [47985.287093] 91, L1: 1.
Dec 15 09:25:48 test kernel: [47985.297047] 92, L1: 1.
Dec 15 09:25:48 test kernel: [47985.297078] 93, L1: 1.
Dec 15 09:25:48 test kernel: [47985.297106] 94, L1: 1.
Dec 15 09:25:48 test kernel: [47985.297135] 95, L1: 1.
Dec 15 09:25:48 test kernel: [47985.297163] 96, L1: 1.
Dec 15 09:25:48 test kernel: [47985.297425] 97, L1: 1.
Dec 15 09:25:48 test kernel: [47985.297452] 98, L1: 1.
Dec 15 09:25:48 test kernel: [47985.297481] 99, L1: 1.
Dec 15 09:25:48 test kernel: [47985.312845] 100, L1: 1.
Dec 15 09:25:48 test kernel: [47985.330461] 101, L1: 1.
Dec 15 09:25:48 test kernel: [47985.330491] 102, L1: 1.
Dec 15 09:25:48 test kernel: [47985.330518] 103, L1: 1.
Dec 15 09:25:48 test kernel: [47985.330542] 104, L1: 1.
Dec 15 09:25:48 test kernel: [47985.330566] 105, L1: 1.
Dec 15 09:25:48 test kernel: [47985.330592] 106, L1: 1.
Dec 15 09:25:48 test kernel: [47985.330618] 107, L1: 1.
Dec 15 09:25:48 test kernel: [47985.332415] 108, L1: 1.
Dec 15 09:25:48 test kernel: [47985.332445] 109, L1: 1.
Dec 15 09:25:48 test kernel: [47985.332472] 110, L1: 1.
Dec 15 09:25:48 test kernel: [47985.335738] 111, L1: 1.
Dec 15 09:25:48 test kernel: [47985.337301] 112, L1: 1.
Dec 15 09:25:48 test kernel: [47985.337900] 113, L1: 1.
Dec 15 09:25:48 test kernel: [47985.337979] 114, L1: 1.
Dec 15 09:25:48 test kernel: [47985.356847] 115, L1: 1.
Dec 15 09:25:48 test kernel: [47985.373128] 116, L1: 1.
Dec 15 09:25:48 test kernel: [47985.387567] 117, L1: 1.
Dec 15 09:25:48 test kernel: [47985.388530] 118, L1: 1.
Dec 15 09:25:48 test kernel: [47985.388563] 119, L1: 1.
Dec 15 09:25:48 test kernel: [47985.388592] 120, L1: 1.
Dec 15 09:25:48 test kernel: [47985.388617] 121, L1: 1.
Dec 15 09:25:48 test kernel: [47985.388642] 122, L1: 1.
Dec 15 09:25:48 test kernel: [47985.388668] 123, L1: 1.
Dec 15 09:25:48 test kernel: [47985.388694] 124, L1: 1.
Dec 15 09:25:48 test kernel: [47985.388952] 125, L1: 1.
Dec 15 09:25:48 test kernel: [47985.388981] 126, L1: 1.
Dec 15 09:25:48 test kernel: [47985.389006] 127, L1: 1.
Dec 15 09:25:48 test kernel: [47985.389213] 128, L1: 1.
Dec 15 09:25:48 test kernel: [47985.405766] 129, L1: 1.
Dec 15 09:25:48 test kernel: [47985.412859] 130, L1: 1.
Dec 15 09:25:48 test kernel: [47985.433602] 131, L1: 1.
Dec 15 09:25:48 test kernel: [47985.474282] 132, L1: 1.
Dec 15 09:25:48 test kernel: [47985.475462] 133, L1: 1.
Dec 15 09:25:48 test kernel: [47985.480299] 134, L1: 1.
Dec 15 09:25:48 test kernel: [47985.549267] 135, L1: 1.
Dec 15 09:25:48 test kernel: [47985.549408] 136, L1: 1.
Dec 15 09:25:48 test kernel: [47985.549448] 137, L1: 1.
Dec 15 09:25:48 test kernel: [47985.549477] 138, L1: 1.
Dec 15 09:25:48 test kernel: [47985.549504] 139, L1: 1.
Dec 15 09:25:48 test kernel: [47985.549531] 140, L1: 1.
Dec 15 09:25:48 test kernel: [47985.549558] 141, L1: 1.
Dec 15 09:25:48 test kernel: [47985.549585] 142, L1: 1.
Dec 15 09:25:48 test kernel: [47985.550046] 143, L1: 1.
Dec 15 09:25:48 test kernel: [47985.550076] 144, L1: 1.
Dec 15 09:25:48 test kernel: [47985.550103] 145, L1: 1.
Dec 15 09:25:48 test kernel: [47985.619382] 146, L1: 1.
Dec 15 09:25:48 test kernel: [47985.619588] 147, L1: 1.
Dec 15 09:25:48 test kernel: [47985.621661] 148, L1: 1.
Dec 15 09:25:48 test kernel: [47985.621826] 149, L1: 1.
Dec 15 09:25:48 test kernel: [47985.621917] 150, L1: 1.
Dec 15 09:25:48 test kernel: [47985.621943] 151, L1: 1.
Dec 15 09:25:48 test kernel: [47985.621968] 152, L1: 1.
Dec 15 09:25:48 test kernel: [47985.622846] 153, L1: 1.
Dec 15 09:25:48 test kernel: [47985.623015] 154, L1: 1.
Dec 15 09:25:48 test kernel: [47985.625139] 155, L1: 1.
Dec 15 09:25:48 test kernel: [47985.631154] 156, L1: 1.
Dec 15 09:25:48 test kernel: [47985.637927] 157, L1: 1.
Dec 15 09:25:48 test kernel: [47985.676957] 158, L1: 1.
Dec 15 09:25:48 test kernel: [47985.801385] 159, L1: 1.
Dec 15 09:25:48 test kernel: [47985.833314] 160, L1: 1.
Dec 15 09:25:48 test kernel: [47985.834328] 161, L1: 1.
Dec 15 09:25:48 test kernel: [47985.834679] 162, L1: 1.
Dec 15 09:25:48 test kernel: [47985.834823] 163, L1: 1.
Dec 15 09:25:48 test kernel: [47985.886091] 164, L1: 1.
Dec 15 09:25:48 test kernel: [47985.889987] 165, L1: 1.
Dec 15 09:25:48 test kernel: [47985.936951] 166, L1: 1.
Dec 15 09:25:49 test kernel: [47986.009818] 167, L1: 1.
Dec 15 09:25:49 test kernel: [47986.021832] 168, L1: 1.
Dec 15 09:25:49 test kernel: [47986.021946] 169, L1: 1.
Dec 15 09:25:49 test kernel: [47986.022134] 170, L1: 1.
Dec 15 09:25:49 test kernel: [47986.036968] 171, L1: 1.
Dec 15 09:25:49 test kernel: [47986.084991] 172, L1: 1.
Dec 15 09:25:49 test kernel: [47986.085098] 173, L1: 1.
Dec 15 09:25:49 test kernel: [47986.085147] 174, L1: 1.
Dec 15 09:25:49 test kernel: [47986.085192] 175, L1: 1.
Dec 15 09:25:49 test kernel: [47986.085236] 176, L1: 1.
Dec 15 09:25:49 test kernel: [47986.085280] 177, L1: 1.
Dec 15 09:25:49 test kernel: [47986.085324] 178, L1: 1.
Dec 15 09:25:49 test kernel: [47986.086597] 179, L1: 1.
