Dec 19 09:12:04 test kernel: [66860.145308] [TRACE_KVM] Buffer & to_replay created
Dec 19 09:12:04 test kernel: [66860.145338] [HAVFUZZ] Opened
Dec 19 09:13:02 test kernel: [66918.081113] [TRACE_KVM] The trarget vcpu is 3
Dec 19 09:13:02 test kernel: [66918.151515] [Trace KVM] Buffer reset
Dec 19 09:13:02 test kernel: [66918.151520] [TRACE_KVM] Buffer size changed
Dec 19 09:13:02 test kernel: [66918.151527] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 19 09:13:02 test kernel: [66918.151529] [TRACE_KVM] gran exit set to 0.
Dec 19 09:13:02 test kernel: [66918.151531] [TRACE_KVM] Control_execution set to 1.
Dec 19 09:13:02 test kernel: [66918.151532] [TRACE_KVM] tracing enabled
Dec 19 09:13:02 test kernel: [66918.173682] 0, L1: 1.
Dec 19 09:13:02 test kernel: [66918.176180] 1, L1: 1.
Dec 19 09:13:02 test kernel: [66918.181782] 2, L1: 1.
Dec 19 09:13:02 test kernel: [66918.182724] 3, L1: 1.
Dec 19 09:13:02 test kernel: [66918.195263] 4, L1: 1.
Dec 19 09:13:02 test kernel: [66918.195418] 5, L1: 1.
Dec 19 09:13:02 test kernel: [66918.195539] 6, L1: 1.
Dec 19 09:13:02 test kernel: [66918.195676] 7, L1: 1.
Dec 19 09:13:02 test kernel: [66918.201785] 8, L1: 1.
Dec 19 09:13:02 test kernel: [66918.205007] 9, L1: 1.
Dec 19 09:13:02 test kernel: [66918.205976] 10, L1: 1.
Dec 19 09:13:02 test kernel: [66918.206483] 11, L1: 1.
Dec 19 09:13:02 test kernel: [66918.208276] 12, L1: 1.
Dec 19 09:13:02 test kernel: [66918.208889] 13, L1: 1.
Dec 19 09:13:03 test kernel: [66918.247049] 14, L1: 1.
Dec 19 09:13:03 test kernel: [66918.436368] 15, L1: 1.
Dec 19 09:13:03 test kernel: [66918.436445] 16, L1: 1.
Dec 19 09:13:03 test kernel: [66918.444819] 17, L1: 1.
Dec 19 09:13:03 test kernel: [66918.481677] 18, L1: 1.
Dec 19 09:13:03 test kernel: [66918.482440] 19, L1: 1.
Dec 19 09:13:03 test kernel: [66918.486731] 20, L1: 1.
Dec 19 09:13:03 test kernel: [66918.542362] 21, L1: 1.
Dec 19 09:13:03 test kernel: [66918.545043] 22, L1: 1.
Dec 19 09:13:03 test kernel: [66918.548296] 23, L1: 1.
Dec 19 09:13:03 test kernel: [66918.553852] 24, L1: 1.
Dec 19 09:13:03 test kernel: [66918.560017] 25, L1: 1.
Dec 19 09:13:03 test kernel: [66918.560631] 26, L1: 1.
Dec 19 09:13:03 test kernel: [66918.563808] 27, L1: 1.
Dec 19 09:13:03 test kernel: [66918.576615] 28, L1: 1.
Dec 19 09:13:03 test kernel: [66918.576747] 29, L1: 1.
Dec 19 09:13:03 test kernel: [66918.621747] 30, L1: 1.
Dec 19 09:13:03 test kernel: [66918.622699] 31, L1: 1.
Dec 19 09:13:03 test kernel: [66918.644609] 32, L1: 1.
Dec 19 09:13:03 test kernel: [66918.644770] 33, L1: 1.
Dec 19 09:13:03 test kernel: [66918.710574] 34, L1: 1.
Dec 19 09:13:03 test kernel: [66918.711734] 35, L1: 1.
Dec 19 09:13:03 test kernel: [66918.711913] 36, L1: 1.
Dec 19 09:13:03 test kernel: [66918.712175] 37, L1: 1.
Dec 19 09:13:03 test kernel: [66918.713158] 38, L1: 1.
Dec 19 09:13:03 test kernel: [66918.713190] 39, L1: 1.
Dec 19 09:13:03 test kernel: [66918.713219] 40, L1: 1.
Dec 19 09:13:03 test kernel: [66918.713247] 41, L1: 1.
Dec 19 09:13:03 test kernel: [66918.713272] 42, L1: 1.
Dec 19 09:13:03 test kernel: [66918.713296] 43, L1: 1.
Dec 19 09:13:03 test kernel: [66918.713322] 44, L1: 1.
Dec 19 09:13:03 test kernel: [66918.713563] 45, L1: 1.
Dec 19 09:13:03 test kernel: [66918.713589] 46, L1: 1.
Dec 19 09:13:03 test kernel: [66918.713615] 47, L1: 1.
Dec 19 09:13:03 test kernel: [66918.713834] 48, L1: 1.
Dec 19 09:13:03 test kernel: [66918.714010] 49, L1: 1.
Dec 19 09:13:03 test kernel: [66918.716383] 50, L1: 1.
Dec 19 09:13:03 test kernel: [66918.725635] 51, L1: 1.
Dec 19 09:13:03 test kernel: [66918.741160] 52, L1: 1.
Dec 19 09:13:03 test kernel: [66918.750537] 53, L1: 1.
Dec 19 09:13:03 test kernel: [66918.750570] 54, L1: 1.
Dec 19 09:13:03 test kernel: [66918.750598] 55, L1: 1.
Dec 19 09:13:03 test kernel: [66918.750624] 56, L1: 1.
Dec 19 09:13:03 test kernel: [66918.750648] 57, L1: 1.
Dec 19 09:13:03 test kernel: [66918.750673] 58, L1: 1.
Dec 19 09:13:03 test kernel: [66918.750697] 59, L1: 1.
Dec 19 09:13:03 test kernel: [66918.751117] 60, L1: 1.
Dec 19 09:13:03 test kernel: [66918.751143] 61, L1: 1.
Dec 19 09:13:03 test kernel: [66918.751168] 62, L1: 1.
Dec 19 09:13:03 test kernel: [66918.751874] 63, L1: 1.
Dec 19 09:13:03 test kernel: [66918.752155] 64, L1: 1.
Dec 19 09:13:03 test kernel: [66918.784186] 65, L1: 1.
Dec 19 09:13:03 test kernel: [66918.808774] 66, L1: 1.
Dec 19 09:13:03 test kernel: [66918.808833] 67, L1: 1.
Dec 19 09:13:03 test kernel: [66918.808864] 68, L1: 1.
Dec 19 09:13:03 test kernel: [66918.808900] 69, L1: 1.
Dec 19 09:13:03 test kernel: [66918.808933] 70, L1: 1.
Dec 19 09:13:03 test kernel: [66918.808960] 71, L1: 1.
Dec 19 09:13:03 test kernel: [66918.808986] 72, L1: 1.
Dec 19 09:13:03 test kernel: [66918.809012] 73, L1: 1.
Dec 19 09:13:03 test kernel: [66918.809574] 74, L1: 1.
Dec 19 09:13:03 test kernel: [66918.809602] 75, L1: 1.
Dec 19 09:13:03 test kernel: [66918.809628] 76, L1: 1.
Dec 19 09:13:03 test kernel: [66918.824253] 77, L1: 1.
Dec 19 09:13:03 test kernel: [66918.840237] 78, L1: 1.
Dec 19 09:13:03 test kernel: [66918.840298] 79, L1: 1.
Dec 19 09:13:03 test kernel: [66918.916754] 80, L1: 1.
Dec 19 09:13:03 test kernel: [66918.936176] 81, L1: 1.
Dec 19 09:13:03 test kernel: [66918.952171] 82, L1: 1.
Dec 19 09:13:03 test kernel: [66918.972215] 83, L1: 1.
Dec 19 09:13:03 test kernel: [66918.972334] 84, L1: 1.
Dec 19 09:13:03 test kernel: [66918.996741] 85, L1: 1.
Dec 19 09:13:03 test kernel: [66919.036757] 86, L1: 1.
Dec 19 09:13:03 test kernel: [66919.036872] 87, L1: 1.
Dec 19 09:13:03 test kernel: [66919.036920] 88, L1: 1.
Dec 19 09:13:03 test kernel: [66919.036965] 89, L1: 1.
Dec 19 09:13:03 test kernel: [66919.037009] 90, L1: 1.
Dec 19 09:13:03 test kernel: [66919.037053] 91, L1: 1.
Dec 19 09:13:03 test kernel: [66919.037098] 92, L1: 1.
Dec 19 09:13:03 test kernel: [66919.045923] 93, L1: 1.
Dec 19 09:13:03 test kernel: [66919.074758] 94, L1: 1.
Dec 19 09:13:03 test kernel: [66919.080357] 95, L1: 1.
Dec 19 09:13:03 test kernel: [66919.142652] 96, L1: 1.
Dec 19 09:13:03 test kernel: [66919.151838] 97, L1: 1.
Dec 19 09:13:04 test kernel: [66919.279812] 98, L1: 1.
Dec 19 09:13:04 test kernel: [66919.280066] 99, L1: 1.
Dec 19 09:13:04 test kernel: [66919.292051] 100, L1: 1.
Dec 19 09:13:04 test kernel: [66919.292139] 101, L1: 1.
Dec 19 09:13:04 test kernel: [66919.292167] 102, L1: 1.
Dec 19 09:13:04 test kernel: [66919.292205] 103, L1: 1.
Dec 19 09:13:04 test kernel: [66919.292245] 104, L1: 1.
Dec 19 09:13:04 test kernel: [66919.292275] 105, L1: 1.
Dec 19 09:13:04 test kernel: [66919.292301] 106, L1: 1.
Dec 19 09:13:04 test kernel: [66919.292327] 107, L1: 1.
Dec 19 09:13:04 test kernel: [66919.292355] 108, L1: 1.
Dec 19 09:13:04 test kernel: [66919.292382] 109, L1: 1.
Dec 19 09:13:04 test kernel: [66919.292697] 110, L1: 1.
Dec 19 09:13:04 test kernel: [66919.292733] 111, L1: 1.
Dec 19 09:13:04 test kernel: [66919.292785] 112, L1: 1.
Dec 19 09:13:04 test kernel: [66919.452009] [Hermes] Exit Field [681e] -> Value [40000010000f9]. Reason: [a].
Dec 19 09:13:04 test kernel: [66919.452052] 113, L1: 1.
Dec 19 09:13:04 test kernel: [66919.452055] [Hermes] Entry Field [681e] -> Value [40000010000fb].
Dec 19 09:13:04 test kernel: [66919.460733] 114, L1: 1.
Dec 19 09:13:07 test kernel: [66922.452207] [TRACE_KVM] tracing disabled
Dec 19 09:13:07 test kernel: [66922.452212] [TRACE_KVM] Control_execution set to 0.
Dec 19 09:13:07 test kernel: [66922.452741] [TRACE_KVM] Buffer copied 
Dec 19 09:13:07 test kernel: [66922.455440] [HAVFUZZ] Released
Dec 19 09:13:07 test kernel: [66922.457247] [Trace KVM] Buffer released
