Dec 15 11:24:25 test kernel: [55102.400392] [TRACE_KVM] Buffer & to_replay created
Dec 15 11:24:25 test kernel: [55102.400428] [HAVFUZZ] Opened
Dec 15 11:24:57 test kernel: [55134.202622] [TRACE_KVM] The trarget vcpu is 3
Dec 15 11:24:57 test kernel: [55134.271323] [Trace KVM] Buffer reset
Dec 15 11:24:57 test kernel: [55134.271329] [TRACE_KVM] Buffer size changed
Dec 15 11:24:57 test kernel: [55134.271338] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 11:24:57 test kernel: [55134.271341] [TRACE_KVM] gran exit set to 0.
Dec 15 11:24:57 test kernel: [55134.271342] [TRACE_KVM] Control_execution set to 1.
Dec 15 11:24:57 test kernel: [55134.271344] [TRACE_KVM] tracing enabled
Dec 15 11:24:59 test kernel: [55136.221586] 82, L1: 1.
Dec 15 11:24:59 test kernel: [55136.232841] 83, L1: 1.
Dec 15 11:24:59 test kernel: [55136.253383] 84, L1: 1.
Dec 15 11:24:59 test kernel: [55136.253638] 85, L1: 1.
Dec 15 11:24:59 test kernel: [55136.266238] 86, L1: 1.
Dec 15 11:24:59 test kernel: [55136.276843] 87, L1: 1.
Dec 15 11:24:59 test kernel: [55136.304842] 88, L1: 1.
Dec 15 11:24:59 test kernel: [55136.316850] 89, L1: 1.
Dec 15 11:24:59 test kernel: [55136.320975] 90, L1: 1.
Dec 15 11:24:59 test kernel: [55136.338858] 91, L1: 1.
Dec 15 11:24:59 test kernel: [55136.342334] 92, L1: 1.
Dec 15 11:24:59 test kernel: [55136.343576] 93, L1: 1.
Dec 15 11:24:59 test kernel: [55136.343914] 94, L1: 1.
Dec 15 11:24:59 test kernel: [55136.344331] 95, L1: 1.
Dec 15 11:24:59 test kernel: [55136.345000] 96, L1: 1.
Dec 15 11:24:59 test kernel: [55136.345037] 97, L1: 1.
Dec 15 11:24:59 test kernel: [55136.345064] 98, L1: 1.
Dec 15 11:24:59 test kernel: [55136.345089] 99, L1: 1.
Dec 15 11:24:59 test kernel: [55136.345113] 100, L1: 1.
Dec 15 11:24:59 test kernel: [55136.345137] 101, L1: 1.
Dec 15 11:24:59 test kernel: [55136.345163] 102, L1: 1.
Dec 15 11:24:59 test kernel: [55136.346178] 103, L1: 1.
Dec 15 11:24:59 test kernel: [55136.346206] 104, L1: 1.
Dec 15 11:24:59 test kernel: [55136.346232] 105, L1: 1.
Dec 15 11:24:59 test kernel: [55136.355592] 106, L1: 1.
Dec 15 11:24:59 test kernel: [55136.356719] 107, L1: 1.
Dec 15 11:24:59 test kernel: [55136.369261] 108, L1: 1.
Dec 15 11:24:59 test kernel: [55136.369621] 109, L1: 1.
Dec 15 11:24:59 test kernel: [55136.370715] 110, L1: 1.
Dec 15 11:24:59 test kernel: [55136.372416] 111, L1: 1.
Dec 15 11:24:59 test kernel: [55136.372446] 112, L1: 1.
Dec 15 11:24:59 test kernel: [55136.372474] 113, L1: 1.
Dec 15 11:24:59 test kernel: [55136.372499] 114, L1: 1.
Dec 15 11:24:59 test kernel: [55136.372523] 115, L1: 1.
Dec 15 11:24:59 test kernel: [55136.372549] 116, L1: 1.
Dec 15 11:24:59 test kernel: [55136.372574] 117, L1: 1.
Dec 15 11:24:59 test kernel: [55136.373014] 118, L1: 1.
Dec 15 11:24:59 test kernel: [55136.373043] 119, L1: 1.
Dec 15 11:24:59 test kernel: [55136.373068] 120, L1: 1.
Dec 15 11:24:59 test kernel: [55136.373723] 121, L1: 1.
Dec 15 11:24:59 test kernel: [55136.375360] 122, L1: 1.
Dec 15 11:24:59 test kernel: [55136.593565] 123, L1: 1.
Dec 15 11:24:59 test kernel: [55136.613044] 124, L1: 1.
Dec 15 11:24:59 test kernel: [55136.613175] 125, L1: 1.
Dec 15 11:24:59 test kernel: [55136.628850] 126, L1: 1.
Dec 15 11:24:59 test kernel: [55136.660987] 127, L1: 1.
Dec 15 11:24:59 test kernel: [55136.661102] 128, L1: 1.
Dec 15 11:24:59 test kernel: [55136.661150] 129, L1: 1.
Dec 15 11:24:59 test kernel: [55136.661195] 130, L1: 1.
Dec 15 11:24:59 test kernel: [55136.661239] 131, L1: 1.
Dec 15 11:24:59 test kernel: [55136.661283] 132, L1: 1.
Dec 15 11:24:59 test kernel: [55136.661327] 133, L1: 1.
Dec 15 11:24:59 test kernel: [55136.662588] 134, L1: 1.
Dec 15 11:24:59 test kernel: [55136.700869] 135, L1: 1.
Dec 15 11:24:59 test kernel: [55136.706971] 136, L1: 1.
Dec 15 11:24:59 test kernel: [55136.749969] 137, L1: 1.
Dec 15 11:24:59 test kernel: [55136.765886] 138, L1: 1.
Dec 15 11:24:59 test kernel: [55136.881134] 139, L1: 1.
Dec 15 11:24:59 test kernel: [55136.887731] 140, L1: 1.
Dec 15 11:24:59 test kernel: [55136.902223] 141, L1: 1.
Dec 15 11:24:59 test kernel: [55136.902312] 142, L1: 1.
Dec 15 11:24:59 test kernel: [55136.902343] 143, L1: 1.
Dec 15 11:24:59 test kernel: [55136.902376] [Hermes] Exit Field [6400] -> Value [80000000]. Reason: [1c].
Dec 15 11:24:59 test kernel: [55136.902396] 144, L1: 1.
Dec 15 11:24:59 test kernel: [55136.902398] [Hermes] Entry Field [6400] -> Value [80000000].
Dec 15 11:24:59 test kernel: [55136.902439] 145, L1: 1.
Dec 15 11:24:59 test kernel: [55136.902471] 146, L1: 1.
Dec 15 11:24:59 test kernel: [55136.902497] 147, L1: 1.
Dec 15 11:24:59 test kernel: [55136.902524] 148, L1: 1.
Dec 15 11:24:59 test kernel: [55136.902551] 149, L1: 1.
Dec 15 11:24:59 test kernel: [55136.902580] 150, L1: 1.
Dec 15 11:24:59 test kernel: [55136.902880] 151, L1: 1.
Dec 15 11:24:59 test kernel: [55136.902906] 152, L1: 1.
Dec 15 11:24:59 test kernel: [55136.902969] 153, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029300] 154, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029357] 155, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029389] 156, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029415] 157, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029439] 158, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029466] 159, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029497] 160, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029524] 161, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029562] 162, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029642] 163, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029666] 164, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029694] 165, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029737] 166, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029763] 167, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029791] 168, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029817] 169, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029842] 170, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029868] 171, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029894] 172, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029919] 173, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029945] 174, L1: 1.
Dec 15 11:25:00 test kernel: [55137.029974] 175, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030000] 176, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030027] 177, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030053] 178, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030078] 179, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030104] 180, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030128] 181, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030154] 182, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030180] 183, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030206] 184, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030230] 185, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030255] 186, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030280] 187, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030305] 188, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030329] 189, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030354] 190, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030380] 191, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030406] 192, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030431] 193, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030457] 194, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030483] 195, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030507] 196, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030533] 197, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030557] 198, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030584] 199, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030615] 200, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030645] 201, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030670] 202, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030696] 203, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030727] 204, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030759] 205, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030785] 206, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030811] 207, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030837] 208, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030861] 209, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030885] 210, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030911] 211, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030937] 212, L1: 1.
Dec 15 11:25:00 test kernel: [55137.030960] 213, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031564] 214, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031589] 215, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031615] 216, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031639] 217, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031663] 218, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031688] 219, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031713] 220, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031738] 221, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031763] 222, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031788] 223, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031813] 224, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031839] 225, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031863] 226, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031888] 227, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031912] 228, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031937] 229, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031962] 230, L1: 1.
Dec 15 11:25:00 test kernel: [55137.031987] 231, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032012] 232, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032037] 233, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032063] 234, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032087] 235, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032112] 236, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032137] 237, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032162] 238, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032187] 239, L1: 1.
Dec 15 11:25:00 test kernel: [55137.032212] 240, L1: 1.
