Dec 18 16:48:14 test kernel: [ 7829.545461] [TRACE_KVM] Buffer & to_replay created
Dec 18 16:48:14 test kernel: [ 7829.545497] [HAVFUZZ] Opened
Dec 18 16:48:45 test kernel: [ 7861.195073] [TRACE_KVM] The trarget vcpu is 3
Dec 18 16:48:46 test kernel: [ 7861.264578] [Trace KVM] Buffer reset
Dec 18 16:48:46 test kernel: [ 7861.264585] [TRACE_KVM] Buffer size changed
Dec 18 16:48:46 test kernel: [ 7861.264638] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 18 16:48:46 test kernel: [ 7861.264643] [TRACE_KVM] gran exit set to 0.
Dec 18 16:48:46 test kernel: [ 7861.264645] [TRACE_KVM] Control_execution set to 1.
Dec 18 16:48:46 test kernel: [ 7861.264647] [TRACE_KVM] tracing enabled
Dec 18 16:48:46 test kernel: [ 7861.336642] 0, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.337036] 1, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.338708] 2, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.364657] 3, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.380611] 4, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.381211] 5, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.405372] 6, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.420609] 7, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.420641] 8, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.420747] 9, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.420774] 10, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.420800] 11, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.420827] 12, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.420853] 13, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.422049] 14, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.423673] 15, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.425290] 16, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.425318] 17, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.425344] 18, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.432344] 19, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.444609] 20, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.446050] 21, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.453295] 22, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.453888] 23, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.454037] 24, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.454112] 25, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.454142] 26, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.454169] 27, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.454196] 28, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.454222] 29, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.454249] 30, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.454275] 31, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.456834] 32, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.457455] 33, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.457680] 34, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.457860] 35, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.458605] 36, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.516984] 37, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.517036] 38, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.517212] 39, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.517362] 40, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.517428] 41, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.528607] 42, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.541381] 43, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.552691] 44, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.620604] 45, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.655695] 46, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.655739] 47, L1: 1.
Dec 18 16:48:46 test kernel: [ 7861.657620] 48, L1: 1.
Dec 18 16:48:46 test kernel: [ 7862.179230] 49, L1: 1.
Dec 18 16:48:46 test kernel: [ 7862.179620] 50, L1: 1.
Dec 18 16:48:46 test kernel: [ 7862.208977] 51, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.257568] 52, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.306060] 53, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.320609] 54, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.350443] 55, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.355363] 56, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.355905] 57, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.356613] 58, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.359633] 59, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.360576] 60, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.361648] 61, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.361713] 62, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.362683] 63, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.362915] 64, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.380881] 65, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.418335] 66, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.419845] 67, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.532613] 68, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.533331] 69, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.533465] 70, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.533493] 71, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.533521] 72, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.533640] 73, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.533671] 74, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.533696] 75, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.557063] 76, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.557091] 77, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.557117] 78, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.558345] 79, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.563036] 80, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.566259] 81, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.566499] 82, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.566612] 83, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.566645] 84, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.566673] 85, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.566699] 86, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.566726] 87, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.567165] 88, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.567195] 89, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.567221] 90, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.574922] 91, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.574954] 92, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.588758] 93, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.598043] 94, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.617382] 95, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.619705] 96, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.619834] 97, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.620685] 98, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.703522] 99, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.724608] 100, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.724796] 101, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.728133] 102, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.728170] 103, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.728199] 104, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.728223] 105, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.728249] 106, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.728273] 107, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.728298] 108, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.730207] 109, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.730238] 110, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.730266] 111, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.730632] 112, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.734354] 113, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.734669] 114, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.734963] 115, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.736642] 116, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.736702] 117, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.753236] 118, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.776522] 119, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.782150] 120, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.782319] 121, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.782604] 122, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.785256] 123, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.785288] 124, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.785315] 125, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.785339] 126, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.785363] 127, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.785387] 128, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.785411] 129, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.786237] 130, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.786264] 131, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.786288] 132, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.806194] 133, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.838698] 134, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.950093] 135, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.962085] 136, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.962200] 137, L1: 1.
Dec 18 16:48:47 test kernel: [ 7862.992612] 138, L1: 1.
Dec 18 16:48:47 test kernel: [ 7863.036758] 139, L1: 1.
Dec 18 16:48:47 test kernel: [ 7863.036878] 140, L1: 1.
Dec 18 16:48:47 test kernel: [ 7863.036926] 141, L1: 1.
Dec 18 16:48:47 test kernel: [ 7863.036970] 142, L1: 1.
