Dec 18 20:35:20 test kernel: [21455.514669] [TRACE_KVM] Buffer & to_replay created
Dec 18 20:35:20 test kernel: [21455.514704] [HAVFUZZ] Opened
Dec 18 20:35:51 test kernel: [21486.930241] [TRACE_KVM] The trarget vcpu is 3
Dec 18 20:35:51 test kernel: [21486.999776] [Trace KVM] Buffer reset
Dec 18 20:35:51 test kernel: [21486.999783] [TRACE_KVM] Buffer size changed
Dec 18 20:35:51 test kernel: [21486.999794] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 18 20:35:51 test kernel: [21486.999796] [TRACE_KVM] gran exit set to 0.
Dec 18 20:35:51 test kernel: [21486.999798] [TRACE_KVM] Control_execution set to 1.
Dec 18 20:35:51 test kernel: [21486.999799] [TRACE_KVM] tracing enabled
Dec 18 20:35:51 test kernel: [21487.020623] 0, L1: 1.
Dec 18 20:35:51 test kernel: [21487.022246] 1, L1: 1.
Dec 18 20:35:51 test kernel: [21487.056725] 2, L1: 1.
Dec 18 20:35:51 test kernel: [21487.124627] 3, L1: 1.
Dec 18 20:35:51 test kernel: [21487.146875] 4, L1: 1.
Dec 18 20:35:51 test kernel: [21487.147188] 5, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149485] 6, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149519] 7, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149550] 8, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149579] 9, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149610] 10, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149639] 11, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149670] 12, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149700] 13, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149730] 14, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149759] 15, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149790] 16, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149819] 17, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149849] 18, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149879] 19, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149910] 20, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149939] 21, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149969] 22, L1: 1.
Dec 18 20:35:51 test kernel: [21487.149999] 23, L1: 1.
Dec 18 20:35:51 test kernel: [21487.150029] 24, L1: 1.
Dec 18 20:35:51 test kernel: [21487.150059] 25, L1: 1.
Dec 18 20:35:51 test kernel: [21487.150089] 26, L1: 1.
Dec 18 20:35:51 test kernel: [21487.150118] 27, L1: 1.
Dec 18 20:35:51 test kernel: [21487.150149] 28, L1: 1.
Dec 18 20:35:51 test kernel: [21487.150178] 29, L1: 1.
Dec 18 20:35:51 test kernel: [21487.150208] 30, L1: 1.
Dec 18 20:35:51 test kernel: [21487.150238] 31, L1: 1.
Dec 18 20:35:51 test kernel: [21487.150268] 32, L1: 1.
Dec 18 20:35:51 test kernel: [21487.150298] 33, L1: 1.
Dec 18 20:35:51 test kernel: [21487.150328] 34, L1: 1.
Dec 18 20:35:51 test kernel: [21487.150357] 35, L1: 1.
Dec 18 20:35:51 test kernel: [21487.150388] 36, L1: 1.
Dec 18 20:35:51 test kernel: [21487.150417] 37, L1: 1.
Dec 18 20:35:51 test kernel: [21487.150994] 38, L1: 1.
Dec 18 20:35:51 test kernel: [21487.151034] 39, L1: 1.
Dec 18 20:35:51 test kernel: [21487.152341] 40, L1: 1.
Dec 18 20:35:51 test kernel: [21487.152739] 41, L1: 1.
Dec 18 20:35:51 test kernel: [21487.168609] 42, L1: 1.
Dec 18 20:35:51 test kernel: [21487.192611] 43, L1: 1.
Dec 18 20:35:51 test kernel: [21487.192808] 44, L1: 1.
Dec 18 20:35:51 test kernel: [21487.192998] 45, L1: 1.
Dec 18 20:35:52 test kernel: [21487.237485] 46, L1: 1.
Dec 18 20:35:52 test kernel: [21487.238301] 47, L1: 1.
Dec 18 20:35:52 test kernel: [21487.238489] 48, L1: 1.
Dec 18 20:35:52 test kernel: [21487.238538] 49, L1: 1.
Dec 18 20:35:52 test kernel: [21487.238975] 50, L1: 1.
Dec 18 20:35:52 test kernel: [21487.254255] 51, L1: 1.
Dec 18 20:35:52 test kernel: [21487.258486] 52, L1: 1.
Dec 18 20:35:52 test kernel: [21487.258705] 53, L1: 1.
Dec 18 20:35:52 test kernel: [21487.261040] 54, L1: 1.
Dec 18 20:35:52 test kernel: [21487.278706] 55, L1: 1.
Dec 18 20:35:52 test kernel: [21487.278969] 56, L1: 1.
Dec 18 20:35:52 test kernel: [21487.279142] 57, L1: 1.
Dec 18 20:35:52 test kernel: [21487.279173] 58, L1: 1.
Dec 18 20:35:52 test kernel: [21487.294512] 59, L1: 1.
Dec 18 20:35:52 test kernel: [21487.299350] 60, L1: 1.
Dec 18 20:35:52 test kernel: [21487.299867] 61, L1: 1.
Dec 18 20:35:52 test kernel: [21487.312676] 62, L1: 1.
Dec 18 20:35:52 test kernel: [21487.313257] 63, L1: 1.
Dec 18 20:35:52 test kernel: [21487.313507] 64, L1: 1.
Dec 18 20:35:52 test kernel: [21487.313938] 65, L1: 1.
Dec 18 20:35:52 test kernel: [21487.315714] 66, L1: 1.
Dec 18 20:35:52 test kernel: [21487.315933] 67, L1: 1.
Dec 18 20:35:52 test kernel: [21487.316525] 68, L1: 1.
Dec 18 20:35:52 test kernel: [21487.316697] 69, L1: 1.
Dec 18 20:35:52 test kernel: [21487.316735] 70, L1: 1.
Dec 18 20:35:52 test kernel: [21487.317070] 71, L1: 1.
Dec 18 20:35:52 test kernel: [21487.318909] 72, L1: 1.
Dec 18 20:35:52 test kernel: [21487.320352] 73, L1: 1.
Dec 18 20:35:52 test kernel: [21487.321381] 74, L1: 1.
Dec 18 20:35:52 test kernel: [21487.321837] 75, L1: 1.
Dec 18 20:35:52 test kernel: [21487.324616] 76, L1: 1.
Dec 18 20:35:52 test kernel: [21487.336606] 77, L1: 1.
Dec 18 20:35:52 test kernel: [21487.336776] 78, L1: 1.
Dec 18 20:35:52 test kernel: [21487.341127] 79, L1: 1.
Dec 18 20:35:52 test kernel: [21487.344265] 80, L1: 1.
Dec 18 20:35:52 test kernel: [21487.346623] 81, L1: 1.
Dec 18 20:35:52 test kernel: [21487.386023] 82, L1: 1.
Dec 18 20:35:52 test kernel: [21487.417351] 83, L1: 1.
Dec 18 20:35:52 test kernel: [21487.418037] 84, L1: 1.
Dec 18 20:35:52 test kernel: [21487.420541] 85, L1: 1.
Dec 18 20:35:52 test kernel: [21487.421479] 86, L1: 1.
Dec 18 20:35:52 test kernel: [21487.421927] 87, L1: 1.
Dec 18 20:35:52 test kernel: [21487.422974] 88, L1: 1.
Dec 18 20:35:52 test kernel: [21487.436629] 89, L1: 1.
Dec 18 20:35:52 test kernel: [21487.455005] 90, L1: 1.
Dec 18 20:35:52 test kernel: [21487.455941] 91, L1: 1.
Dec 18 20:35:52 test kernel: [21487.473630] 92, L1: 1.
Dec 18 20:35:52 test kernel: [21487.503167] 93, L1: 1.
Dec 18 20:35:52 test kernel: [21487.512621] 94, L1: 1.
Dec 18 20:35:52 test kernel: [21487.524851] 95, L1: 1.
Dec 18 20:35:52 test kernel: [21487.533304] 96, L1: 1.
Dec 18 20:35:52 test kernel: [21487.562447] 97, L1: 1.
Dec 18 20:35:52 test kernel: [21487.564467] 98, L1: 1.
Dec 18 20:35:52 test kernel: [21487.581125] 99, L1: 1.
Dec 18 20:35:52 test kernel: [21487.593171] 100, L1: 1.
Dec 18 20:35:52 test kernel: [21487.613415] 101, L1: 1.
Dec 18 20:35:52 test kernel: [21487.681852] 102, L1: 1.
Dec 18 20:35:52 test kernel: [21487.681891] 103, L1: 1.
Dec 18 20:35:52 test kernel: [21487.681919] 104, L1: 1.
Dec 18 20:35:52 test kernel: [21487.681943] 105, L1: 1.
Dec 18 20:35:52 test kernel: [21487.681967] 106, L1: 1.
Dec 18 20:35:52 test kernel: [21487.681994] 107, L1: 1.
Dec 18 20:35:52 test kernel: [21487.682019] 108, L1: 1.
Dec 18 20:35:52 test kernel: [21487.683630] 109, L1: 1.
Dec 18 20:35:52 test kernel: [21487.683659] 110, L1: 1.
Dec 18 20:35:52 test kernel: [21487.683684] 111, L1: 1.
Dec 18 20:35:53 test kernel: [21488.353575] 112, L1: 1.
Dec 18 20:35:53 test kernel: [21488.354221] 113, L1: 1.
Dec 18 20:35:53 test kernel: [21488.354437] 114, L1: 1.
Dec 18 20:35:53 test kernel: [21488.354467] 115, L1: 1.
Dec 18 20:35:53 test kernel: [21488.354493] 116, L1: 1.
Dec 18 20:35:53 test kernel: [21488.354519] 117, L1: 1.
Dec 18 20:35:53 test kernel: [21488.354544] 118, L1: 1.
Dec 18 20:35:53 test kernel: [21488.354570] 119, L1: 1.
Dec 18 20:35:53 test kernel: [21488.354596] 120, L1: 1.
Dec 18 20:35:53 test kernel: [21488.354827] 121, L1: 1.
Dec 18 20:35:53 test kernel: [21488.354861] 122, L1: 1.
Dec 18 20:35:53 test kernel: [21488.354887] 123, L1: 1.
Dec 18 20:35:53 test kernel: [21488.389221] 124, L1: 1.
Dec 18 20:35:53 test kernel: [21488.394406] 125, L1: 1.
Dec 18 20:35:53 test kernel: [21488.397911] 126, L1: 1.
Dec 18 20:35:53 test kernel: [21488.401478] 127, L1: 1.
Dec 18 20:35:53 test kernel: [21488.412608] 128, L1: 1.
Dec 18 20:35:53 test kernel: [21488.431612] 129, L1: 1.
Dec 18 20:35:53 test kernel: [21488.431737] 130, L1: 1.
Dec 18 20:35:53 test kernel: [21488.431769] 131, L1: 1.
Dec 18 20:35:53 test kernel: [21488.431797] 132, L1: 1.
Dec 18 20:35:53 test kernel: [21488.431825] 133, L1: 1.
Dec 18 20:35:53 test kernel: [21488.431851] 134, L1: 1.
Dec 18 20:35:53 test kernel: [21488.431877] 135, L1: 1.
Dec 18 20:35:53 test kernel: [21488.432587] 136, L1: 1.
Dec 18 20:35:53 test kernel: [21488.432639] 137, L1: 1.
Dec 18 20:35:53 test kernel: [21488.432679] 138, L1: 1.
Dec 18 20:35:53 test kernel: [21488.446731] 139, L1: 1.
Dec 18 20:35:53 test kernel: [21488.460986] 140, L1: 1.
Dec 18 20:35:53 test kernel: [21488.571069] 141, L1: 1.
Dec 18 20:35:53 test kernel: [21488.571130] 142, L1: 1.
Dec 18 20:35:53 test kernel: [21488.571162] 143, L1: 1.
Dec 18 20:35:53 test kernel: [21488.571191] 144, L1: 1.
Dec 18 20:35:53 test kernel: [21488.571219] 145, L1: 1.
Dec 18 20:35:53 test kernel: [21488.571246] 146, L1: 1.
Dec 18 20:35:53 test kernel: [21488.571274] 147, L1: 1.
Dec 18 20:35:53 test kernel: [21488.571300] 148, L1: 1.
Dec 18 20:35:53 test kernel: [21488.571938] 149, L1: 1.
Dec 18 20:35:53 test kernel: [21488.571968] 150, L1: 1.
Dec 18 20:35:53 test kernel: [21488.571996] 151, L1: 1.
Dec 18 20:35:53 test kernel: [21488.588685] 152, L1: 1.
Dec 18 20:35:53 test kernel: [21488.668878] 153, L1: 1.
Dec 18 20:35:53 test kernel: [21488.804906] 154, L1: 1.
Dec 18 20:35:53 test kernel: [21488.805018] 155, L1: 1.
Dec 18 20:35:53 test kernel: [21488.822134] 156, L1: 1.
Dec 18 20:35:53 test kernel: [21488.828623] 157, L1: 1.
Dec 18 20:35:53 test kernel: [21488.892898] 158, L1: 1.
Dec 18 20:35:53 test kernel: [21488.912918] 159, L1: 1.
Dec 18 20:35:53 test kernel: [21488.984727] 160, L1: 1.
Dec 18 20:35:53 test kernel: [21488.984842] 161, L1: 1.
Dec 18 20:35:53 test kernel: [21488.984895] 162, L1: 1.
Dec 18 20:35:53 test kernel: [21488.984939] 163, L1: 1.
Dec 18 20:35:53 test kernel: [21488.984983] 164, L1: 1.
Dec 18 20:35:53 test kernel: [21488.985027] 165, L1: 1.
Dec 18 20:35:53 test kernel: [21488.985071] 166, L1: 1.
Dec 18 20:35:53 test kernel: [21488.986350] 167, L1: 1.
Dec 18 20:35:53 test kernel: [21489.046158] 168, L1: 1.
Dec 18 20:35:53 test kernel: [21489.051634] 169, L1: 1.
Dec 18 20:35:53 test kernel: [21489.090745] 170, L1: 1.
Dec 18 20:35:53 test kernel: [21489.116690] 171, L1: 1.
Dec 18 20:35:53 test kernel: [21489.166986] 172, L1: 1.
Dec 18 20:35:53 test kernel: [21489.178386] 173, L1: 1.
Dec 18 20:35:53 test kernel: [21489.189297] 174, L1: 1.
Dec 18 20:35:53 test kernel: [21489.189612] 175, L1: 1.
Dec 18 20:35:53 test kernel: [21489.189646] 176, L1: 1.
Dec 18 20:35:53 test kernel: [21489.189678] [Hermes] Exit Field [681e] -> Value [152]. Reason: [1c].
Dec 18 20:35:53 test kernel: [21489.189699] 177, L1: 1.
Dec 18 20:35:53 test kernel: [21489.189702] [Hermes] Entry Field [681e] -> Value [155].
Dec 18 20:35:53 test kernel: [21489.189752] 178, L1: 1.
Dec 18 20:35:53 test kernel: [21489.189779] 179, L1: 1.
Dec 18 20:35:53 test kernel: [21489.202975] 180, L1: 1.
Dec 18 20:35:56 test kernel: [21492.189882] [TRACE_KVM] tracing disabled
Dec 18 20:35:56 test kernel: [21492.189887] [TRACE_KVM] Control_execution set to 0.
Dec 18 20:35:56 test kernel: [21492.190273] [TRACE_KVM] Buffer copied 
Dec 18 20:35:56 test kernel: [21492.193673] [HAVFUZZ] Released
Dec 18 20:35:56 test kernel: [21492.195482] [Trace KVM] Buffer released
