Dec 19 10:17:37 test kernel: [70792.988087] [TRACE_KVM] Buffer & to_replay created
Dec 19 10:17:37 test kernel: [70792.988121] [HAVFUZZ] Opened
Dec 19 10:18:09 test kernel: [70824.633585] [TRACE_KVM] The trarget vcpu is 3
Dec 19 10:18:09 test kernel: [70824.703430] [Trace KVM] Buffer reset
Dec 19 10:18:09 test kernel: [70824.703437] [TRACE_KVM] Buffer size changed
Dec 19 10:18:09 test kernel: [70824.703443] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 19 10:18:09 test kernel: [70824.703446] [TRACE_KVM] gran exit set to 0.
Dec 19 10:18:09 test kernel: [70824.703447] [TRACE_KVM] Control_execution set to 1.
Dec 19 10:18:09 test kernel: [70824.703449] [TRACE_KVM] tracing enabled
Dec 19 10:18:09 test kernel: [70824.720603] 0, L1: 1.
Dec 19 10:18:09 test kernel: [70824.721408] 1, L1: 1.
Dec 19 10:18:09 test kernel: [70824.721518] 2, L1: 1.
Dec 19 10:18:09 test kernel: [70824.805047] 3, L1: 1.
Dec 19 10:18:09 test kernel: [70824.805084] 4, L1: 1.
Dec 19 10:18:09 test kernel: [70824.805114] 5, L1: 1.
Dec 19 10:18:09 test kernel: [70824.805141] 6, L1: 1.
Dec 19 10:18:09 test kernel: [70824.805166] 7, L1: 1.
Dec 19 10:18:09 test kernel: [70824.805193] 8, L1: 1.
Dec 19 10:18:09 test kernel: [70824.805219] 9, L1: 1.
Dec 19 10:18:09 test kernel: [70824.805510] 10, L1: 1.
Dec 19 10:18:09 test kernel: [70824.805539] 11, L1: 1.
Dec 19 10:18:09 test kernel: [70824.805566] 12, L1: 1.
Dec 19 10:18:09 test kernel: [70824.805927] 13, L1: 1.
Dec 19 10:18:09 test kernel: [70824.829586] 14, L1: 1.
Dec 19 10:18:09 test kernel: [70824.829619] 15, L1: 1.
Dec 19 10:18:09 test kernel: [70824.829646] 16, L1: 1.
Dec 19 10:18:09 test kernel: [70824.829673] 17, L1: 1.
Dec 19 10:18:09 test kernel: [70824.829699] 18, L1: 1.
Dec 19 10:18:09 test kernel: [70824.829726] 19, L1: 1.
Dec 19 10:18:09 test kernel: [70824.829752] 20, L1: 1.
Dec 19 10:18:09 test kernel: [70824.832901] 21, L1: 1.
Dec 19 10:18:09 test kernel: [70824.832931] 22, L1: 1.
Dec 19 10:18:09 test kernel: [70824.832959] 23, L1: 1.
Dec 19 10:18:09 test kernel: [70824.834359] 24, L1: 1.
Dec 19 10:18:09 test kernel: [70824.834671] 25, L1: 1.
Dec 19 10:18:09 test kernel: [70824.846217] 26, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850212] 27, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850325] 28, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850356] 29, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850385] 30, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850414] 31, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850451] 32, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850491] 33, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850519] 34, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850547] 35, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850575] 36, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850602] 37, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850631] 38, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850658] 39, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850686] 40, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850714] 41, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850742] 42, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850769] 43, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850797] 44, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850824] 45, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850852] 46, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850880] 47, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850908] 48, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850935] 49, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850963] 50, L1: 1.
Dec 19 10:18:09 test kernel: [70824.850991] 51, L1: 1.
Dec 19 10:18:09 test kernel: [70824.851019] 52, L1: 1.
Dec 19 10:18:09 test kernel: [70824.851046] 53, L1: 1.
Dec 19 10:18:09 test kernel: [70824.851075] 54, L1: 1.
Dec 19 10:18:09 test kernel: [70824.851101] 55, L1: 1.
Dec 19 10:18:09 test kernel: [70824.851130] 56, L1: 1.
Dec 19 10:18:09 test kernel: [70824.851157] 57, L1: 1.
Dec 19 10:18:09 test kernel: [70824.851931] 58, L1: 1.
Dec 19 10:18:09 test kernel: [70824.904756] 59, L1: 1.
Dec 19 10:18:09 test kernel: [70824.904913] 60, L1: 1.
Dec 19 10:18:09 test kernel: [70824.909473] 61, L1: 1.
Dec 19 10:18:09 test kernel: [70824.952540] 62, L1: 1.
Dec 19 10:18:09 test kernel: [70824.984966] 63, L1: 1.
Dec 19 10:18:09 test kernel: [70825.012610] 64, L1: 1.
Dec 19 10:18:09 test kernel: [70825.024247] 65, L1: 1.
Dec 19 10:18:09 test kernel: [70825.036698] 66, L1: 1.
Dec 19 10:18:09 test kernel: [70825.057542] 67, L1: 1.
Dec 19 10:18:09 test kernel: [70825.085984] 68, L1: 1.
Dec 19 10:18:09 test kernel: [70825.088627] 69, L1: 1.
Dec 19 10:18:09 test kernel: [70825.088752] 70, L1: 1.
Dec 19 10:18:09 test kernel: [70825.100780] 71, L1: 1.
Dec 19 10:18:09 test kernel: [70825.101192] 72, L1: 1.
Dec 19 10:18:09 test kernel: [70825.116611] 73, L1: 1.
Dec 19 10:18:09 test kernel: [70825.117808] 74, L1: 1.
Dec 19 10:18:09 test kernel: [70825.119582] 75, L1: 1.
Dec 19 10:18:09 test kernel: [70825.119632] 76, L1: 1.
Dec 19 10:18:09 test kernel: [70825.119746] 77, L1: 1.
Dec 19 10:18:09 test kernel: [70825.119772] 78, L1: 1.
Dec 19 10:18:09 test kernel: [70825.119797] 79, L1: 1.
Dec 19 10:18:09 test kernel: [70825.119822] 80, L1: 1.
Dec 19 10:18:09 test kernel: [70825.132874] 81, L1: 1.
Dec 19 10:18:09 test kernel: [70825.132906] 82, L1: 1.
Dec 19 10:18:09 test kernel: [70825.133013] 83, L1: 1.
Dec 19 10:18:09 test kernel: [70825.164603] 84, L1: 1.
Dec 19 10:18:09 test kernel: [70825.177875] 85, L1: 1.
Dec 19 10:18:09 test kernel: [70825.177904] 86, L1: 1.
Dec 19 10:18:09 test kernel: [70825.177931] 87, L1: 1.
Dec 19 10:18:09 test kernel: [70825.177956] 88, L1: 1.
Dec 19 10:18:09 test kernel: [70825.178367] 89, L1: 1.
Dec 19 10:18:09 test kernel: [70825.178396] 90, L1: 1.
Dec 19 10:18:09 test kernel: [70825.178674] 91, L1: 1.
Dec 19 10:18:09 test kernel: [70825.179078] 92, L1: 1.
Dec 19 10:18:09 test kernel: [70825.179106] 93, L1: 1.
Dec 19 10:18:09 test kernel: [70825.179131] 94, L1: 1.
Dec 19 10:18:09 test kernel: [70825.179335] 95, L1: 1.
Dec 19 10:18:09 test kernel: [70825.179362] 96, L1: 1.
Dec 19 10:18:09 test kernel: [70825.179387] 97, L1: 1.
Dec 19 10:18:09 test kernel: [70825.179544] 98, L1: 1.
Dec 19 10:18:09 test kernel: [70825.179668] 99, L1: 1.
Dec 19 10:18:09 test kernel: [70825.181805] 100, L1: 1.
Dec 19 10:18:09 test kernel: [70825.181836] 101, L1: 1.
Dec 19 10:18:09 test kernel: [70825.181863] 102, L1: 1.
Dec 19 10:18:09 test kernel: [70825.181887] 103, L1: 1.
Dec 19 10:18:09 test kernel: [70825.181914] 104, L1: 1.
Dec 19 10:18:09 test kernel: [70825.181939] 105, L1: 1.
Dec 19 10:18:09 test kernel: [70825.181965] 106, L1: 1.
Dec 19 10:18:09 test kernel: [70825.182743] 107, L1: 1.
Dec 19 10:18:09 test kernel: [70825.182778] 108, L1: 1.
Dec 19 10:18:09 test kernel: [70825.182807] 109, L1: 1.
Dec 19 10:18:09 test kernel: [70825.183078] 110, L1: 1.
Dec 19 10:18:09 test kernel: [70825.183107] 111, L1: 1.
Dec 19 10:18:09 test kernel: [70825.183132] 112, L1: 1.
Dec 19 10:18:09 test kernel: [70825.183517] 113, L1: 1.
Dec 19 10:18:09 test kernel: [70825.185351] 114, L1: 1.
Dec 19 10:18:09 test kernel: [70825.186404] 115, L1: 1.
Dec 19 10:18:09 test kernel: [70825.190445] 116, L1: 1.
Dec 19 10:18:09 test kernel: [70825.214312] 117, L1: 1.
Dec 19 10:18:10 test kernel: [70825.252340] 118, L1: 1.
Dec 19 10:18:10 test kernel: [70825.254001] 119, L1: 1.
Dec 19 10:18:10 test kernel: [70825.254171] 120, L1: 1.
Dec 19 10:18:10 test kernel: [70825.259546] 121, L1: 1.
Dec 19 10:18:10 test kernel: [70825.259922] 122, L1: 1.
Dec 19 10:18:10 test kernel: [70825.260841] 123, L1: 1.
Dec 19 10:18:10 test kernel: [70825.261308] 124, L1: 1.
Dec 19 10:18:10 test kernel: [70825.310391] 125, L1: 1.
Dec 19 10:18:10 test kernel: [70825.330779] 126, L1: 1.
Dec 19 10:18:10 test kernel: [70825.330809] 127, L1: 1.
Dec 19 10:18:10 test kernel: [70825.330834] 128, L1: 1.
Dec 19 10:18:10 test kernel: [70825.330858] 129, L1: 1.
Dec 19 10:18:10 test kernel: [70825.330884] 130, L1: 1.
Dec 19 10:18:10 test kernel: [70825.330910] 131, L1: 1.
Dec 19 10:18:10 test kernel: [70825.330935] 132, L1: 1.
Dec 19 10:18:10 test kernel: [70825.331666] 133, L1: 1.
Dec 19 10:18:10 test kernel: [70825.331696] 134, L1: 1.
Dec 19 10:18:10 test kernel: [70825.331723] 135, L1: 1.
Dec 19 10:18:10 test kernel: [70825.335466] 136, L1: 1.
Dec 19 10:18:10 test kernel: [70825.340794] 137, L1: 1.
Dec 19 10:18:10 test kernel: [70825.341511] 138, L1: 1.
Dec 19 10:18:10 test kernel: [70825.363560] 139, L1: 1.
Dec 19 10:18:10 test kernel: [70825.392945] 140, L1: 1.
Dec 19 10:18:10 test kernel: [70825.393001] 141, L1: 1.
Dec 19 10:18:10 test kernel: [70825.393040] 142, L1: 1.
Dec 19 10:18:10 test kernel: [70825.393072] 143, L1: 1.
Dec 19 10:18:10 test kernel: [70825.393097] 144, L1: 1.
Dec 19 10:18:10 test kernel: [70825.393121] 145, L1: 1.
Dec 19 10:18:10 test kernel: [70825.393145] 146, L1: 1.
Dec 19 10:18:10 test kernel: [70825.393168] 147, L1: 1.
Dec 19 10:18:10 test kernel: [70825.393717] 148, L1: 1.
Dec 19 10:18:10 test kernel: [70825.393743] 149, L1: 1.
Dec 19 10:18:10 test kernel: [70825.393767] 150, L1: 1.
Dec 19 10:18:10 test kernel: [70825.402307] 151, L1: 1.
Dec 19 10:18:10 test kernel: [70825.542267] 152, L1: 1.
Dec 19 10:18:10 test kernel: [70825.550370] 153, L1: 1.
Dec 19 10:18:10 test kernel: [70825.558254] 154, L1: 1.
Dec 19 10:18:10 test kernel: [70825.570274] 155, L1: 1.
Dec 19 10:18:10 test kernel: [70825.570389] 156, L1: 1.
Dec 19 10:18:10 test kernel: [70825.608611] 157, L1: 1.
Dec 19 10:18:10 test kernel: [70825.640719] 158, L1: 1.
Dec 19 10:18:10 test kernel: [70825.640835] 159, L1: 1.
Dec 19 10:18:10 test kernel: [70825.640884] 160, L1: 1.
Dec 19 10:18:10 test kernel: [70825.640929] 161, L1: 1.
Dec 19 10:18:10 test kernel: [70825.640973] 162, L1: 1.
Dec 19 10:18:10 test kernel: [70825.641017] 163, L1: 1.
