Dec 15 03:12:06 test kernel: [25563.309173] [TRACE_KVM] Buffer & to_replay created
Dec 15 03:12:06 test kernel: [25563.309205] [HAVFUZZ] Opened
Dec 15 03:12:38 test kernel: [25595.434094] [TRACE_KVM] The trarget vcpu is 3
Dec 15 03:12:38 test kernel: [25595.505135] [Trace KVM] Buffer reset
Dec 15 03:12:38 test kernel: [25595.505150] [TRACE_KVM] Buffer size changed
Dec 15 03:12:38 test kernel: [25595.505170] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 03:12:38 test kernel: [25595.505174] [TRACE_KVM] gran exit set to 0.
Dec 15 03:12:38 test kernel: [25595.505177] [TRACE_KVM] Control_execution set to 1.
Dec 15 03:12:38 test kernel: [25595.505179] [TRACE_KVM] tracing enabled
Dec 15 03:12:38 test kernel: [25595.507918] 0, L1: 1.
Dec 15 03:12:38 test kernel: [25595.509560] 1, L1: 1.
Dec 15 03:12:38 test kernel: [25595.519876] 2, L1: 1.
Dec 15 03:12:38 test kernel: [25595.521046] 3, L1: 1.
Dec 15 03:12:38 test kernel: [25595.521235] 4, L1: 1.
Dec 15 03:12:38 test kernel: [25595.523149] 5, L1: 1.
Dec 15 03:12:38 test kernel: [25595.525996] 6, L1: 1.
Dec 15 03:12:38 test kernel: [25595.527184] 7, L1: 1.
Dec 15 03:12:38 test kernel: [25595.527798] 8, L1: 1.
Dec 15 03:12:38 test kernel: [25595.528855] 9, L1: 1.
Dec 15 03:12:38 test kernel: [25595.584848] 10, L1: 1.
Dec 15 03:12:38 test kernel: [25595.603341] 11, L1: 1.
Dec 15 03:12:38 test kernel: [25595.605744] 12, L1: 1.
Dec 15 03:12:38 test kernel: [25595.652849] 13, L1: 1.
Dec 15 03:12:38 test kernel: [25595.653966] 14, L1: 1.
Dec 15 03:12:38 test kernel: [25595.670809] 15, L1: 1.
Dec 15 03:12:38 test kernel: [25595.671149] 16, L1: 1.
Dec 15 03:12:38 test kernel: [25595.672528] 17, L1: 1.
Dec 15 03:12:38 test kernel: [25595.672563] 18, L1: 1.
Dec 15 03:12:38 test kernel: [25595.672594] 19, L1: 1.
Dec 15 03:12:38 test kernel: [25595.672623] 20, L1: 1.
Dec 15 03:12:38 test kernel: [25595.672653] 21, L1: 1.
Dec 15 03:12:38 test kernel: [25595.672683] 22, L1: 1.
Dec 15 03:12:38 test kernel: [25595.672713] 23, L1: 1.
Dec 15 03:12:38 test kernel: [25595.672742] 24, L1: 1.
Dec 15 03:12:38 test kernel: [25595.672772] 25, L1: 1.
Dec 15 03:12:38 test kernel: [25595.672801] 26, L1: 1.
Dec 15 03:12:38 test kernel: [25595.672845] 27, L1: 1.
Dec 15 03:12:38 test kernel: [25595.672883] 28, L1: 1.
Dec 15 03:12:38 test kernel: [25595.672925] 29, L1: 1.
Dec 15 03:12:38 test kernel: [25595.672962] 30, L1: 1.
Dec 15 03:12:38 test kernel: [25595.672994] 31, L1: 1.
Dec 15 03:12:38 test kernel: [25595.673025] 32, L1: 1.
Dec 15 03:12:38 test kernel: [25595.673056] 33, L1: 1.
Dec 15 03:12:38 test kernel: [25595.673088] 34, L1: 1.
Dec 15 03:12:38 test kernel: [25595.673121] 35, L1: 1.
Dec 15 03:12:38 test kernel: [25595.673150] 36, L1: 1.
Dec 15 03:12:38 test kernel: [25595.673180] 37, L1: 1.
Dec 15 03:12:38 test kernel: [25595.673209] 38, L1: 1.
Dec 15 03:12:38 test kernel: [25595.673249] 39, L1: 1.
Dec 15 03:12:38 test kernel: [25595.673279] 40, L1: 1.
Dec 15 03:12:38 test kernel: [25595.673311] 41, L1: 1.
Dec 15 03:12:38 test kernel: [25595.673340] 42, L1: 1.
Dec 15 03:12:38 test kernel: [25595.673377] 43, L1: 1.
Dec 15 03:12:38 test kernel: [25595.674397] 44, L1: 1.
Dec 15 03:12:38 test kernel: [25595.674500] 45, L1: 1.
Dec 15 03:12:38 test kernel: [25595.674532] 46, L1: 1.
Dec 15 03:12:38 test kernel: [25595.674564] 47, L1: 1.
Dec 15 03:12:38 test kernel: [25595.674594] 48, L1: 1.
Dec 15 03:12:38 test kernel: [25595.674830] 49, L1: 1.
Dec 15 03:12:38 test kernel: [25595.685601] 50, L1: 1.
Dec 15 03:12:38 test kernel: [25595.733942] 51, L1: 1.
