Dec 18 15:27:44 test kernel: [ 3000.194731] [TRACE_KVM] Buffer & to_replay created
Dec 18 15:27:44 test kernel: [ 3000.194767] [HAVFUZZ] Opened
Dec 18 15:28:43 test kernel: [ 3058.764355] [TRACE_KVM] The trarget vcpu is 3
Dec 18 15:28:43 test kernel: [ 3058.832935] [Trace KVM] Buffer reset
Dec 18 15:28:43 test kernel: [ 3058.832940] [TRACE_KVM] Buffer size changed
Dec 18 15:28:43 test kernel: [ 3058.832948] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 18 15:28:43 test kernel: [ 3058.832950] [TRACE_KVM] gran exit set to 0.
Dec 18 15:28:43 test kernel: [ 3058.832952] [TRACE_KVM] Control_execution set to 1.
Dec 18 15:28:43 test kernel: [ 3058.832954] [TRACE_KVM] tracing enabled
Dec 18 15:28:43 test kernel: [ 3058.860758] 0, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.860904] 1, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.861211] 2, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.861352] 3, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.862132] 4, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.862315] 5, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.872458] 6, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.872831] 7, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.880625] 8, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.880849] 9, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.881674] 10, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.881725] 11, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.883681] 12, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.884009] 13, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.884358] 14, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.886102] 15, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.887130] 16, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.904611] 17, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.947615] 18, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.948978] 19, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949009] 20, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949040] 21, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949067] 22, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949096] 23, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949123] 24, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949150] 25, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949177] 26, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949204] 27, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949231] 28, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949260] 29, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949287] 30, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949315] 31, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949341] 32, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949370] 33, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949397] 34, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949425] 35, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949452] 36, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949480] 37, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949507] 38, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949535] 39, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949562] 40, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949589] 41, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949616] 42, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949644] 43, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949671] 44, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949700] 45, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949727] 46, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949754] 47, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949783] 48, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949810] 49, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.949837] 50, L1: 1.
Dec 18 15:28:43 test kernel: [ 3058.996616] 51, L1: 1.
Dec 18 15:28:43 test kernel: [ 3059.000118] 52, L1: 1.
Dec 18 15:28:43 test kernel: [ 3059.000536] 53, L1: 1.
Dec 18 15:28:43 test kernel: [ 3059.013477] 54, L1: 1.
Dec 18 15:28:43 test kernel: [ 3059.033117] 55, L1: 1.
Dec 18 15:28:43 test kernel: [ 3059.033358] 56, L1: 1.
Dec 18 15:28:43 test kernel: [ 3059.053140] 57, L1: 1.
Dec 18 15:28:43 test kernel: [ 3059.105041] 58, L1: 1.
Dec 18 15:28:43 test kernel: [ 3059.121449] 59, L1: 1.
Dec 18 15:28:43 test kernel: [ 3059.160870] 60, L1: 1.
Dec 18 15:28:43 test kernel: [ 3059.161546] 61, L1: 1.
Dec 18 15:28:43 test kernel: [ 3059.192897] 62, L1: 1.
Dec 18 15:28:43 test kernel: [ 3059.194815] 63, L1: 1.
Dec 18 15:28:44 test kernel: [ 3059.224604] 64, L1: 1.
Dec 18 15:28:44 test kernel: [ 3059.224875] 65, L1: 1.
Dec 18 15:28:44 test kernel: [ 3059.225516] 66, L1: 1.
Dec 18 15:28:44 test kernel: [ 3059.226967] 67, L1: 1.
Dec 18 15:28:44 test kernel: [ 3059.227338] 68, L1: 1.
Dec 18 15:28:44 test kernel: [ 3059.228394] 69, L1: 1.
Dec 18 15:28:44 test kernel: [ 3059.228995] 70, L1: 1.
Dec 18 15:28:44 test kernel: [ 3059.229064] 71, L1: 1.
Dec 18 15:28:44 test kernel: [ 3059.231482] 72, L1: 1.
Dec 18 15:28:44 test kernel: [ 3059.232015] 73, L1: 1.
Dec 18 15:28:44 test kernel: [ 3059.232090] 74, L1: 1.
Dec 18 15:28:44 test kernel: [ 3059.232945] 75, L1: 1.
Dec 18 15:28:44 test kernel: [ 3059.235492] 76, L1: 1.
Dec 18 15:28:44 test kernel: [ 3059.235679] 77, L1: 1.
