Dec 15 02:30:53 test kernel: [23090.582094] [TRACE_KVM] Buffer & to_replay created
Dec 15 02:30:53 test kernel: [23090.582128] [HAVFUZZ] Opened
Dec 15 02:31:38 test kernel: [23135.688129] [TRACE_KVM] The trarget vcpu is 3
Dec 15 02:31:38 test kernel: [23135.756905] [Trace KVM] Buffer reset
Dec 15 02:31:38 test kernel: [23135.756913] [TRACE_KVM] Buffer size changed
Dec 15 02:31:38 test kernel: [23135.756923] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 02:31:38 test kernel: [23135.756926] [TRACE_KVM] gran exit set to 0.
Dec 15 02:31:38 test kernel: [23135.756927] [TRACE_KVM] Control_execution set to 1.
Dec 15 02:31:38 test kernel: [23135.756929] [TRACE_KVM] tracing enabled
Dec 15 02:31:38 test kernel: [23135.757938] 0, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758204] 1, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758292] 2, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758324] 3, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758353] 4, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758379] 5, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758408] 6, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758436] 7, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758464] 8, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758491] 9, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758520] 10, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758548] 11, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758575] 12, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758601] 13, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758629] 14, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758657] 15, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758684] 16, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758710] 17, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758737] 18, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758764] 19, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758792] 20, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758819] 21, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758848] 22, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758876] 23, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758903] 24, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758931] 25, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758960] 26, L1: 1.
Dec 15 02:31:38 test kernel: [23135.758986] 27, L1: 1.
Dec 15 02:31:38 test kernel: [23135.759016] 28, L1: 1.
Dec 15 02:31:38 test kernel: [23135.759043] 29, L1: 1.
Dec 15 02:31:38 test kernel: [23135.759072] 30, L1: 1.
Dec 15 02:31:38 test kernel: [23135.759100] 31, L1: 1.
Dec 15 02:31:38 test kernel: [23135.759127] 32, L1: 1.
Dec 15 02:31:38 test kernel: [23135.759154] 33, L1: 1.
Dec 15 02:31:38 test kernel: [23135.768160] 34, L1: 1.
Dec 15 02:31:38 test kernel: [23135.768307] 35, L1: 1.
Dec 15 02:31:38 test kernel: [23135.768662] 36, L1: 1.
Dec 15 02:31:38 test kernel: [23135.769393] 37, L1: 1.
Dec 15 02:31:38 test kernel: [23135.775267] 38, L1: 1.
Dec 15 02:31:38 test kernel: [23135.775632] 39, L1: 1.
Dec 15 02:31:38 test kernel: [23135.779563] 40, L1: 1.
Dec 15 02:31:38 test kernel: [23135.779812] 41, L1: 1.
Dec 15 02:31:38 test kernel: [23135.785115] 42, L1: 1.
Dec 15 02:31:38 test kernel: [23135.805190] 43, L1: 1.
Dec 15 02:31:38 test kernel: [23135.805234] 44, L1: 1.
Dec 15 02:31:38 test kernel: [23135.805337] 45, L1: 1.
Dec 15 02:31:38 test kernel: [23135.805818] 46, L1: 1.
Dec 15 02:31:38 test kernel: [23135.809454] 47, L1: 1.
Dec 15 02:31:38 test kernel: [23135.810049] 48, L1: 1.
Dec 15 02:31:38 test kernel: [23135.852070] 49, L1: 1.
Dec 15 02:31:38 test kernel: [23135.864847] 50, L1: 1.
Dec 15 02:31:38 test kernel: [23135.865438] 51, L1: 1.
Dec 15 02:31:38 test kernel: [23135.869314] 52, L1: 1.
Dec 15 02:31:38 test kernel: [23135.869348] 53, L1: 1.
Dec 15 02:31:38 test kernel: [23135.869375] 54, L1: 1.
Dec 15 02:31:38 test kernel: [23135.869400] 55, L1: 1.
Dec 15 02:31:38 test kernel: [23135.869428] 56, L1: 1.
Dec 15 02:31:38 test kernel: [23135.869455] 57, L1: 1.
Dec 15 02:31:38 test kernel: [23135.869481] 58, L1: 1.
Dec 15 02:31:38 test kernel: [23135.872653] 59, L1: 1.
Dec 15 02:31:38 test kernel: [23135.872686] 60, L1: 1.
Dec 15 02:31:38 test kernel: [23135.872713] 61, L1: 1.
Dec 15 02:31:38 test kernel: [23135.874572] 62, L1: 1.
Dec 15 02:31:38 test kernel: [23135.878099] 63, L1: 1.
Dec 15 02:31:38 test kernel: [23135.883653] 64, L1: 1.
Dec 15 02:31:38 test kernel: [23135.887084] 65, L1: 1.
Dec 15 02:31:38 test kernel: [23135.888248] 66, L1: 1.
Dec 15 02:31:38 test kernel: [23135.921841] 67, L1: 1.
Dec 15 02:31:38 test kernel: [23135.922174] 68, L1: 1.
Dec 15 02:31:38 test kernel: [23135.952995] 69, L1: 1.
Dec 15 02:31:38 test kernel: [23135.953384] 70, L1: 1.
Dec 15 02:31:38 test kernel: [23135.954068] 71, L1: 1.
Dec 15 02:31:39 test kernel: [23135.973286] 72, L1: 1.
Dec 15 02:31:39 test kernel: [23135.973747] 73, L1: 1.
Dec 15 02:31:39 test kernel: [23135.974211] 74, L1: 1.
Dec 15 02:31:39 test kernel: [23135.974346] 75, L1: 1.
Dec 15 02:31:39 test kernel: [23136.028892] 76, L1: 1.
Dec 15 02:31:39 test kernel: [23136.072936] 77, L1: 1.
Dec 15 02:31:39 test kernel: [23136.333701] 78, L1: 1.
Dec 15 02:31:39 test kernel: [23136.333898] 79, L1: 1.
Dec 15 02:31:39 test kernel: [23136.334449] 80, L1: 1.
Dec 15 02:31:39 test kernel: [23136.381309] 81, L1: 1.
Dec 15 02:31:39 test kernel: [23136.412841] 82, L1: 1.
Dec 15 02:31:39 test kernel: [23136.419782] 83, L1: 1.
Dec 15 02:31:39 test kernel: [23136.429329] 84, L1: 1.
Dec 15 02:31:39 test kernel: [23136.429628] 85, L1: 1.
Dec 15 02:31:39 test kernel: [23136.430822] 86, L1: 1.
Dec 15 02:31:39 test kernel: [23136.430981] 87, L1: 1.
Dec 15 02:31:39 test kernel: [23136.431608] 88, L1: 1.
Dec 15 02:31:39 test kernel: [23136.432010] 89, L1: 1.
Dec 15 02:31:39 test kernel: [23136.432686] 90, L1: 1.
Dec 15 02:31:39 test kernel: [23136.437210] 91, L1: 1.
Dec 15 02:31:39 test kernel: [23136.441928] 92, L1: 1.
