Dec 19 11:32:28 test kernel: [75284.024583] [TRACE_KVM] Buffer & to_replay created
Dec 19 11:32:28 test kernel: [75284.025065] [HAVFUZZ] Opened
Dec 19 11:33:00 test kernel: [75315.657341] [TRACE_KVM] The trarget vcpu is 3
Dec 19 11:33:00 test kernel: [75315.727352] [Trace KVM] Buffer reset
Dec 19 11:33:00 test kernel: [75315.727358] [TRACE_KVM] Buffer size changed
Dec 19 11:33:00 test kernel: [75315.727364] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 19 11:33:00 test kernel: [75315.727367] [TRACE_KVM] gran exit set to 0.
Dec 19 11:33:00 test kernel: [75315.727368] [TRACE_KVM] Control_execution set to 1.
Dec 19 11:33:00 test kernel: [75315.727370] [TRACE_KVM] tracing enabled
Dec 19 11:33:00 test kernel: [75315.733163] 0, L1: 1.
Dec 19 11:33:00 test kernel: [75315.765420] 1, L1: 1.
Dec 19 11:33:00 test kernel: [75315.765460] 2, L1: 1.
Dec 19 11:33:00 test kernel: [75315.765632] 3, L1: 1.
Dec 19 11:33:00 test kernel: [75315.766598] 4, L1: 1.
Dec 19 11:33:00 test kernel: [75315.766630] 5, L1: 1.
Dec 19 11:33:00 test kernel: [75315.766661] 6, L1: 1.
Dec 19 11:33:00 test kernel: [75315.766688] 7, L1: 1.
Dec 19 11:33:00 test kernel: [75315.766716] 8, L1: 1.
Dec 19 11:33:00 test kernel: [75315.766744] 9, L1: 1.
Dec 19 11:33:00 test kernel: [75315.766771] 10, L1: 1.
Dec 19 11:33:00 test kernel: [75315.769931] 11, L1: 1.
Dec 19 11:33:00 test kernel: [75315.769963] 12, L1: 1.
Dec 19 11:33:00 test kernel: [75315.769992] 13, L1: 1.
Dec 19 11:33:00 test kernel: [75315.771445] 14, L1: 1.
Dec 19 11:33:00 test kernel: [75315.772900] 15, L1: 1.
Dec 19 11:33:00 test kernel: [75315.772932] 16, L1: 1.
Dec 19 11:33:00 test kernel: [75315.772960] 17, L1: 1.
Dec 19 11:33:00 test kernel: [75315.772987] 18, L1: 1.
Dec 19 11:33:00 test kernel: [75315.773014] 19, L1: 1.
Dec 19 11:33:00 test kernel: [75315.773041] 20, L1: 1.
Dec 19 11:33:00 test kernel: [75315.773068] 21, L1: 1.
Dec 19 11:33:00 test kernel: [75315.782906] 22, L1: 1.
Dec 19 11:33:00 test kernel: [75315.784184] 23, L1: 1.
Dec 19 11:33:00 test kernel: [75315.795116] 24, L1: 1.
Dec 19 11:33:00 test kernel: [75315.799455] 25, L1: 1.
Dec 19 11:33:00 test kernel: [75316.146564] 26, L1: 1.
Dec 19 11:33:01 test kernel: [75316.631115] 27, L1: 1.
Dec 19 11:33:01 test kernel: [75316.631679] 28, L1: 1.
Dec 19 11:33:01 test kernel: [75316.711875] 29, L1: 1.
Dec 19 11:33:01 test kernel: [75316.712521] 30, L1: 1.
Dec 19 11:33:01 test kernel: [75316.712916] 31, L1: 1.
Dec 19 11:33:01 test kernel: [75316.733079] 32, L1: 1.
Dec 19 11:33:01 test kernel: [75316.748607] 33, L1: 1.
Dec 19 11:33:01 test kernel: [75316.748726] 34, L1: 1.
Dec 19 11:33:01 test kernel: [75316.748862] 35, L1: 1.
Dec 19 11:33:01 test kernel: [75316.749021] 36, L1: 1.
Dec 19 11:33:01 test kernel: [75316.749327] 37, L1: 1.
Dec 19 11:33:01 test kernel: [75316.750365] 38, L1: 1.
Dec 19 11:33:01 test kernel: [75316.750981] 39, L1: 1.
Dec 19 11:33:01 test kernel: [75316.785044] 40, L1: 1.
Dec 19 11:33:01 test kernel: [75316.787444] 41, L1: 1.
Dec 19 11:33:01 test kernel: [75316.788338] 42, L1: 1.
Dec 19 11:33:01 test kernel: [75316.793181] 43, L1: 1.
Dec 19 11:33:01 test kernel: [75316.793470] 44, L1: 1.
Dec 19 11:33:01 test kernel: [75316.812732] 45, L1: 1.
Dec 19 11:33:01 test kernel: [75316.886331] 46, L1: 1.
Dec 19 11:33:01 test kernel: [75316.887985] 47, L1: 1.
Dec 19 11:33:01 test kernel: [75316.893173] 48, L1: 1.
Dec 19 11:33:01 test kernel: [75316.895978] 49, L1: 1.
Dec 19 11:33:01 test kernel: [75316.896938] 50, L1: 1.
Dec 19 11:33:01 test kernel: [75316.896988] 51, L1: 1.
Dec 19 11:33:01 test kernel: [75316.903042] 52, L1: 1.
Dec 19 11:33:01 test kernel: [75316.923440] 53, L1: 1.
Dec 19 11:33:01 test kernel: [75316.932939] 54, L1: 1.
Dec 19 11:33:01 test kernel: [75316.944609] 55, L1: 1.
Dec 19 11:33:01 test kernel: [75316.963888] 56, L1: 1.
Dec 19 11:33:01 test kernel: [75316.965225] 57, L1: 1.
Dec 19 11:33:01 test kernel: [75316.968599] 58, L1: 1.
