Dec 18 20:19:17 test kernel: [20492.854872] [TRACE_KVM] Buffer & to_replay created
Dec 18 20:19:17 test kernel: [20492.854906] [HAVFUZZ] Opened
Dec 18 20:20:15 test kernel: [20550.658511] [TRACE_KVM] The trarget vcpu is 3
Dec 18 20:20:15 test kernel: [20550.729188] [Trace KVM] Buffer reset
Dec 18 20:20:15 test kernel: [20550.729193] [TRACE_KVM] Buffer size changed
Dec 18 20:20:15 test kernel: [20550.729199] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 18 20:20:15 test kernel: [20550.729202] [TRACE_KVM] gran exit set to 0.
Dec 18 20:20:15 test kernel: [20550.729203] [TRACE_KVM] Control_execution set to 1.
Dec 18 20:20:15 test kernel: [20550.729205] [TRACE_KVM] tracing enabled
Dec 18 20:20:15 test kernel: [20550.772613] 0, L1: 1.
Dec 18 20:20:15 test kernel: [20550.772996] 1, L1: 1.
Dec 18 20:20:15 test kernel: [20550.773193] 2, L1: 1.
Dec 18 20:20:15 test kernel: [20550.792448] 3, L1: 1.
Dec 18 20:20:15 test kernel: [20550.805879] 4, L1: 1.
Dec 18 20:20:15 test kernel: [20550.817003] 5, L1: 1.
Dec 18 20:20:15 test kernel: [20550.848614] 6, L1: 1.
Dec 18 20:20:16 test kernel: [20551.720602] 7, L1: 1.
Dec 18 20:20:16 test kernel: [20551.725205] 8, L1: 1.
Dec 18 20:20:16 test kernel: [20551.741422] 9, L1: 1.
Dec 18 20:20:16 test kernel: [20551.748760] 10, L1: 1.
Dec 18 20:20:16 test kernel: [20551.749049] 11, L1: 1.
Dec 18 20:20:16 test kernel: [20551.781125] 12, L1: 1.
Dec 18 20:20:16 test kernel: [20551.786807] 13, L1: 1.
Dec 18 20:20:16 test kernel: [20551.808156] 14, L1: 1.
Dec 18 20:20:16 test kernel: [20551.808825] 15, L1: 1.
Dec 18 20:20:16 test kernel: [20551.809014] 16, L1: 1.
Dec 18 20:20:16 test kernel: [20551.809298] 17, L1: 1.
Dec 18 20:20:16 test kernel: [20551.809557] 18, L1: 1.
Dec 18 20:20:16 test kernel: [20551.810392] 19, L1: 1.
Dec 18 20:20:16 test kernel: [20551.816243] 20, L1: 1.
Dec 18 20:20:16 test kernel: [20551.821809] 21, L1: 1.
Dec 18 20:20:16 test kernel: [20551.825032] 22, L1: 1.
Dec 18 20:20:16 test kernel: [20551.831009] 23, L1: 1.
