Dec 18 20:40:48 test kernel: [21783.485857] [TRACE_KVM] Buffer & to_replay created
Dec 18 20:40:48 test kernel: [21783.485890] [HAVFUZZ] Opened
Dec 18 20:41:19 test kernel: [21814.693606] [TRACE_KVM] The trarget vcpu is 3
Dec 18 20:41:19 test kernel: [21814.763515] [Trace KVM] Buffer reset
Dec 18 20:41:19 test kernel: [21814.763523] [TRACE_KVM] Buffer size changed
Dec 18 20:41:19 test kernel: [21814.763530] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 18 20:41:19 test kernel: [21814.763532] [TRACE_KVM] gran exit set to 0.
Dec 18 20:41:19 test kernel: [21814.763534] [TRACE_KVM] Control_execution set to 1.
Dec 18 20:41:19 test kernel: [21814.763536] [TRACE_KVM] tracing enabled
Dec 18 20:41:19 test kernel: [21814.764517] 0, L1: 1.
Dec 18 20:41:19 test kernel: [21814.765048] 1, L1: 1.
Dec 18 20:41:19 test kernel: [21814.768383] 2, L1: 1.
Dec 18 20:41:19 test kernel: [21814.769491] 3, L1: 1.
Dec 18 20:41:19 test kernel: [21814.771989] 4, L1: 1.
Dec 18 20:41:19 test kernel: [21814.772062] 5, L1: 1.
Dec 18 20:41:19 test kernel: [21814.772093] 6, L1: 1.
Dec 18 20:41:19 test kernel: [21814.772121] 7, L1: 1.
Dec 18 20:41:19 test kernel: [21814.772149] 8, L1: 1.
Dec 18 20:41:19 test kernel: [21814.772176] 9, L1: 1.
Dec 18 20:41:19 test kernel: [21814.772203] 10, L1: 1.
Dec 18 20:41:19 test kernel: [21814.775898] 11, L1: 1.
Dec 18 20:41:19 test kernel: [21814.775934] 12, L1: 1.
Dec 18 20:41:19 test kernel: [21814.775962] 13, L1: 1.
Dec 18 20:41:19 test kernel: [21814.776092] 14, L1: 1.
Dec 18 20:41:19 test kernel: [21814.776118] 15, L1: 1.
Dec 18 20:41:19 test kernel: [21814.776144] 16, L1: 1.
Dec 18 20:41:19 test kernel: [21814.776170] 17, L1: 1.
Dec 18 20:41:19 test kernel: [21814.777791] 18, L1: 1.
Dec 18 20:41:19 test kernel: [21814.806313] 19, L1: 1.
Dec 18 20:41:19 test kernel: [21814.809936] 20, L1: 1.
Dec 18 20:41:19 test kernel: [21814.826577] 21, L1: 1.
Dec 18 20:41:19 test kernel: [21814.826933] 22, L1: 1.
Dec 18 20:41:19 test kernel: [21814.827156] 23, L1: 1.
Dec 18 20:41:19 test kernel: [21814.827441] 24, L1: 1.
Dec 18 20:41:19 test kernel: [21814.828010] 25, L1: 1.
Dec 18 20:41:19 test kernel: [21814.828239] 26, L1: 1.
Dec 18 20:41:19 test kernel: [21814.828468] 27, L1: 1.
Dec 18 20:41:19 test kernel: [21814.828715] 28, L1: 1.
Dec 18 20:41:19 test kernel: [21814.828966] 29, L1: 1.
Dec 18 20:41:19 test kernel: [21814.829051] 30, L1: 1.
Dec 18 20:41:19 test kernel: [21814.829215] 31, L1: 1.
Dec 18 20:41:19 test kernel: [21814.829750] 32, L1: 1.
Dec 18 20:41:19 test kernel: [21814.830008] 33, L1: 1.
Dec 18 20:41:19 test kernel: [21814.830499] 34, L1: 1.
Dec 18 20:41:19 test kernel: [21814.830835] 35, L1: 1.
Dec 18 20:41:19 test kernel: [21814.831081] 36, L1: 1.
Dec 18 20:41:19 test kernel: [21814.831687] 37, L1: 1.
Dec 18 20:41:19 test kernel: [21814.831892] 38, L1: 1.
Dec 18 20:41:19 test kernel: [21814.853646] 39, L1: 1.
Dec 18 20:41:19 test kernel: [21814.924610] 40, L1: 1.
Dec 18 20:41:19 test kernel: [21814.925098] 41, L1: 1.
Dec 18 20:41:19 test kernel: [21814.957700] 42, L1: 1.
Dec 18 20:41:19 test kernel: [21814.957734] 43, L1: 1.
Dec 18 20:41:19 test kernel: [21814.960703] 44, L1: 1.
Dec 18 20:41:19 test kernel: [21814.960733] 45, L1: 1.
Dec 18 20:41:19 test kernel: [21814.960758] 46, L1: 1.
Dec 18 20:41:19 test kernel: [21814.960782] 47, L1: 1.
Dec 18 20:41:19 test kernel: [21814.960807] 48, L1: 1.
Dec 18 20:41:19 test kernel: [21814.972956] 49, L1: 1.
Dec 18 20:41:19 test kernel: [21814.974498] 50, L1: 1.
Dec 18 20:41:19 test kernel: [21814.974529] 51, L1: 1.
Dec 18 20:41:19 test kernel: [21814.974557] 52, L1: 1.
Dec 18 20:41:19 test kernel: [21814.974910] 53, L1: 1.
Dec 18 20:41:19 test kernel: [21815.000148] 54, L1: 1.
Dec 18 20:41:19 test kernel: [21815.003031] 55, L1: 1.
