Dec 18 19:18:56 test kernel: [16871.954652] [TRACE_KVM] Buffer & to_replay created
Dec 18 19:18:56 test kernel: [16871.954685] [HAVFUZZ] Opened
Dec 18 19:19:27 test kernel: [16902.870448] [TRACE_KVM] The trarget vcpu is 3
Dec 18 19:19:27 test kernel: [16902.940014] [Trace KVM] Buffer reset
Dec 18 19:19:27 test kernel: [16902.940020] [TRACE_KVM] Buffer size changed
Dec 18 19:19:27 test kernel: [16902.940027] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 18 19:19:27 test kernel: [16902.940029] [TRACE_KVM] gran exit set to 0.
Dec 18 19:19:27 test kernel: [16902.940030] [TRACE_KVM] Control_execution set to 1.
Dec 18 19:19:27 test kernel: [16902.940032] [TRACE_KVM] tracing enabled
Dec 18 19:19:28 test kernel: [16903.595989] 82, L1: 1.
Dec 18 19:19:28 test kernel: [16903.596015] 83, L1: 1.
Dec 18 19:19:28 test kernel: [16903.596041] 84, L1: 1.
Dec 18 19:19:28 test kernel: [16903.596067] 85, L1: 1.
Dec 18 19:19:28 test kernel: [16903.596416] 86, L1: 1.
Dec 18 19:19:28 test kernel: [16903.596446] 87, L1: 1.
Dec 18 19:19:28 test kernel: [16903.596471] 88, L1: 1.
Dec 18 19:19:28 test kernel: [16903.596622] 89, L1: 1.
Dec 18 19:19:28 test kernel: [16903.596658] 90, L1: 1.
Dec 18 19:19:28 test kernel: [16903.596698] 91, L1: 1.
Dec 18 19:19:28 test kernel: [16903.596867] 92, L1: 1.
Dec 18 19:19:28 test kernel: [16903.600148] 93, L1: 1.
Dec 18 19:19:28 test kernel: [16903.600279] 94, L1: 1.
Dec 18 19:19:28 test kernel: [16903.601008] 95, L1: 1.
Dec 18 19:19:28 test kernel: [16903.668906] 96, L1: 1.
Dec 18 19:19:28 test kernel: [16903.677408] 97, L1: 1.
Dec 18 19:19:28 test kernel: [16903.678083] 98, L1: 1.
Dec 18 19:19:28 test kernel: [16903.678438] 99, L1: 1.
Dec 18 19:19:28 test kernel: [16903.679515] 100, L1: 1.
Dec 18 19:19:28 test kernel: [16903.679549] 101, L1: 1.
Dec 18 19:19:28 test kernel: [16903.679575] 102, L1: 1.
Dec 18 19:19:28 test kernel: [16903.679600] 103, L1: 1.
Dec 18 19:19:28 test kernel: [16903.679626] 104, L1: 1.
Dec 18 19:19:28 test kernel: [16903.679651] 105, L1: 1.
Dec 18 19:19:28 test kernel: [16903.679677] 106, L1: 1.
Dec 18 19:19:28 test kernel: [16903.680659] 107, L1: 1.
Dec 18 19:19:28 test kernel: [16903.680687] 108, L1: 1.
Dec 18 19:19:28 test kernel: [16903.680714] 109, L1: 1.
Dec 18 19:19:28 test kernel: [16903.690848] 110, L1: 1.
Dec 18 19:19:28 test kernel: [16903.691859] 111, L1: 1.
Dec 18 19:19:28 test kernel: [16903.713313] 112, L1: 1.
Dec 18 19:19:28 test kernel: [16903.713699] 113, L1: 1.
Dec 18 19:19:28 test kernel: [16903.729793] 114, L1: 1.
Dec 18 19:19:28 test kernel: [16903.779763] 115, L1: 1.
Dec 18 19:19:28 test kernel: [16903.779800] 116, L1: 1.
Dec 18 19:19:28 test kernel: [16903.779828] 117, L1: 1.
Dec 18 19:19:28 test kernel: [16903.779854] 118, L1: 1.
Dec 18 19:19:28 test kernel: [16903.779879] 119, L1: 1.
Dec 18 19:19:28 test kernel: [16903.779905] 120, L1: 1.
Dec 18 19:19:28 test kernel: [16903.779931] 121, L1: 1.
Dec 18 19:19:28 test kernel: [16903.780650] 122, L1: 1.
Dec 18 19:19:28 test kernel: [16903.780688] 123, L1: 1.
Dec 18 19:19:28 test kernel: [16903.780716] 124, L1: 1.
Dec 18 19:19:28 test kernel: [16903.784526] 125, L1: 1.
Dec 18 19:19:28 test kernel: [16903.805757] 126, L1: 1.
Dec 18 19:19:28 test kernel: [16903.806553] 127, L1: 1.
Dec 18 19:19:28 test kernel: [16903.938019] 128, L1: 1.
Dec 18 19:19:28 test kernel: [16903.950011] 129, L1: 1.
Dec 18 19:19:28 test kernel: [16903.950150] 130, L1: 1.
Dec 18 19:19:28 test kernel: [16903.953972] 131, L1: 1.
Dec 18 19:19:28 test kernel: [16903.992765] 132, L1: 1.
Dec 18 19:19:28 test kernel: [16903.992886] 133, L1: 1.
Dec 18 19:19:28 test kernel: [16903.992939] 134, L1: 1.
Dec 18 19:19:28 test kernel: [16903.992984] 135, L1: 1.
Dec 18 19:19:28 test kernel: [16903.993029] 136, L1: 1.
Dec 18 19:19:28 test kernel: [16903.993073] 137, L1: 1.
Dec 18 19:19:28 test kernel: [16903.993118] 138, L1: 1.
Dec 18 19:19:28 test kernel: [16904.020973] 139, L1: 1.
Dec 18 19:19:28 test kernel: [16904.035666] 140, L1: 1.
Dec 18 19:19:28 test kernel: [16904.040831] 141, L1: 1.
Dec 18 19:19:28 test kernel: [16904.059461] 142, L1: 1.
Dec 18 19:19:28 test kernel: [16904.072192] 143, L1: 1.
Dec 18 19:19:28 test kernel: [16904.156423] 144, L1: 1.
Dec 18 19:19:28 test kernel: [16904.159354] 145, L1: 1.
Dec 18 19:19:28 test kernel: [16904.183718] 146, L1: 1.
Dec 18 19:19:28 test kernel: [16904.183800] 147, L1: 1.
Dec 18 19:19:28 test kernel: [16904.183833] 148, L1: 1.
Dec 18 19:19:28 test kernel: [16904.197040] [Hermes] Exit Field [681e] -> Value [100052]. Reason: [1c].
Dec 18 19:19:28 test kernel: [16904.197063] 149, L1: 1.
Dec 18 19:19:28 test kernel: [16904.197065] [Hermes] Entry Field [681e] -> Value [100055].
Dec 18 19:19:28 test kernel: [16904.206654] 150, L1: 1.
Dec 18 19:19:31 test kernel: [16907.197189] [TRACE_KVM] tracing disabled
Dec 18 19:19:31 test kernel: [16907.197194] [TRACE_KVM] Control_execution set to 0.
Dec 18 19:19:31 test kernel: [16907.197511] [TRACE_KVM] Buffer copied 
Dec 18 19:19:31 test kernel: [16907.199825] [HAVFUZZ] Released
Dec 18 19:19:31 test kernel: [16907.201307] [Trace KVM] Buffer released
