Dec 18 17:20:42 test kernel: [ 9777.555134] [TRACE_KVM] Buffer & to_replay created
Dec 18 17:20:42 test kernel: [ 9777.555170] [HAVFUZZ] Opened
Dec 18 17:21:40 test kernel: [ 9835.314834] [TRACE_KVM] The trarget vcpu is 3
Dec 18 17:21:40 test kernel: [ 9835.384972] [Trace KVM] Buffer reset
Dec 18 17:21:40 test kernel: [ 9835.384978] [TRACE_KVM] Buffer size changed
Dec 18 17:21:40 test kernel: [ 9835.384984] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 18 17:21:40 test kernel: [ 9835.384987] [TRACE_KVM] gran exit set to 0.
Dec 18 17:21:40 test kernel: [ 9835.384989] [TRACE_KVM] Control_execution set to 1.
Dec 18 17:21:40 test kernel: [ 9835.384990] [TRACE_KVM] tracing enabled
Dec 18 17:21:40 test kernel: [ 9835.423345] 0, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.423458] 1, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.444889] 2, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.445239] 3, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.460603] 4, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.461961] 5, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.462512] 6, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.465314] 7, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.465671] 8, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.472612] 9, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.480777] 10, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.480834] 11, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.480862] 12, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.480889] 13, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.480915] 14, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.482737] 15, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.482768] 16, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.482795] 17, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.501736] 18, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.501932] 19, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.502389] 20, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.503263] 21, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.515197] 22, L1: 1.
Dec 18 17:21:40 test kernel: [ 9835.515330] 23, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.440652] 24, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.489216] 25, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.489397] 26, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.492379] 27, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.492889] 28, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.492921] 29, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.492950] 30, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.492977] 31, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.493004] 32, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.493031] 33, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.493057] 34, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.500665] 35, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.544610] 36, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.545544] 37, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.545574] 38, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.545601] 39, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.545965] 40, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.546004] 41, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.600871] 42, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.618358] 43, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.659493] 44, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.676610] 45, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.713203] 46, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.713955] 47, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.721206] 48, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.729247] 49, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.745299] 50, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.745685] 51, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.803185] 52, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.806504] 53, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.813422] 54, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.815767] 55, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.828926] 56, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.833561] 57, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.833804] 58, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.833835] 59, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.833861] 60, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.833885] 61, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.833909] 62, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.833935] 63, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.833960] 64, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.835472] 65, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.835499] 66, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.835526] 67, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.836199] 68, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.837590] 69, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.837633] 70, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.840315] 71, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.842816] 72, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.842849] 73, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.842876] 74, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.842901] 75, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.842925] 76, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.842951] 77, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.842976] 78, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.843385] 79, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.843413] 80, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.843437] 81, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.843638] 82, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.843667] 83, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.843693] 84, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.843849] 85, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.850505] 86, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.851393] 87, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.919024] 88, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.919637] 89, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.919668] 90, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.919694] 91, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.919721] 92, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.919744] 93, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.919768] 94, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.919794] 95, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.921633] 96, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.921661] 97, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.921685] 98, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.922044] 99, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.923276] 100, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.923610] 101, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.923900] 102, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.927258] 103, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.928347] 104, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.928380] 105, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.928409] 106, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.928436] 107, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.928463] 108, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.928491] 109, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.928516] 110, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.929598] 111, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.929627] 112, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.929652] 113, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.948609] 114, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.954259] 115, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.981029] 116, L1: 1.
Dec 18 17:21:41 test kernel: [ 9836.981342] 117, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.021909] 118, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.054430] 119, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.054487] 120, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.054516] 121, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.054543] 122, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.054567] 123, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.054591] 124, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.054617] 125, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.054642] 126, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.054843] 127, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.054869] 128, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.054893] 129, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.055900] 130, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.098293] 131, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.099180] 132, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.101307] 133, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.201230] 134, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.213219] 135, L1: 1.
Dec 18 17:21:41 test kernel: [ 9837.213334] 136, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.228726] 137, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.276724] 138, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.276839] 139, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.276887] 140, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.276931] 141, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.276975] 142, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.277019] 143, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.277063] 144, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.278334] 145, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.307826] 146, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.313089] 147, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.416698] 148, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.436974] 149, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.499807] 150, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.524709] 151, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.527125] 152, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.527214] 153, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.527241] 154, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.527273] [Hermes] Exit Field [2806] -> Value [100000008001003b]. Reason: [1c].
Dec 18 17:21:42 test kernel: [ 9837.527289] 155, L1: 1.
Dec 18 17:21:42 test kernel: [ 9837.527291] [Hermes] Entry Field [2806] -> Value [100000008001003b].
Dec 18 17:21:45 test kernel: [ 9840.540341] [TRACE_KVM] tracing disabled
Dec 18 17:21:45 test kernel: [ 9840.540345] [TRACE_KVM] Control_execution set to 0.
Dec 18 17:21:45 test kernel: [ 9840.540686] [TRACE_KVM] Buffer copied 
Dec 18 17:21:45 test kernel: [ 9840.549730] [HAVFUZZ] Released
Dec 18 17:21:45 test kernel: [ 9840.551448] [Trace KVM] Buffer released
