Dec 15 04:36:16 test kernel: [30613.592217] [TRACE_KVM] Buffer & to_replay created
Dec 15 04:36:16 test kernel: [30613.592254] [HAVFUZZ] Opened
Dec 15 04:36:47 test kernel: [30644.701929] [TRACE_KVM] The trarget vcpu is 3
Dec 15 04:36:47 test kernel: [30644.771147] [Trace KVM] Buffer reset
Dec 15 04:36:47 test kernel: [30644.771153] [TRACE_KVM] Buffer size changed
Dec 15 04:36:47 test kernel: [30644.771160] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 04:36:47 test kernel: [30644.771162] [TRACE_KVM] gran exit set to 0.
Dec 15 04:36:47 test kernel: [30644.771164] [TRACE_KVM] Control_execution set to 1.
Dec 15 04:36:47 test kernel: [30644.771165] [TRACE_KVM] tracing enabled
Dec 15 04:36:47 test kernel: [30644.774049] 0, L1: 1.
Dec 15 04:36:47 test kernel: [30644.776113] 1, L1: 1.
Dec 15 04:36:47 test kernel: [30644.777064] 2, L1: 1.
Dec 15 04:36:47 test kernel: [30644.788865] 3, L1: 1.
Dec 15 04:36:47 test kernel: [30644.793189] 4, L1: 1.
Dec 15 04:36:47 test kernel: [30644.793473] 5, L1: 1.
Dec 15 04:36:47 test kernel: [30644.797969] 6, L1: 1.
Dec 15 04:36:47 test kernel: [30644.798004] 7, L1: 1.
Dec 15 04:36:47 test kernel: [30644.798110] 8, L1: 1.
Dec 15 04:36:47 test kernel: [30644.798137] 9, L1: 1.
Dec 15 04:36:47 test kernel: [30644.798163] 10, L1: 1.
Dec 15 04:36:47 test kernel: [30644.802599] 11, L1: 1.
Dec 15 04:36:47 test kernel: [30644.869143] 12, L1: 1.
Dec 15 04:36:47 test kernel: [30644.869255] 13, L1: 1.
Dec 15 04:36:47 test kernel: [30644.873266] 14, L1: 1.
Dec 15 04:36:48 test kernel: [30645.005723] 15, L1: 1.
Dec 15 04:36:48 test kernel: [30645.080841] 16, L1: 1.
Dec 15 04:36:48 test kernel: [30645.085194] 17, L1: 1.
Dec 15 04:36:48 test kernel: [30645.173254] 18, L1: 1.
Dec 15 04:36:48 test kernel: [30645.234998] 19, L1: 1.
