Dec 19 12:25:13 test kernel: [78448.735792] [TRACE_KVM] Buffer & to_replay created
Dec 19 12:25:13 test kernel: [78448.735827] [HAVFUZZ] Opened
Dec 19 12:25:44 test kernel: [78480.000433] [TRACE_KVM] The trarget vcpu is 3
Dec 19 12:25:44 test kernel: [78480.070162] [Trace KVM] Buffer reset
Dec 19 12:25:44 test kernel: [78480.070169] [TRACE_KVM] Buffer size changed
Dec 19 12:25:44 test kernel: [78480.070174] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 19 12:25:44 test kernel: [78480.070177] [TRACE_KVM] gran exit set to 0.
Dec 19 12:25:44 test kernel: [78480.070178] [TRACE_KVM] Control_execution set to 1.
Dec 19 12:25:44 test kernel: [78480.070180] [TRACE_KVM] tracing enabled
Dec 19 12:25:45 test kernel: [78480.413452] 82, L1: 1.
Dec 19 12:25:45 test kernel: [78480.433298] 83, L1: 1.
Dec 19 12:25:45 test kernel: [78480.434211] 84, L1: 1.
Dec 19 12:25:45 test kernel: [78480.437131] 85, L1: 1.
Dec 19 12:25:45 test kernel: [78480.452951] 86, L1: 1.
Dec 19 12:25:45 test kernel: [78480.453102] 87, L1: 1.
Dec 19 12:25:45 test kernel: [78480.473412] 88, L1: 1.
Dec 19 12:25:45 test kernel: [78480.473651] 89, L1: 1.
Dec 19 12:25:45 test kernel: [78480.474981] 90, L1: 1.
Dec 19 12:25:45 test kernel: [78480.585823] 91, L1: 1.
Dec 19 12:25:45 test kernel: [78480.637481] 92, L1: 1.
Dec 19 12:25:45 test kernel: [78480.693907] 93, L1: 1.
Dec 19 12:25:45 test kernel: [78480.696707] 94, L1: 1.
Dec 19 12:25:45 test kernel: [78480.732603] 95, L1: 1.
Dec 19 12:25:45 test kernel: [78480.764608] 96, L1: 1.
Dec 19 12:25:45 test kernel: [78480.781707] 97, L1: 1.
Dec 19 12:25:45 test kernel: [78480.781738] 98, L1: 1.
Dec 19 12:25:45 test kernel: [78480.781765] 99, L1: 1.
Dec 19 12:25:45 test kernel: [78480.781789] 100, L1: 1.
Dec 19 12:25:45 test kernel: [78480.781813] 101, L1: 1.
Dec 19 12:25:45 test kernel: [78480.781839] 102, L1: 1.
Dec 19 12:25:45 test kernel: [78480.781864] 103, L1: 1.
Dec 19 12:25:45 test kernel: [78480.782232] 104, L1: 1.
Dec 19 12:25:45 test kernel: [78480.782265] 105, L1: 1.
Dec 19 12:25:45 test kernel: [78480.782291] 106, L1: 1.
Dec 19 12:25:45 test kernel: [78480.782523] 107, L1: 1.
Dec 19 12:25:45 test kernel: [78480.782552] 108, L1: 1.
Dec 19 12:25:45 test kernel: [78480.782578] 109, L1: 1.
