Dec 15 12:43:07 test kernel: [59824.384994] [TRACE_KVM] Buffer & to_replay created
Dec 15 12:43:07 test kernel: [59824.385028] [HAVFUZZ] Opened
Dec 15 12:43:38 test kernel: [59855.799096] [TRACE_KVM] The trarget vcpu is 3
Dec 15 12:43:38 test kernel: [59855.868321] [Trace KVM] Buffer reset
Dec 15 12:43:38 test kernel: [59855.868329] [TRACE_KVM] Buffer size changed
Dec 15 12:43:38 test kernel: [59855.868338] [TRACE_KVM] From_exit set to 0 and exit_before buffer created.
Dec 15 12:43:38 test kernel: [59855.868340] [TRACE_KVM] gran exit set to 0.
Dec 15 12:43:38 test kernel: [59855.868342] [TRACE_KVM] Control_execution set to 1.
Dec 15 12:43:38 test kernel: [59855.868343] [TRACE_KVM] tracing enabled
Dec 15 12:43:38 test kernel: [59855.950039] 0, L1: 1.
Dec 15 12:43:38 test kernel: [59855.950388] 1, L1: 1.
Dec 15 12:43:39 test kernel: [59856.068841] 2, L1: 1.
Dec 15 12:43:39 test kernel: [59856.113236] 3, L1: 1.
Dec 15 12:43:39 test kernel: [59856.361072] 4, L1: 1.
Dec 15 12:43:39 test kernel: [59856.392952] 5, L1: 1.
Dec 15 12:43:39 test kernel: [59856.396786] 6, L1: 1.
Dec 15 12:43:39 test kernel: [59856.402683] 7, L1: 1.
Dec 15 12:43:39 test kernel: [59856.402725] 8, L1: 1.
Dec 15 12:43:39 test kernel: [59856.402753] 9, L1: 1.
Dec 15 12:43:39 test kernel: [59856.402780] 10, L1: 1.
Dec 15 12:43:39 test kernel: [59856.402804] 11, L1: 1.
Dec 15 12:43:39 test kernel: [59856.402831] 12, L1: 1.
Dec 15 12:43:39 test kernel: [59856.402856] 13, L1: 1.
Dec 15 12:43:39 test kernel: [59856.403080] 14, L1: 1.
Dec 15 12:43:39 test kernel: [59856.403113] 15, L1: 1.
Dec 15 12:43:39 test kernel: [59856.403139] 16, L1: 1.
Dec 15 12:43:39 test kernel: [59856.403310] 17, L1: 1.
Dec 15 12:43:39 test kernel: [59856.429013] 18, L1: 1.
Dec 15 12:43:39 test kernel: [59856.429474] 19, L1: 1.
Dec 15 12:43:39 test kernel: [59856.548840] 20, L1: 1.
Dec 15 12:43:39 test kernel: [59856.588841] 21, L1: 1.
Dec 15 12:43:39 test kernel: [59856.607351] 22, L1: 1.
Dec 15 12:43:39 test kernel: [59856.607381] 23, L1: 1.
Dec 15 12:43:39 test kernel: [59856.607409] 24, L1: 1.
Dec 15 12:43:39 test kernel: [59856.607436] 25, L1: 1.
Dec 15 12:43:39 test kernel: [59856.607460] 26, L1: 1.
Dec 15 12:43:39 test kernel: [59856.607486] 27, L1: 1.
Dec 15 12:43:39 test kernel: [59856.607512] 28, L1: 1.
Dec 15 12:43:39 test kernel: [59856.607716] 29, L1: 1.
Dec 15 12:43:39 test kernel: [59856.607742] 30, L1: 1.
Dec 15 12:43:39 test kernel: [59856.607767] 31, L1: 1.
Dec 15 12:43:39 test kernel: [59856.608002] 32, L1: 1.
Dec 15 12:43:39 test kernel: [59856.640839] 33, L1: 1.
Dec 15 12:43:39 test kernel: [59856.800858] 34, L1: 1.
Dec 15 12:43:39 test kernel: [59856.825521] 35, L1: 1.
Dec 15 12:43:39 test kernel: [59856.825559] 36, L1: 1.
Dec 15 12:43:39 test kernel: [59856.825586] 37, L1: 1.
Dec 15 12:43:39 test kernel: [59856.825613] 38, L1: 1.
Dec 15 12:43:39 test kernel: [59856.825638] 39, L1: 1.
Dec 15 12:43:39 test kernel: [59856.825664] 40, L1: 1.
Dec 15 12:43:39 test kernel: [59856.825690] 41, L1: 1.
Dec 15 12:43:39 test kernel: [59856.827506] 42, L1: 1.
Dec 15 12:43:39 test kernel: [59856.827537] 43, L1: 1.
Dec 15 12:43:39 test kernel: [59856.827565] 44, L1: 1.
Dec 15 12:43:39 test kernel: [59856.849258] 45, L1: 1.
Dec 15 12:43:39 test kernel: [59856.905958] 46, L1: 1.
Dec 15 12:43:39 test kernel: [59856.913383] 47, L1: 1.
Dec 15 12:43:40 test kernel: [59857.118007] 48, L1: 1.
Dec 15 12:43:40 test kernel: [59857.130288] 49, L1: 1.
Dec 15 12:43:40 test kernel: [59857.131712] 50, L1: 1.
Dec 15 12:43:40 test kernel: [59857.181472] 51, L1: 1.
Dec 15 12:43:40 test kernel: [59857.201682] 52, L1: 1.
Dec 15 12:43:40 test kernel: [59857.256097] 53, L1: 1.
Dec 15 12:43:40 test kernel: [59857.257109] 54, L1: 1.
Dec 15 12:43:40 test kernel: [59857.264328] 55, L1: 1.
Dec 15 12:43:40 test kernel: [59857.293175] 56, L1: 1.
Dec 15 12:43:40 test kernel: [59857.302272] 57, L1: 1.
Dec 15 12:43:40 test kernel: [59857.303022] 58, L1: 1.
Dec 15 12:43:40 test kernel: [59857.356843] 59, L1: 1.
Dec 15 12:43:40 test kernel: [59857.361214] 60, L1: 1.
Dec 15 12:43:40 test kernel: [59857.444844] 61, L1: 1.
Dec 15 12:43:40 test kernel: [59857.445537] 62, L1: 1.
Dec 15 12:43:40 test kernel: [59857.447374] 63, L1: 1.
Dec 15 12:43:40 test kernel: [59857.528154] 64, L1: 1.
Dec 15 12:43:40 test kernel: [59857.586268] 65, L1: 1.
Dec 15 12:43:40 test kernel: [59857.597887] 66, L1: 1.
Dec 15 12:43:40 test kernel: [59857.597976] 67, L1: 1.
Dec 15 12:43:40 test kernel: [59857.598058] 68, L1: 1.
Dec 15 12:43:40 test kernel: [59857.629189] 69, L1: 1.
Dec 15 12:43:40 test kernel: [59857.684987] 70, L1: 1.
Dec 15 12:43:40 test kernel: [59857.685106] 71, L1: 1.
Dec 15 12:43:40 test kernel: [59857.685154] 72, L1: 1.
Dec 15 12:43:40 test kernel: [59857.685199] 73, L1: 1.
Dec 15 12:43:40 test kernel: [59857.685243] 74, L1: 1.
Dec 15 12:43:40 test kernel: [59857.685287] 75, L1: 1.
Dec 15 12:43:40 test kernel: [59857.685332] 76, L1: 1.
Dec 15 12:43:40 test kernel: [59857.692950] 77, L1: 1.
Dec 15 12:43:40 test kernel: [59857.709066] 78, L1: 1.
Dec 15 12:43:40 test kernel: [59857.727793] 79, L1: 1.
Dec 15 12:43:40 test kernel: [59857.750017] 80, L1: 1.
Dec 15 12:43:40 test kernel: [59857.760993] 81, L1: 1.
Dec 15 12:43:40 test kernel: [59857.831533] 82, L1: 1.
Dec 15 12:43:40 test kernel: [59857.838372] 83, L1: 1.
Dec 15 12:43:40 test kernel: [59857.849579] 84, L1: 1.
Dec 15 12:43:40 test kernel: [59857.849795] 85, L1: 1.
Dec 15 12:43:40 test kernel: [59857.849826] 86, L1: 1.
Dec 15 12:43:40 test kernel: [59857.849859] [Hermes] Exit Field [6400] -> Value [8000000000000]. Reason: [1c].
Dec 15 12:43:40 test kernel: [59857.849878] 87, L1: 1.
Dec 15 12:43:40 test kernel: [59857.849880] [Hermes] Entry Field [6400] -> Value [8000000000000].
Dec 15 12:43:40 test kernel: [59857.849919] 88, L1: 1.
Dec 15 12:43:40 test kernel: [59857.849951] 89, L1: 1.
Dec 15 12:43:40 test kernel: [59857.849977] 90, L1: 1.
Dec 15 12:43:40 test kernel: [59857.850005] 91, L1: 1.
Dec 15 12:43:40 test kernel: [59857.850031] 92, L1: 1.
Dec 15 12:43:40 test kernel: [59857.850060] 93, L1: 1.
Dec 15 12:43:40 test kernel: [59857.850354] 94, L1: 1.
Dec 15 12:43:40 test kernel: [59857.850379] 95, L1: 1.
Dec 15 12:43:40 test kernel: [59857.850431] 96, L1: 1.
Dec 15 12:43:41 test kernel: [59857.961134] 97, L1: 1.
Dec 15 12:43:41 test kernel: [59857.961184] 98, L1: 1.
Dec 15 12:43:41 test kernel: [59857.961217] 99, L1: 1.
Dec 15 12:43:41 test kernel: [59857.961245] 100, L1: 1.
Dec 15 12:43:41 test kernel: [59857.961273] 101, L1: 1.
Dec 15 12:43:41 test kernel: [59857.961301] 102, L1: 1.
Dec 15 12:43:41 test kernel: [59857.961333] 103, L1: 1.
Dec 15 12:43:41 test kernel: [59857.961364] 104, L1: 1.
Dec 15 12:43:41 test kernel: [59857.961412] 105, L1: 1.
Dec 15 12:43:41 test kernel: [59857.961504] 106, L1: 1.
Dec 15 12:43:41 test kernel: [59857.961531] 107, L1: 1.
Dec 15 12:43:41 test kernel: [59857.961560] 108, L1: 1.
Dec 15 12:43:41 test kernel: [59857.961602] 109, L1: 1.
Dec 15 12:43:41 test kernel: [59857.961631] 110, L1: 1.
Dec 15 12:43:41 test kernel: [59857.961661] 111, L1: 1.
Dec 15 12:43:41 test kernel: [59857.961819] 112, L1: 1.
